sample_id,plate_id,species,material,core_type,target_gene,concentration_copies_per_uL,copies_per_20uL_well,accepted_droplets,positives,negatives,status,analysis_type,sample_mass_mg,extraction_plate
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",1A1,ACRU,Soil,Mineral,mcra_probe,60.33778763,1206.755737,17042,852,16190,Manual,loose,255.3,Plate 1
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",1A1,ACRU,Soil,Mineral,mmox,0.678406834602356,13.56813621521,15612,9,15603,Manual,strict,255.3,Plate 1
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",1A1,ACRU,Soil,Mineral,pmoa,513.017944335938,10260.359375,14484,5119,9365,Manual,loose,255.3,Plate 1
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",1A1,ACRU,Soil,Mineral,pmoa,41.2461929321289,824.923828125,14484,499,13985,Manual,strict,255.3,Plate 1
"ACRU_RM1
Soil_Mineral
Lab ID: 1e",1A1,ACRU,Soil,Mineral,mmox,3.09369325637817,61.8738632202148,15612,41,15571,Manual,loose,255.3,Plate 1
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",1A10,FAGR,Soil,Mineral,pmoa,330.409301757813,6608.18603515625,14388,3523,10865,Manual,loose,250.6,Plate 1
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",1A10,FAGR,Soil,Mineral,mcra_probe,0.188683093,3.773661852,18707,3,18704,Manual,loose,250.6,Plate 1
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",1A10,FAGR,Soil,Mineral,mmox,0.295410066843033,5.90820121765137,15932,4,15928,Manual,strict,250.6,Plate 1
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",1A10,FAGR,Soil,Mineral,mmox,3.84612894058228,76.9225769042969,15932,52,15880,Manual,loose,250.6,Plate 1
"FAGR_AB1
Soil_Mineral
Lab ID: 73e",1A10,FAGR,Soil,Mineral,pmoa,57.4737854003906,1149.47570800781,14388,686,13702,Manual,strict,250.6,Plate 1
"FAGR_AB5
Soil_Mineral
Lab ID: 81e",1A11,FAGR,Soil,Mineral,mcra_probe,0.278900146,5.57800293,16875,4,16871,Manual,loose,251.1,Plate 1
