section_id,quadrat,sub_quadrat,tag,stem_tag,species_code,x_m,y_m,dbh_mm,status,pom,codes,notes,secondary,latitude,longitude
NA,905,a,150,NA,HAVI,102.5,188.9,7.9,LI,1.3,M,NA,TRUE,41.99072393,-72.12930171
NA,308,b,275,NA,PIST,160.4,76.7,1.8,LI,NA,M,NA,FALSE,41.98963979,-72.12884756
NA,303,b,358,NA,TSCA,69.8,72.1,15.5,LI,1.3,M,NA,FALSE,41.98974055,-72.12993679
NA,4,c,372,NA,TSCA,94.2,15.4,2.3,LI,1.3,M,NA,FALSE,41.98920028,-72.12976519
NA,5,b,388,NA,PIST,102.5,13.9,3.2,LI,1.3,M,NA,FALSE,41.98917403,-72.12966944
NA,309,a,440,NA,PIST,184,63.2,2.6,LI,NA,NA,NA,FALSE,41.98948337,-72.12859472
NA,309,b,552,NA,PIST,182.5,74.2,4.9,LI,1.3,M,NA,FALSE,41.98958313,-72.12858947
NA,206,d,579,NA,PIST,139.2,43.6,2.2,LI,1.3,M,NA,FALSE,41.98937975,-72.12916972
NA,409,a,889,NA,PIST,189.4,88.9,2.1,LI,2.2,M,NA,FALSE,41.98970255,-72.12847636
NA,509,a,975,NA,PIST,193.6,114.9,3.5,LI,NA,NA,NA,FALSE,41.98992626,-72.12837168
NA,509,a,977,NA,PIST,191.2,117,1.3,LI,NA,NA,NA,FALSE,41.9899486,-72.12839587
NA,509,a,979,NA,PIST,191.1,118.1,1.2,LI,NA,NA,NA,FALSE,41.9899585,-72.12839475
NA,509,a,980,NA,PIST,190.9,117.8,1,LI,NA,NA,NA,FALSE,41.98995616,-72.12839776
NA,509,a,981,NA,PIST,193,115.6,2.1,LI,NA,NA,NA,FALSE,41.98993339,-72.12837736
NA,509,a,983,NA,PIST,191,115.5,1.9,LI,NA,NA,NA,FALSE,41.98993563,-72.1284014
NA,509,a,984,NA,PIST,191,115.1,1.2,LI,NA,NA,NA,FALSE,41.98993209,-72.12840224
NA,509,a,985,NA,TSCA,190.5,115.7,3,LI,NA,NA,NA,FALSE,41.98993818,-72.12840694
NA,509,a,986,NA,PIST,190.4,117.3,1.9,LI,NA,"M,L",NA,FALSE,41.98995251,-72.12840477
NA,509,a,987,NA,PIST,190.5,118.1,1.8,LI,NA,NA,NA,FALSE,41.98995944,-72.1284019
NA,509,a,988,NA,TSCA,191.1,117.9,2.2,LI,NA,NA,NA,FALSE,41.98995673,-72.12839517
NA,509,a,989,NA,PIST,190.7,116.9,1.8,LI,NA,NA,NA,FALSE,41.9899485,-72.12840203
NA,509,a,991,NA,BELE,190.3,116.3,2.2,LI,NA,NA,NA,FALSE,41.98994381,-72.12840806
NA,509,a,992,NA,PIST,190.5,116.1,1.4,LI,NA,NA,NA,FALSE,41.98994173,-72.1284061
NA,509,a,993,NA,PIST,190.6,116.6,1.3,LI,NA,NA,NA,FALSE,41.989946,-72.12840386
NA,509,a,994,NA,PIST,190.6,116.2,1.2,LI,NA,NA,NA,FALSE,41.98994246,-72.1284047
NA,509,a,995,NA,PIST,196.5,110.6,1.3,LI,NA,NA,NA,FALSE,41.98988364,-72.12834616
NA,402,b,1002,NA,TSCA,51,83.8,8.4,LI,1.3,M,NA,FALSE,41.98987354,-72.13013622
NA,401,a,1003,NA,TSCA,25,85.6,16,LI,1.3,M,NA,FALSE,41.98993008,-72.13044225
NA,400,a,1004,NA,ACSA,5.7,84.9,16.8,LI,1.3,M,NA,TRUE,41.98995402,-72.1306737
NA,402,a,1006,NA,TSCA,45.6,87,32,LI,1.3,M,NA,FALSE,41.98991031,-72.13019384
NA,403,a,1006,NA,TSCA,68.9,88.4,32.3,LI,1.3,M,NA,FALSE,41.98988632,-72.12991326
NA,401,b,1007,NA,TSCA,37.9,83.8,23,LI,1.3,M,NA,FALSE,41.98989399,-72.13029232
NA,401,a,1008,NA,TSCA,21.6,83.2,25,LI,1.3,M,NA,FALSE,41.98991414,-72.13048781
NA,400,a,1009,NA,QURU,8,85.1,48.8,LI,1.3,M,NA,FALSE,41.9899522,-72.13064587
NA,400,a,1010,NA,PIST,4.3,80.5,79.9,LI,1.3,M,NA,FALSE,41.98991724,-72.13069962
NA,401,b,1011,NA,PIST,34.2,87.1,35,LI,1.3,M,NA,FALSE,41.989929,-72.13032947
NA,403,b,1012,NA,TSCA,72,83.1,37,LI,1.3,M,NA,FALSE,41.98983454,-72.12988746
NA,400,b,1013,NA,QURU,17.9,87.7,36.9,LI,1.3,M,NA,FALSE,41.98995977,-72.13052244
NA,403,a,1014,NA,QURU,61.8,88.1,36.4,LI,1.3,M,NA,FALSE,41.98989475,-72.1299985
NA,401,a,1015,NA,TSCA,22.6,85.7,18.2,LI,1.3,M,NA,FALSE,41.98993472,-72.13047064
NA,403,b,1016,NA,QURU,73,81.4,40.5,LI,1.3,M,NA,FALSE,41.98981792,-72.12987912
NA,402,b,1017,NA,TSCA,52.1,86.1,27.7,LI,1.3,M,NA,FALSE,41.98989219,-72.13011828
NA,400,a,1018,NA,NA,7.2,89.5,41.5,LI,1.3,M,NA,FALSE,41.98999242,-72.13064616
NA,401,b,1019,NA,PIST,33.4,88,67.7,LI,1.3,M,NA,FALSE,41.98993822,-72.13033712
NA,400,b,1020,NA,TSCA,14.8,89.2,35.3,LI,1.3,M,NA,FALSE,41.98997789,-72.13055623
NA,401,b,1021,NA,TSCA,39.8,88.4,36,LI,1.3,M,NA,FALSE,41.98993177,-72.13026001
NA,403,b,1022,NA,ACSA,74.9,84.4,41.7,LI,1.3,M,NA,FALSE,41.98984152,-72.12985017
NA,105,a,1023,NA,QURU,103.1,20.3,35.1,LI,1.3,M,NA,FALSE,41.98922977,-72.12964884
NA,402,b,1024,NA,TSCA,58,84.5,5.3,LI,1.3,M,NA,FALSE,41.9898688,-72.13005134
NA,401,a,1025,NA,TSCA,28.6,84,25.8,LI,1.3,M,NA,FALSE,41.98991029,-72.13040272
NA,402,b,1026,NA,TSCA,58.5,89.3,25.3,LI,1.3,M,NA,FALSE,41.98991053,-72.1300353
NA,402,b,1028,NA,TSCA,53.9,88.2,38.2,LI,1.3,M,NA,FALSE,41.98990797,-72.13009242
NA,402,b,1028,NA,TSCA,56.5,86.8,21.9,LI,1.3,M,NA,FALSE,41.98989152,-72.13006438
NA,402,a,1029,NA,BELE,45.2,81.9,27,LI,1.3,M,NA,FALSE,41.98986577,-72.13020933
NA,401,a,1030,NA,TSCA,25.2,88.8,12.4,LI,1.3,M,NA,FALSE,41.98995811,-72.13043314
NA,401,b,1031,NA,TSCA,36.9,82.3,20.9,LI,1.3,M,NA,FALSE,41.98988227,-72.13030739
NA,401,b,1032,NA,TSCA,37.2,88.4,42.5,LI,1.3,M,NA,FALSE,41.98993583,-72.130291
NA,402,b,1033,NA,ACSA,57,82.1,34.8,LI,1.3,M,NA,FALSE,41.98984911,-72.1300683
NA,402,b,1034,NA,TSCA,43,97.1,45.9,LI,1.3,M,NA,FALSE,41.99000382,-72.1302036
NA,403,a,1035,NA,TSCA,60.4,87.9,45.8,LI,1.3,M,NA,FALSE,41.98989517,-72.1300156
NA,400,b,1036,NA,TSCA,19.8,83.7,76.8,LI,1.3,M,NA,FALSE,41.98992137,-72.13050821
NA,401,a,1038,NA,PIST,26.3,85.1,57.5,LI,1.3,M,NA,FALSE,41.98992362,-72.13042781
NA,400,c,1039,NA,TSCA,13,98.2,44.3,LI,1.3,M,NA,FALSE,41.99006041,-72.13055877
NA,400,c,1040,NA,TSCA,11.8,100,40.2,LI,1.3,M,NA,FALSE,41.99007823,-72.13056928
NA,400,c,1041,NA,TSCA,18.2,95.3,35.2,LI,1.3,M,NA,FALSE,41.99002661,-72.1305029
NA,400,c,1042,NA,BEAL,14.7,92.7,17.5,LI,NA,M,NA,FALSE,41.99000905,-72.13055007
NA,400,c,1043,NA,TSCA,15.8,91,26.6,LI,1.3,M,NA,FALSE,41.98999227,-72.13054053
NA,400,c,1044,NA,ACRU,15.3,98.5,31.2,LI,1.3,M,NA,FALSE,41.99005948,-72.13053073
NA,400,c,1045,NA,TSCA,17,99,25.6,LI,1.3,M,NA,FALSE,41.99006125,-72.13050942
NA,400,c,1046,NA,TSCA,17.1,88.8,35.2,LI,1.3,M,NA,FALSE,41.98997076,-72.13052966
NA,400,c,1047,NA,TSCA,11,87.8,10.8,LI,1.3,M,NA,FALSE,41.98997143,-72.13060445
NA,400,c,1048,NA,TSCA,13.1,86.6,10.5,LI,1.3,M,NA,FALSE,41.98995752,-72.13058195
NA,400,c,1049,NA,TSCA,15.1,86.5,19.9,LI,1.3,M,NA,FALSE,41.98995351,-72.13055833
NA,400,c,1050,NA,TSCA,10.3,84.6,45.5,LI,1.3,M,NA,FALSE,41.98994418,-72.13061952
NA,400,c,1051,NA,TSCA,16.1,84.2,13.2,LI,1.3,M,NA,FALSE,41.98993158,-72.13055124
NA,400,c,1052,NA,TSCA,12.2,82.8,15.5,LI,1.3,M,NA,FALSE,41.98992527,-72.13060066
NA,400,c,1053,NA,TSCA,13.2,82.8,16.8,LI,1.3,M,NA,FALSE,41.98992371,-72.13058874
NA,400,c,1054,NA,TSCA,13.4,82.5,16.8,LI,1.3,M,NA,FALSE,41.98992074,-72.13058699
NA,400,c,1055,NA,TSCA,14.4,82.7,26.6,LI,1.3,M,NA,FALSE,41.98992095,-72.13057465
NA,401,c,1055,NA,TSCA,39.9,97.4,14.1,LI,1.3,M,NA,FALSE,41.99001132,-72.13023991
NA,400,c,1056,NA,TSCA,11.2,81.6,24.8,LI,1.3,M,NA,FALSE,41.98991621,-72.13061509
NA,400,c,1057,NA,PIST,16.6,82.6,53.2,LI,1.3,M,NA,FALSE,41.98991663,-72.13054865
NA,401,NA,1058,NA,TSCA,30.1,92.5,17.3,LI,1.3,M,NA,FALSE,41.98998323,-72.13036698
NA,401,c,1059,NA,TSCA,30.9,95.4,20.8,LI,1.3,M,NA,FALSE,41.99000766,-72.13035136
NA,703,a,1059,NA,TSCA,65.8,143.4,28.9,LI,1.3,M,NA,FALSE,41.99037827,-72.12983464
NA,401,c,1060,NA,QURU,33.7,99.5,40.8,LI,1.3,M,NA,FALSE,41.9900396,-72.13030938
