unique_id,date,tree_tag,species_code,species,dbh_cm,air_temp_C,soil_temp_C,stem_temp_C,vwc_mean_pct,chamber_id,chamber_area_m2,chamber_vol_L,chamber_temp_C,obs_length_s,CH4_best_flux_nmol_m2_s,CH4_model,CH4_quality,CH4_LM_r2,CH4_LM_pval,CO2_best_flux_nmol_m2_s,CO2_model,CO2_quality,bark_missing,visible_fungus,bole_damage,notes
20230612_853_115445,2023-06-12,853,PIST,white pine,50.8,22.77777777777778,13,21.8,10.1,D8,462.19,2.388644,22.77777777777778,600,-0.03601577853529456,HM,Intercept (HM),0.47045781238576534,5.271581157962055e-88,1.3258068319803238,HM,NA,NA,NA,NA,NA
20230612_970_121500,2023-06-12,970,ACRU,red maple,29.1,23.277777777777786,13.1,21.7,7.2,D8,462.19,2.388644,23.277777777777786,600,0.03655820526469856,HM,Intercept,0.6884067962628644,1.0338154312577616e-185,1.0786457375756038,HM,NA,NA,NA,NA,NA
20230612_8833_123800,2023-06-12,8833,QURU,red oak,55.6,23.77777777777778,12.8,20.5,13.6,D8,462.19,2.388644,23.77777777777778,600,0.00919930269796599,HM,AICc | Intercept,0.18312398373244665,3.518958873321718e-27,1.8252317977335968,HM,NA,NA,NA,NA,NA
20230612_7397_125300,2023-06-12,7397,QURU,red oak,39.1,26.11111111111111,12.8,22.1,11.6,D8,462.19,2.388644,26.11111111111111,600,0.00243641300390425,LM,HM.flux is NA,0.02013447271992829,1.3909169272116056e-4,1.6490464951774872,HM,NA,NA,NA,NA,NA
"20230612_untagged, forked_131400",2023-06-12,"untagged, forked",BELE,black birch,39.5,25.33333333333333,12.5,21.8,9.2,D8,462.19,2.388644,25.33333333333333,600,0.05688551704927541,HM,AICc,0.9067085975243916,0,2.438237762662113,HM,NA,NA,NA,NA,NA
20230612_8835_133700,2023-06-12,8835,TSCA,hemlock,50.2,24,13,21.8,6.6,D8,462.19,2.388644,24,600,0.00438130468446569,LM,g-fact. > 2 | Intercept (HM),0.03911283787159192,1.9105377850828355e-6,1.3531916576954583,HM,NA,NA,NA,NA,NA
20230612_4783_140100,2023-06-12,4783,QURU,red oak,56.9,24.27777777777778,13.2,20.3,9.8,D8,462.19,2.388644,24.27777777777778,600,0.01446111250847055,LM,g-fact. > 2 | Intercept (LM),0.23918542135670265,2.5476460306385647e-26,1.9316986289693616,HM,NA,NA,NA,NA,NA
20230612_1641_151500,2023-06-12,1641,ACRU,red maple,41.9,24.444444444444443,13.1,20.7,30.9,D8,462.19,2.388644,24.444444444444443,180,3.4498105958639713,HM,NA,0.9994898530456686,0,1.013648241246656,HM,NA,NA,NA,NA,NA
20230612_1830_152445,2023-06-12,1830,ACRU,red maple (on edge of swamp and dry land),36.5,24.444444444444443,14,21.7,51.3,D8,462.19,2.388644,24.444444444444443,375,2.091154200669326,HM,NA,0.997183020157846,0,1.731994052026087,HM,NA,NA,NA,NA,NA
20230612_1640_154545,2023-06-12,1640,TSCA,hemlock,40.1,24.388888888888893,12.8,21.7,5.4,D8,462.19,2.388644,24.388888888888893,300,3.715443076071948e-4,LM,HM.flux is NA,-0.00306872223138032,0.8621685270155935,0.9071678639572812,LM,RMSE | MAE | AICc,NA,NA,NA,NA
20230612_4190_160000,2023-06-12,4190,BEAL,yellow birch,27.8,23.38888888888889,12.4,22,35.3,D8,462.19,2.388644,23.38888888888889,630,-0.00739751595161409,HM,AICc | Intercept,0.12482511609649216,9.722070669512303e-20,2.129167779488304,HM,NA,NA,NA,NA,NA
20230612_4797_161600,2023-06-12,4797,BEAL,yellow birch,33,23.88888888888889,12.6,21.5,11.7,D8,462.19,2.388644,23.88888888888889,600,0.01619211669914239,HM,AICc | Intercept,0.2720459565928971,5.389925728131222e-42,1.815258854326982,HM,NA,NA,NA,NA,NA
20230612_untagged_164400,2023-06-12,untagged,FRAM,white ash,30,NA,13,22.9,NA,D8,462.19,2.388644,22.9,448,-0.02470059093921348,HM,AICc | Intercept,0.3729567379126041,8.093450689886276e-40,1.327419779174714,HM,NA,NA,NA,NA,NA
20230612_untagged_165813,2023-06-12,untagged,TSCA,hemlock,26,25.777777777777786,14.1,22.6,14.9,C4,213.35,1.2626016666666666,25.777777777777786,304,-0.01456218578785913,HM,AICc | Intercept,0.02207837896370956,0.00638762314782633,3.6259100982934953,HM,NA,NA,NA,NA,NA
20230614_1051_113730,2023-06-14,1051,TSCA,hemlock,14.2,20.444444444444443,13.7,18.8,16,C3,213.35,1.2626016666666666,20.444444444444443,545,0.00514641049420594,HM,AICc | Intercept,0.07348536909280579,3.0632434264134557e-13,0.5946574200941918,HM,NA,NA,NA,NA,NA
20230614_1106_120436,2023-06-14,1106,TSCA,hemlock,32.4,22.944444444444443,14.3,21.4,7.866666666666667,D8,462.19,2.388644,22.944444444444443,594,-0.01420870250112819,HM,AICc | Intercept,0.303177827268308,7.54801049488635e-46,1.0215871855368253,HM,NA,NA,NA,NA,NA
20230614_1028_122053,2023-06-14,1028,TSCA,hemlock,39.7,24.833333333333332,13.7,22.1,13.533333333333331,D8,462.19,2.388644,24.833333333333332,566,0.01567210074630466,LM,g-fact. > 2 | Intercept,0.2671743365281791,4.511542406297084e-33,0.9635674688123046,HM,NA,NA,NA,NA,NA
20230615_1637_105530,2023-06-15,1637,ACRU,red maple,38.4,17.27777777777778,13.3,15.8,21.1,D8,462.19,2.388644,17.27777777777778,600,0.02081058861231668,HM,AICc | Intercept,0.32114622412295024,5.078747977613911e-49,0.506670378688507,HM,NA,NA,NA,NA,NA
20230615_4103_114200,2023-06-15,4103,FRAM,white ash,33.2,19,14.7,16.2,25.766666666666666,D8,462.19,2.388644,19,600,-0.01122029283658885,HM,AICc,0.22540478460653512,7.003772281870851e-34,0.3227717000316367,HM,NA,NA,NA,NA,NA
20230615_4181_115815,2023-06-15,4181,BEAL,yellow birch,26.7,17.166666666666668,15.4,16,38.13333333333333,D8,462.19,2.388644,17.166666666666668,600,0.0049467421597444,LM,g-fact. > 2 | Intercept,0.04228081022974728,2.453692003313501e-7,1.0226605647616924,HM,NA,NA,NA,NA,NA
20230615_4295_122515,2023-06-15,4295,ACRU,red maple,35.3,18.333333333333332,13.7,17.3,13.466666666666669,D8,462.19,2.388644,18.333333333333332,600,0.11588609783302352,HM,Intercept (HM),0.8385322635046563,5.783160439063224e-152,0.9153629928761192,HM,NA,NA,NA,NA,NA
20230615_1885_130030,2023-06-15,1885,ACRU,red maple,36.3,19.055555555555557,12.5,16.7,26.4,D8,462.19,2.388644,19.055555555555557,600,-0.03218802393120031,HM,Intercept,0.5878042523465873,1.5738130570535645e-108,1.14963817333664,HM,NA,NA,NA,NA,NA
20230615_5086_132545,2023-06-15,5086,ACRU,red maple,42.5,19.27777777777778,12.9,16.9,24.600000000000005,D8,462.19,2.388644,19.27777777777778,600,0.00622482183649291,HM,AICc | Intercept,0.0463174031205178,4.7397084677314265e-6,0.75401311034984,HM,NA,NA,NA,NA,NA
20230615_5078_145700,2023-06-15,5078,BEAL,yellow birch,37.3,21.11111111111111,12.5,17.7,23.1,D8,462.19,2.388644,21.11111111111111,600,0.01228668820017851,HM,AICc | Intercept,0.32676005490437143,2.04497256780183e-66,1.3257953583815976,HM,NA,NA,NA,NA,NA
20230615_5092_152845,2023-06-15,5092,BELE,black birch,36,20.666666666666668,13.4,17.8,20.700000000000003,D8,462.19,2.388644,20.666666666666668,600,0.00191093549368216,LM,HM.flux is NA,0.00735729326071687,0.0214190416298305,0.7728882514186026,HM,NA,NA,NA,NA,NA
20230615_5091_155130,2023-06-15,5091,TSCA,hemlock (dead),30,21.333333333333336,13.7,19,28.8,D8,462.19,2.388644,21.333333333333336,600,0.00494435909661497,HM,AICc | Intercept,0.0387833159605907,1.0459703115839011e-6,0.27821712666525583,HM,Intercept,NA,NA,NA,dead
20230615_5099_160700,2023-06-15,5099,BELE,black birch (dead),35.5,22.333333333333332,14,20,18.4,D8,462.19,2.388644,22.333333333333332,600,0.01700252792891642,LM,g-fact. > 2 | Intercept,0.2939142829300505,2.4291096212000528e-36,11.057457544540998,HM,NA,NA,NA,NA,dead
20230616_4246_094745,2023-06-16,4246,PIST,white pine,60.9,21.27777777777778,13.1,19.6,9.966666666666669,D8,462.19,2.388644,21.27777777777778,600,-0.02797415965731515,HM,AICc,0.4742343191858551,1.0310320959398094e-80,1.4032161814383446,HM,NA,NA,NA,NA,NA
20230616_6393_100400,2023-06-16,6393,QURU,red oak,39.2,22.5,13.1,17.8,11.5,D8,462.19,2.388644,22.5,600,-0.01089863647252795,HM,AICc,0.15460426484790846,8.913916245318839e-22,0.8930053010196178,HM,NA,NA,NA,NA,NA
20230616_3589_102230,2023-06-16,3589,QURU,red oak,47.8,21.555555555555557,13.2,18.5,12.133333333333336,D8,462.19,2.388644,21.555555555555557,600,-0.04957943114411169,HM,Intercept,0.8054013383822844,1.3954801661905903e-193,0.2765140042207633,HM,NA,NA,NA,NA,NA
20230616_1133_104645,2023-06-16,1133,ACRU,red maple,31,21.722222222222214,13,19.3,16.5,D8,462.19,2.388644,21.722222222222214,600,0.07842606617533936,HM,Intercept (LM),0.7866023448840226,6.494714249543578e-198,0.6956148818798858,HM,NA,NA,NA,NA,NA
20230616_3564_110815,2023-06-16,3564,QURU,red oak,53.3,21.22222222222222,13.9,19.5,15.866666666666667,D8,462.19,2.388644,21.22222222222222,600,-0.04156310508485313,HM,Intercept,0.6946446904616246,5.254675293160463e-160,0.7181263353154781,HM,NA,NA,NA,NA,NA
20230616_1134_112945,2023-06-16,1134,QURU,red oak,43.71,21.166666666666664,13.7,19.4,21.9,D8,462.19,2.388644,21.166666666666664,600,-0.00157998225486221,HM,AICc | p-value | MDF | Intercept,0.00277335235047249,0.08271613353843539,0.7666368315709635,HM,NA,NA,NA,NA,NA
20230616_3533_115100,2023-06-16,3533,QURU,red oak,41,23.333333333333332,13.2,19.4,8.5,D8,462.19,2.388644,23.333333333333332,600,0.01082077605170958,LM,g-fact. > 2 | Intercept,0.22407490312565603,4.1179791048942326e-33,0.6474771410220326,HM,NA,NA,NA,NA,NA
20230616_3359_121200,2023-06-16,3359,BELE,black birch,30.3,23.61111111111111,13.6,19.5,6.833333333333333,D8,462.19,2.388644,23.61111111111111,600,0.1622539330623198,HM,NA,0.8912951530657248,1.1760958738567995e-192,0.6534882533311236,HM,NA,NA,NA,NA,NA
20230616_3354_134400,2023-06-16,3354,PIST,white pine,61.5,23.444444444444443,13.9,20.8,13.666666666666666,D8,462.19,2.388644,23.444444444444443,600,-0.02013677910159886,HM,AICc | Intercept,0.4226757193590552,2.3398689749916177e-67,1.1266468148591318,HM,NA,NA,NA,NA,NA
20230616_4774_141545,2023-06-16,4774,BELE,black birch,37.3,24.944444444444446,13.9,21,8.833333333333332,D8,462.19,2.388644,24.944444444444446,750,0.0184964151750356,LM,g-fact. > 2 | Intercept,0.5515901078951894,9.719716438619703e-128,1.9235276577169864,HM,NA,NA,NA,NA,NA
20230616_6371_150530,2023-06-16,6371,ACRU,red maple,44.4,24.777777777777775,13.6,21.4,11.266666666666666,D8,462.19,2.388644,24.777777777777775,600,0.03027318795497046,LM,g-fact. > 2 | Intercept (HM),0.6988462251905507,6.1228412000408415e-176,1.1257145659434926,HM,NA,NA,NA,NA,NA
20230621_3114_100345,2023-06-21,3114,QURU,red oak,40.7,16.333333333333332,13.2,15.7,19.333333333333332,D8,462.19,2.388644,16.333333333333332,180,0.06609482225314038,LM,g-fact. > 2 | Intercept (HM),0.4603990290273159,2.3236826148623134e-29,1.4850829241123895,LM,RMSE | MAE | AICc,1,1,NA,NA
20230621_3096_101000,2023-06-21,3096,QURU,red oak,45.7,19.11111111111111,13.5,14.4,17.233333333333334,D8,462.19,2.388644,19.11111111111111,180,0.03497600628576359,LM,g-fact. > 2 | Intercept,0.21726933154029549,7.361624902223198e-12,2.5346060782698685,LM,RMSE | MAE | AICc,1,1,NA,NA
