no,plate_identifier,Inner.Core.Sample.ID,Sample.Mass.Added.to.Tube..mg.,Date.Weighed,Name.of.Weigher,Notes,Sample.Archived,Sample.Notes,Extraction.Plate.ID,Plate.Well.No.,Plate.Position,Blank.Well.,Sample.Added.to.Extraction.Plate,Name.of.Person.Adding.to.Plate,Date.Plate.Extracted,species,core_type,material,lab_id,�..Well,Sample.description.1,Sample.description.2,Sample.description.3,Sample.description.4,Target,Conc.copies.µL.,Molecular.Weight.pg.µL.,Status,Status.Reason,Experiment,SampleType,TargetType,Supermix,DyeName.s.,Copies.20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted.Droplets,Positives,Negatives
1,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,,NA,loose,mcra,1.272798419,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,25.45596886,NA,NA,1.884289026,0.81067121,20346,22,20324
2,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,NA,NA,strict,pmoa,0.986972034,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,19.73944092,NA,NA,1.661303163,0.5258708,14310,12,14298
3,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,NA,NA,loose,pmoa,17.72649956,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,354.5299988,NA,NA,20.10396957,15.35382462,14310,214,14096
4,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,NA,NA,strict,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.210361093,0,16757,0,16757
5,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,NA,NA,loose,mcra_probe,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,NA,NA,0.210361093,0,16757,0,16757
6,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,,NA,strict,mmox,0,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,NA,NA,0.248735443,0,14172,0,14172
7,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,,NA,loose,mmox,1.328970075,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,26.57940102,NA,NA,2.095970392,0.776932895,14172,16,14156
8,3A1,"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/22,Qespi,,x,,Plate 3,1,A1,,8/8/22,Cade,8/8/22,ACRU,Outer,Wood,1a,A1,Plate 3,,NA,strict,mcra,0.115652055,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2.31304121,NA,NA,0.370473683,0.017520556,20346,2,20344
9,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,,NA,loose,mcra,0.456641108,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,9.132822037,NA,NA,0.889439583,0.193985581,18038,7,18031
10,3A10,"FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,7/20/22,Qespi,,x,,Plate 3,73,A10,,8/8/22,Cade,8/8/22,FAGR,Outer,Wood,73a,A10,Plate 3,NA,NA,loose,mcra_probe,0.062354345,NA,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.247086883,NA,NA,0.297834158,0.002618816,18868,1,18867
