"","plate_identifier","Inner.Core.Sample.ID","Sample.Mass.Added.to.Tube..mg.","Date.Weighed","Name.of.Weigher","Notes","Sample.Archived","Sample.Notes","Extraction.Plate.ID","Plate.Well.No.","Plate.Position","Blank.Well.","Sample.Added.to.Extraction.Plate","Name.of.Person.Adding.to.Plate","Date.Plate.Extracted","species","core_type","material","lab_id","seq_id","mcra_probe_loose","mcra_probe_strict","mcra_eva_loose","mcra_eva_strict","bact_loose","bact_strict","arc_loose","arc_strict","mmox_loose","mmox_strict","pmoa_loose","pmoa_strict","Raw"
"1","3A1","ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,"7/25/2022","Qespi","","x","","Plate 3",1,"A1","","8/8/2022","Cade","8/8/2022","ACRU","Outer","Wood","1a","RM1",0,0,25.4559688568115,2.31304121017456,NA,NA,NA,NA,26.5794010162354,0,354.529998779297,19.7394409179688,"RM1Outer"
"2","3A10","FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,"7/20/2022","Qespi","","x","","Plate 3",73,"A10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","73a","AB1",1.24708688259125,0,9.13282203674316,2.60901594161987,NA,NA,NA,NA,13.8042907714844,1.72509336471558,12.0109310150146,3.00215768814087,"AB1Outer"
"3","3A11","FAGR_AB5
Wood_Outer
Lab ID: 81a",105.2,"7/20/2022","Qespi","","x","","Plate 3",81,"A11","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","81a","AB5",1.30955398082733,0,5.78936147689819,0,NA,NA,NA,NA,49.5374221801758,0,6.01121807098389,0,"AB5Outer"
"4","3A12","FRAM_WA101
Wood_Outer
Lab ID: 89a",100.3,"7/21/2022","cade","","x","","Plate 3",89,"A12","","8/8/2022","Cade","8/8/2022","FRAM","Outer","Wood","89a","WA101",6.60521078109741,1.6511287689209,3.64693427085876,1.2155818939209,NA,NA,NA,NA,18.8521862030029,1.88453900814056,272.019378662109,42.0769271850586,"WA101Outer"
"5","3A2","ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,"7/25/2022","Qespi","","x","","Plate 3",9,"A2","","8/8/2022","Cade","8/8/2022","ACRU","Outer","Wood","9a","RM303",1.36739277839661,0,11.6952657699585,2.92327165603638,NA,NA,NA,NA,19.0470142364502,0,52.6446189880371,1.81337225437164,"RM303Outer"
"6","3A3","ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,"7/22/2022","Qespi","","x","","Plate 3",17,"A3","","8/8/2022","Cade","8/8/2022","ACSA","Outer","Wood","17a","SM1",0,0,12.7110433578491,2.54165935516357,NA,NA,NA,NA,16.7067794799805,0,61.7592086791992,5.00146913528442,"SM1Outer"
"7","3A4","ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,"7/22/2022","Qespi","","x","","Plate 3",25,"A4","","8/8/2022","Cade","8/8/2022","ACSA","Outer","Wood","25a","SM3",1.33209228515625,0,3.83142375946045,1.27707195281982,NA,NA,NA,NA,21.6316509246826,4.99015474319458,29.9948921203613,12.6247692108154,"SM3Outer"
"8","3A5","BEAL_YB10
Wood_Outer
Lab ID: 33a",108,"7/21/2022","Qespi","","x","","Plate 3",33,"A5","","8/8/2022","Cade","8/8/2022","BEAL","Outer","Wood","33a","YB10",17.3624172210693,2.67030715942383,5.16420555114746,1.29094505310059,NA,NA,NA,NA,25.9525127410889,1.72927737236023,10.00754737854,3.33537626266479,"YB10Outer"
"9","3A8","BELE_BB5
Wood_Outer
Lab ID: 57a",101.6,"7/25/2022","Qespi","","x","","Plate 3",57,"A8","","8/8/2022","Cade","8/8/2022","BELE","Outer","Wood","57a","BB5",0,0,33.3314170837402,1.28110480308533,NA,NA,NA,NA,35.957706451416,1.63324964046478,56.6813354492188,4.99580574035645,"BB5Outer"
"10","3A9","BELE_BBX7
Wood_Outer
Lab ID: 65a",100.4,"7/27/2022","Qespi + Jon","","x","","Plate 3",65,"A9","","8/8/2022","Cade","8/8/2022","BELE","Outer","Wood","65a","BBX7",1.23303604125977,0,5.29673290252686,2.64821743965149,NA,NA,NA,NA,13.220362663269,0,189.817657470703,12.7966108322144,"BBX7Outer"
"11","3B1","ACRU_RM10
Wood_Outer
Lab ID: 2a",100.5,"7/25/2022","Qespi","","x","2 samples labelled RM2Outer-- why?","Plate 3",2,"B1","","8/8/2022","Cade","8/8/2022","ACRU","Outer","Wood","2a","RM10",19.0797443389893,4.08721399307251,6.97271060943604,0,NA,NA,NA,NA,30.9964637756348,1.54885387420654,101.001960754395,12.8016376495361,"RM10Outer"
"12","3B10","FAGR_AB10
Wood_Outer
Lab ID: 74a",108,"7/20/2022","Qespi","","x","","Plate 3",74,"B10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","74a","AB10",0,0,14.0264749526978,2.54964637756348,NA,NA,NA,NA,53.6665382385254,0,50.3303108215332,3.35200691223145,"AB10Outer"
"13","3B11","FAGR_AB501
Wood_Outer
Lab ID: 82a",103.6,"7/20/2022","Qespi","","x","","Plate 3",82,"B11","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","82a","AB501",2.45507216453552,0,4.44664287567139,0,NA,NA,NA,NA,31.4464778900146,0,11.6122932434082,1.45122349262238,"AB501Outer"
