Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 4,,,,16S_arc,1257.93212890625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,25158.642578125,,,1292.25305175781,1224.58435058594,8891,5839,3052,0,0,0,0,,,,,,,,,7529.41162109375,,,1.90022723427504,2.71314608980734,,,,,,,,,,,,11826.1278179657,6334.76442861495,9941.11588856533,,,,,1275.31774902344,1240.7998046875,,,,,,,,,,,,,No
A02,Plate 4,,,,16S_arc,171.775909423828,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3435.51806640625,,,179.870590209961,163.736557006836,12845,1745,11100,0,0,0,0,,,,,,,,,7529.41162109375,,,1.51803968914926,5.77931526374612,,,,,,,,,,,,11702.4657212572,6151.84191935771,6905.89707967803,,,,,175.898880004883,167.667327880859,,,,,,,,,,,,,No
A03,Plate 4,,,,16S_arc,292.743225097656,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5854.8642578125,,,304.231353759766,281.366180419922,11494,2532,8962,0,0,0,0,,,,,,,,,7529.41162109375,,,1.38059214920777,1.6654518398154,,,,,,,,,,,,10573.3208528492,6916.12747088183,7721.76638189116,,,,,298.590515136719,286.924865722656,,,,,,,,,,,,,No
A04,Plate 4,,,,16S_arc,236.279266357422,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4725.58544921875,,,245.735321044922,226.89860534668,13333,2426,10907,0,0,0,0,,,,,,,,,7529.41162109375,,,1.62035095680869,5.32190448689679,,,,,,,,,,,,11715.43649848,5926.91579751679,6980.16347024887,,,,,241.094299316406,231.483871459961,,,,,,,,,,,,,No
A05,Plate 4,,,,16S_arc,24.6892547607422,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,493.785095214844,,,27.4233379364014,21.9615116119385,15120,314,14806,0,0,0,0,,,,,,,,,7529.41162109375,,,1.49110720188654,8.36998901014347,,,,,,,,,,,,9098.17012402966,3788.26488344305,3898.53672507957,,,,,26.083402633667,23.2967586517334,,,,,,,,,,,,,No
A06,Plate 4,,,,16S_arc,119.323303222656,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2386.46606445313,,,125.582000732422,113.097724914551,14567,1405,13162,0,0,0,0,,,,,,,,,7529.41162109375,,,1.1716033830861,5.22560196371556,,,,,,,,,,,,9122.02411101535,4536.38583880988,4978.67469529706,,,,,122.512351989746,116.142868041992,,,,,,,,,,,,,No
A07,Plate 4,,,,16S_arc,7.60280895233154,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,152.056182861328,,,9.2438497543335,6.16972541809082,14748,95,14653,0,0,0,0,,,,,,,,,7529.41162109375,,,1.39833220122148,16.018151981593,,,,,,,,,,,,11129.656224301,5236.12227848933,5274.08578031006,,,,,8.40878295898438,6.85042333602905,,,,,,,,,,,,,No
A08,Plate 4,,,,16S_arc,7.87818098068237,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,157.563613891602,,,9.62868690490723,6.35524463653564,13485,90,13395,0,0,0,0,,,,,,,,,7529.41162109375,,,1.52174534890696,18.3466012977082,,,,,,,,,,,,12272.4938205295,5136.86211196313,5184.48590534622,,,,,8.7371997833252,7.07780313491821,,,,,,,,,,,,,No
A09,Plate 4,,,,16S_arc,0.237040311098099,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4.74080610275269,,,0.628340303897858,0.0562532469630241,14891,3,14888,0,0,0,0,,,,,,,,,7529.41162109375,,,1.77492953547243,21.3692959031384,,,,,,,,,,,,10284.3597005208,2799.8606295496,2801.36848645732,,,,,0.405842125415802,0.123175986111164,,,,,,,,,,,,,No
A10,Plate 4,,,,16S_arc,0.729594171047211,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,14.5918836593628,,,1.3664436340332,0.330267697572708,12904,8,12896,0,0,0,0,,,,,,,,,7529.41162109375,,,2.04921896902714,5.65456891750648,,,,,,,,,,,,8688.52362060547,1891.67370928014,1895.88750339752,,,,,1.02055490016937,0.500088095664978,,,,,,,,,,,,,No
