Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 4,,,,16S_bact,1358.43579101563,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,27168.71484375,,,1387.35217285156,1330.21325683594,14161,9698,4463,0,0,0,0,,,,,,,,,10000,,,2.25355375373487,1.86502428808099,,,,,,,,,,,,11423.9417266688,5003.92510965814,9400.60056702483,,,,,1373.10046386719,1343.95202636719,,,,,,,,,,,,,No
A02,Plate 4,,,,16S_bact,4248.61865234375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,84972.375,,,4380.7919921875,4129.806640625,12252,11921,331,0,0,0,0,,,,,,,,,10000,,,3.34580302413378,1.60730623355833,,,,,,,,,,,,12170.1267413631,5422.30424716177,11987.8275864838,,,,,4314.1982421875,4186.5029296875,,,,,,,,,,,,,No
A03,Plate 4,,,,16S_bact,5659.53466796875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,113190.6953125,,,5910.84033203125,5452.57568359375,12649,12546,103,0,0,0,0,,,,,,,,,10000,,,4.03158559435499,1.10072212453281,,,,,,,,,,,,12149.6371317614,7767.63784464123,12113.9547911358,,,,,5781.04736328125,5549.40576171875,,,,,,,,,,,,,No
A04,Plate 4,,,,16S_bact,5669.193359375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,113383.8671875,,,5909.0146484375,5444.61962890625,12258,12159,99,0,0,0,0,,,,,,,,,10000,,,3.91208784300746,1.19949756375793,,,,,,,,,,,,12311.4061591626,6755.10461549085,12266.5314770918,,,,,5788.87646484375,5553.42822265625,,,,,,,,,,,,,No
A05,Plate 4,,,,16S_bact,0.657482326030731,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,13.1496467590332,,,1.2807389497757,0.279291152954102,12529,7,12522,0,0,0,0,,,,,,,,,10000,,,0.873026107392814,4.06421669407855,,,,,,,,,,,,10212.8678850446,2313.93038301418,2318.34354946914,,,,,0.940500617027283,0.437936246395111,,,,,,,,,,,,,No
A06,Plate 4,,,,16S_bact,28.5541229248047,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,571.082458496094,,,31.8452453613281,25.2721824645996,12094,290,11804,0,0,0,0,,,,,,,,,10000,,,0.868205581259967,1.53639154299963,,,,,,,,,,,,10161.8103785022,9217.43546616009,9240.08047398043,,,,,30.2321147918701,26.8785190582275,,,,,,,,,,,,,No
A07,Plate 4,,,,16S_bact,5.57945013046265,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,111.589004516602,,,7.03044033050537,4.3441948890686,14161,67,14094,0,0,0,0,,,,,,,,,10000,,,1.57354650548367,45.3350410273792,,,,,,,,,,,,11985.5357392724,2236.07550785892,2282.2031708421,,,,,6.28784942626953,4.92662000656128,,,,,,,,,,,,,No
A08,Plate 4,,,,16S_bact,38.5284233093262,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,770.568481445313,,,42.0978012084961,34.9698448181152,13936,449,13487,0,0,0,0,,,,,,,,,10000,,,2.27588772291609,16.8237345025637,,,,,,,,,,,,11967.6200932628,2229.36082140242,2543.11501292547,,,,,40.3481788635254,36.7114791870117,,,,,,,,,,,,,No
A09,Plate 4,,,,16S_bact,0.283498257398605,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,5.6699652671814,,,0.751514375209808,0.0672774091362953,12451,3,12448,0,0,0,0,,,,,,,,,10000,,,2.56089429887991,39.0481800979537,,,,,,,,,,,,10256.2145182292,2379.49604111895,2381.39389313335,,,,,0.485390692949295,0.147316068410873,,,,,,,,,,,,,No
A10,Plate 4,,,,16S_bact,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.256519436836243,0,13742,0,13742,0,0,0,0,,,,,,,,,10000,,,,2.96409239816793,,,,,,,,,,,,,5670.48552945808,5670.48552945808,,,,,0.117207713425159,0,,,,,,,,,,,,,No
