Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_4,,,,mcrA,0.603428721427917,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,12.0685749053955,,,1.17542016506195,0.256333231925964,13651,7,13644,0,0,0,0,,,,,,,,,10015.2587890625,,,1.02747162918546,13.8062448156792,,,,,,,,,,,,12204.0622209821,7051.41548973135,7054.05767910347,,,,,0.863170862197876,0.401935368776321,,,,,,,,,,,,,No
A02,Plate_4,,,,mcrA,1.66138851642609,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,33.2277717590332,,,2.42135572433472,1.08018958568573,17007,24,16983,0,0,0,0,,,,,,,,,9679.6904296875,,,0.542714010977963,12.6393550633458,,,,,,,,,,,,11835.1492919922,6911.60734160171,6918.55536340505,,,,,2.02353644371033,1.34533643722534,,,,,,,,,,,,,No
A03,Plate_4,,,,mcrA,0.556570410728455,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,11.1314086914063,,,1.08412420749664,0.236430749297142,14800,7,14793,0,0,0,0,,,,,,,,,9090.939453125,,,0.725669501154327,15.0952890176822,,,,,,,,,,,,11700.5707310268,6665.81644420873,6668.19774691195,,,,,0.796135783195496,0.370726138353348,,,,,,,,,,,,,No
A04,Plate_4,,,,mcrA,2.42836427688599,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,48.5672836303711,,,3.34236931800842,1.69875693321228,16489,34,16455,0,0,0,0,,,,,,,,,8737.0810546875,,,1.25451415045062,8.97937334201776,,,,,,,,,,,,10149.2175723805,6844.79622932928,6851.60988241095,,,,,2.86814832687378,2.03612971305847,,,,,,,,,,,,,No
A05,Plate_4,,,,mcrA,1.28611171245575,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,25.7222347259521,,,1.93864357471466,0.799731910228729,18305,20,18285,0,0,0,0,,,,,,,,,7328.69140625,,,0.435087075701037,11.7198434153851,,,,,,,,,,,,8229.23937988281,5216.3639058214,5219.65576648686,,,,,1.59530973434448,1.01977121829987,,,,,,,,,,,,,No
A06,Plate_4,,,,mcrA,1.37663316726685,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,27.5326633453369,,,2.07513308525085,0.856007635593414,17102,20,17082,0,0,0,0,,,,,,,,,7479.19482421875,,,2.04974529133829,13.1056970414235,,,,,,,,,,,,8743.69345703125,5237.13720223619,5241.23795800136,,,,,1.70760953426361,1.09153783321381,,,,,,,,,,,,,No
A07,Plate_4,,,,mcrA,2.97912645339966,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,59.5825271606445,,,3.97704601287842,2.16436624526978,16607,42,16565,0,0,0,0,,,,,,,,,6944.49658203125,,,0.621925152391661,4.66404347851509,,,,,,,,,,,,7597.67585100446,6097.906155822,6101.69915438873,,,,,3.46167421340942,2.54377436637878,,,,,,,,,,,,,No
A08,Plate_4,,,,mcrA,1.05773937702179,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,21.1547870635986,,,1.66809093952179,0.618397653102875,17804,16,17788,0,0,0,0,,,,,,,,,7044.46337890625,,,0.761524325147528,6.37440970117999,,,,,,,,,,,,8273.88882446289,5949.35508134763,5951.44408044277,,,,,1.34474909305573,0.81483793258667,,,,,,,,,,,,,No
A09,Plate_4,,,,mcrA,0.335320085287094,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,6.70640182495117,,,0.728772461414337,0.117887660861015,17545,5,17540,0,0,0,0,,,,,,,,,6741.44287109375,,,0.868835450642825,9.50603475128204,,,,,,,,,,,,12072.833203125,4222.76671517001,4225.00383870605,,,,,0.510730564594269,0.205606952309608,,,,,,,,,,,,,No
A10,Plate_4,,,,mcrA,0.0616873651742935,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.23374724388123,,,0.294648021459579,0.00259080436080694,19072,1,19071,0,0,0,0,,,,,,,,,7076.0068359375,,,,13.0368115040586,,,,,,,,,,,,7665.73779296875,3040.34138014868,3040.58390303106,,,,,0.15354585647583,0.0167169570922852,,,,,,,,,,,,,No
