Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 6,,,,mcrA,0.054566015,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.091320276,,,0.260630131,0.002291722,21561,1,21560,0,0,0,0,,,,,,,,,11000,,,,19.1779445,,,,,,,,,,,,11571.98633,6184.406702,6184.656578,,,,,0.13581951,0.01478714,,,,,,,,,,,,,No
A02,Plate 6,,,,mcrA,0.209181309,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4.183626175,,,0.554481566,0.049642336,16874,3,16871,0,0,0,0,,,,,,,,,11000,,,2.328875524,24.7175327,,,,,,,,,,,,14198.83496,6169.769879,6171.197353,,,,,0.358141094,0.10869991,,,,,,,,,,,,,No
A03,Plate 6,,,,mcrA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.197401673,0,17857,0,17857,0,0,0,0,,,,,,,,,11000,,,,26.07750334,,,,,,,,,,,,,6166.348385,6166.348385,,,,,0.090197116,0,,,,,,,,,,,,,No
A04,Plate 6,,,,mcrA,0.065115295,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.302305937,,,0.311023146,0.00273477,18068,1,18067,0,0,0,0,,,,,,,,,11000,,,,21.92471173,,,,,,,,,,,,11668.67188,5983.107385,5983.422061,,,,,0.162078649,0.017645888,,,,,,,,,,,,,No
A06,Plate 6,,,,mcrA,0.056370024,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.127400517,,,0.269247591,0.002367487,20871,1,20870,0,0,0,0,,,,,,,,,11000,,,,24.1789146,,,,,,,,,,,,13893.72266,5960.656839,5961.036939,,,,,0.140310004,0.01527601,,,,,,,,,,,,,No
A07,Plate 6,,,,mcrA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.206527725,0,17068,0,17068,0,0,0,0,,,,,,,,,11000,,,,31.14582587,,,,,,,,,,,,,5548.966607,5548.966607,,,,,0.094366819,0,,,,,,,,,,,,,No
B01,Plate 6,Std,,,mcrA,790.5166016,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,15810.33203,,,808.710083,772.6002808,15629,7647,7982,0,0,0,0,,,,,,,,,11000,,,5.650435593,13.15929263,,,,,,,,,,,,14704.89677,6537.753562,10533.7958,,,,,799.763855,781.3415527,,,,,,,,,,,,,No
B02,Plate 6,,,,mcrA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.216978386,0,16246,0,16246,0,0,0,0,,,,,,,,,11000,,,,23.2279875,,,,,,,,,,,,,6296.522913,6296.522913,,,,,0.099141702,0,,,,,,,,,,,,,No
B03,Plate 6,,,,mcrA,0.066865817,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.337316275,,,0.319385409,0.002808288,17595,1,17594,0,0,0,0,,,,,,,,,11000,,,,27.79921794,,,,,,,,,,,,13318.98242,6126.140433,6126.549233,,,,,0.166436061,0.018120261,,,,,,,,,,,,,No
B04,Plate 6,,,,mcrA,0.068341836,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.366836786,,,0.32643643,0.002870277,17215,1,17214,0,0,0,0,,,,,,,,,11000,,,,29.28435553,,,,,,,,,,,,15961.43945,5885.102308,5885.687631,,,,,0.170110196,0.018520245,,,,,,,,,,,,,No
