Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 4,,,,mcrA_Probe,0.0737298652529716,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.47459733486176,,,0.352175533771515,0.00309656141325831,15957,1,15956,0,0,0,0,,,,,,,,,827.702697753906,,,,7.60068489225375,,,,,,,,,,,,949.700805664063,591.228223789662,591.250688700477,,,,,0.183522194623947,0.0199803356081247,,,,,,,,,,,,,No
A02,Plate 4,,,,mcrA_Probe,0.0932411849498749,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.8648236989975,,,0.445386528968811,0.00391598092392087,12618,1,12617,0,0,0,0,,,,,,,,,827.702697753906,,,,5.78040932274013,,,,,,,,,,,,951.159973144531,619.377390863703,619.403685251267,,,,,0.232090994715691,0.0252676289528608,,,,,,,,,,,,,No
A03,Plate 4,,,,mcrA_Probe,0.277524024248123,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.55048036575317,,,0.735674440860748,0.065859779715538,12719,3,12716,0,0,0,0,,,,,,,,,827.702697753906,,,1.12357185819434,4.13025189979551,,,,,,,,,,,,1057.57442220052,666.121319946308,666.213651049914,,,,,0.475161045789719,0.144211813807487,,,,,,,,,,,,,No
A04,Plate 4,,,,mcrA_Probe,0.0835650488734245,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.67130100727081,,,0.399160236120224,0.00350961275398731,14079,1,14078,0,0,0,0,,,,,,,,,827.702697753906,,,,5.26310010356437,,,,,,,,,,,,1053.48327636719,641.97451069037,642.003739241096,,,,,0.208004429936409,0.0226455423980951,,,,,,,,,,,,,No
A05,Plate 4,,,,mcrA_Probe,0.125617489218712,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.51234984397888,,,0.600070118904114,0.00527566485106945,9366,1,9365,0,0,0,0,,,,,,,,,827.702697753906,,,,2.66700286987871,,,,,,,,,,,,1035.099609375,615.720822679608,615.76559940251,,,,,0.312686800956726,0.0340410135686398,,,,,,,,,,,,,No
A06,Plate 4,,,,mcrA_Probe,11.385968208313,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,227.719360351563,,,14.0676851272583,9.0718879699707,8410,81,8329,0,0,0,0,,,,,,,,,827.702697753906,,,0.953608369931913,3.75473075869653,,,,,,,,,,,,1068.92663950979,633.148748893614,637.345896234864,,,,,12.6993360519409,10.167329788208,,,,,,,,,,,,,No
A07,Plate 4,,,,mcrA_Probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.303945600986481,0,11598,0,11598,0,0,0,0,,,,,,,,,827.702697753906,,,,5.80212929591734,,,,,,,,,,,,,637.323944373344,637.323944373344,,,,,0.13887594640255,0,,,,,,,,,,,,,No
A08,Plate 4,,,,mcrA_Probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.409302115440369,0,8613,0,8613,0,0,0,0,,,,,,,,,827.702697753906,,,,4.76655800707394,,,,,,,,,,,,,643.975702260743,643.975702260743,,,,,0.187009900808334,0,,,,,,,,,,,,,No
A09,Plate 4,,,,mcrA_Probe,42.6440811157227,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,852.881591796875,,,46.9800300598145,38.3240547180176,10478,373,10105,0,0,0,0,,,,,,,,,827.702697753906,,,1.83473258851363,2.53070724992635,,,,,,,,,,,,1017.05319025689,662.413913862331,675.038503487753,,,,,44.854305267334,40.4380035400391,,,,,,,,,,,,,No
A10,Plate 4,,,,mcrA_Probe,0.0866421610116959,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.73284316062927,,,0.413860499858856,0.00363884237594903,13579,1,13578,0,0,0,0,,,,,,,,,827.702697753906,,,,4.72764116964722,,,,,,,,,,,,928.392944335938,652.545619036913,652.565933296085,,,,,0.215664178133011,0.0234793946146965,,,,,,,,,,,,,No
A11,Plate 4,,,,mcrA_Probe,79.4334869384766,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1588.66967773438,,,84.4595794677734,74.4287643432617,14765,964,13801,0,0,0,0,,,,,,,,,827.702697753906,,,1.75169816985274,3.96251987213276,,,,,,,,,,,,1498.37253428099,646.225355800775,701.861649742863,,,,,81.9951400756836,76.8773956298828,,,,,,,,,,,,,No
A12,Plate 4,,,,mcrA_Probe,1005.97320556641,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,20119.46484375,,,1031.59899902344,980.893737792969,11184,6428,4756,0,0,0,0,,,,,,,,,827.702697753906,,,1.97135171616863,3.73524340694339,,,,,,,,,,,,1751.19229437419,660.622061579442,1287.42691283165,,,,,1018.97778320313,993.110717773438,,,,,,,,,,,,,No
B01,Plate 4,,,,mcrA_Probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.226487100124359,0,15564,0,15564,0,0,0,0,,,,,,,,,827.702697753906,,,,7.52473523337437,,,,,,,,,,,,,595.384067210891,595.384067210891,,,,,0.103486187756062,0,,,,,,,,,,,,,No
B02,Plate 4,,,,mcrA_Probe,0.0759086683392525,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.51817333698273,,,0.362583994865417,0.00318806571885943,15499,1,15498,0,0,0,0,,,,,,,,,827.702697753906,,,,5.94687409967869,,,,,,,,,,,,872.035217285156,626.929938885055,626.945753149097,,,,,0.188945770263672,0.0205707661807537,,,,,,,,,,,,,No
