Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_2,Std,,,mcrA_probe,2417.90966796875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,48358.1953125,,,2465.61694335938,2372.06176757813,16562,14441,2121,0,0,0,0,,,,,,,,,981.567138671875,,,7.22938336064503,6.36973261857873,,,,,,,,,,,,2129.66677794949,739.909638170587,1951.68858126606,,,,,2442.00854492188,2394.29467773438,,,,,,,,,,,,,No
A02,Plate_2,,,,mcrA_probe,0.0664954409003258,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.32990884780884,,,0.317616134881973,0.00279273302294314,17693,1,17692,0,0,0,0,,,,,,,,,1002.37249755859,,,,7.33578826921912,,,,,,,,,,,,1038.52429199219,751.636652614206,751.652867368029,,,,,0.16551411151886,0.0180198941379786,,,,,,,,,,,,,No
A03,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.17814590036869,0,19787,0,19787,0,0,0,0,,,,,,,,,1002.37249755859,,,,6.85344510103351,,,,,,,,,,,,,756.199942559647,756.199942559647,,,,,0.0813990980386734,0,,,,,,,,,,,,,No
A04,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.195431530475616,0,18037,0,18037,0,0,0,0,,,,,,,,,1002.37249755859,,,,6.25468222994719,,,,,,,,,,,,,763.983577874836,763.983577874836,,,,,0.0892969593405724,0,,,,,,,,,,,,,No
A05,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.212159112095833,0,16615,0,16615,0,0,0,0,,,,,,,,,1043.98327636719,,,,6.90909479013924,,,,,,,,,,,,,798.90408789709,798.90408789709,,,,,0.096939779818058,0,,,,,,,,,,,,,No
A06,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.226210922002792,0,15583,0,15583,0,0,0,0,,,,,,,,,1075.19128417969,,,,5.85633000183963,,,,,,,,,,,,,863.345009812156,863.345009812156,,,,,0.103360004723072,0,,,,,,,,,,,,,No
A07,Plate_2,,,,mcrA_probe,0.0689870491623878,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.37974095344543,,,0.329518586397171,0.00289737456478179,17054,1,17053,0,0,0,0,,,,,,,,,1023.17785644531,,,,6.26772707112791,,,,,,,,,,,,1056.353515625,771.229615583886,771.246334470953,,,,,0.171716257929802,0.0186950899660587,,,,,,,,,,,,,No
A08,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.217152163386345,0,16233,0,16233,0,0,0,0,,,,,,,,,1054.38586425781,,,,7.44531066914132,,,,,,,,,,,,,790.182927920477,790.182927920477,,,,,0.0992210954427719,0,,,,,,,,,,,,,No
A09,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.208556279540062,0,16902,0,16902,0,0,0,0,,,,,,,,,1033.58056640625,,,,6.45631235989477,,,,,,,,,,,,,798.438217143225,798.438217143225,,,,,0.0952936634421349,0,,,,,,,,,,,,,No
A10,Plate_2,,,,mcrA_probe,0.149355158209801,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.98710322380066,,,0.478451490402222,0.0226260889321566,15755,2,15753,0,0,0,0,,,,,,,,,1012.77520751953,,,135.356490266357,5.38734337554961,,,,,,,,,,,,1247.88110351563,796.386875361569,796.44418976692,,,,,0.287152111530304,0.0648178085684776,,,,,,,,,,,,,No
