Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_2,Std,,,mcrA_probe,2344.79345703125,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,46895.8671875,,,2390.78930664063,2300.5283203125,16562,14305,2257,0,0,0,0,,,,,,,,,1500,,,4.66483146129301,5.0833515853505,,,,,,,,,,,,2137.54381485385,773.727076404117,1951.68858126606,,,,,2368.0361328125,2322.0009765625,,,,,,,,,,,,,No
A02,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.199231594800949,0,17693,0,17693,0,0,0,0,,,,,,,,,1500,,,,21.8515781945759,,,,,,,,,,,,,751.652867368029,751.652867368029,,,,,0.0910332053899765,0,,,,,,,,,,,,,No
A03,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.17814590036869,0,19787,0,19787,0,0,0,0,,,,,,,,,1500,,,,20.7073971338309,,,,,,,,,,,,,756.199942559647,756.199942559647,,,,,0.0813990980386734,0,,,,,,,,,,,,,No
A04,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.195431530475616,0,18037,0,18037,0,0,0,0,,,,,,,,,1500,,,,19.3110856096943,,,,,,,,,,,,,763.983577874836,763.983577874836,,,,,0.0892969593405724,0,,,,,,,,,,,,,No
A05,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.212159112095833,0,16615,0,16615,0,0,0,0,,,,,,,,,1500,,,,19.7647876343003,,,,,,,,,,,,,798.90408789709,798.90408789709,,,,,0.096939779818058,0,,,,,,,,,,,,,No
A06,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.226210922002792,0,15583,0,15583,0,0,0,0,,,,,,,,,1500,,,,17.5998456002558,,,,,,,,,,,,,863.345009812156,863.345009812156,,,,,0.103360004723072,0,,,,,,,,,,,,,No
A07,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.206697285175323,0,17054,0,17054,0,0,0,0,,,,,,,,,1500,,,,18.1030839902079,,,,,,,,,,,,,771.246334470953,771.246334470953,,,,,0.0944442823529243,0,,,,,,,,,,,,,No
A08,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.217152163386345,0,16233,0,16233,0,0,0,0,,,,,,,,,1500,,,,20.0028383225259,,,,,,,,,,,,,790.182927920477,790.182927920477,,,,,0.0992210954427719,0,,,,,,,,,,,,,No
A09,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.208556279540062,0,16902,0,16902,0,0,0,0,,,,,,,,,1500,,,,19.2628083545317,,,,,,,,,,,,,798.438217143225,798.438217143225,,,,,0.0952936634421349,0,,,,,,,,,,,,,No
A10,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.223741099238396,0,15755,0,15755,0,0,0,0,,,,,,,,,1500,,,,17.3784699964948,,,,,,,,,,,,,796.44418976692,796.44418976692,,,,,0.102231554687023,0,,,,,,,,,,,,,No
A11,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.194129124283791,0,18158,0,18158,0,0,0,0,,,,,,,,,1500,,,,18.024990091374,,,,,,,,,,,,,837.549694768421,837.549694768421,,,,,0.0887018889188766,0,,,,,,,,,,,,,No
A12,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.187589108943939,0,18791,0,18791,0,0,0,0,,,,,,,,,1500,,,,18.6584174194049,,,,,,,,,,,,,830.018852293571,830.018852293571,,,,,0.0857137441635132,0,,,,,,,,,,,,,No
B01,Plate_2,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.182084754109383,0,19359,0,19359,0,0,0,0,,,,,,,,,1500,,,,20.9380605427798,,,,,,,,,,,,,752.671386408199,752.671386408199,,,,,0.0831987783312798,0,,,,,,,,,,,,,No
