Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A06,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.187121034,0,18838,0,18838,0,0,0,0,,,,,,,,,1023.583618,,,,6.920185167,,,,,,,,,,,,,787.8226796,787.8226796,,,,,0.085499883,0,,,,,,,,,,,,,No
A07,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.260154665,0,13550,0,13550,0,0,0,0,,,,,,,,,1013.516479,,,,3.895213194,,,,,,,,,,,,,783.7485584,783.7485584,,,,,0.118868604,0,,,,,,,,,,,,,No
A08,Plate_1,,,,mcrA_probe,0.179490507,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.589810133,,,0.475769639,0.042596605,19665,3,19662,0,0,0,0,,,,,,,,,1023.583618,,,0.741613535,6.200291522,,,,,,,,,,,,1374.913981,802.6058275,802.6931362,,,,,0.307304472,0.093271822,,,,,,,,,,,,,No
A09,Plate_1,,,,mcrA_probe,0.141394213,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.827884197,,,0.45294565,0.021420132,16642,2,16640,0,0,0,0,,,,,,,,,1023.583618,,,1.087769356,5.240529555,,,,,,,,,,,,1352.227661,836.4781826,836.5401643,,,,,0.27184546,0.061363,,,,,,,,,,,,,No
A10,Plate_1,,,,mcrA_probe,0.188683093,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.773661852,,,0.500139296,0.044778053,18707,3,18704,0,0,0,0,,,,,,,,,1023.583618,,,5.49934868,5.537619281,,,,,,,,,,,,1239.103231,829.629563,829.6952294,,,,,0.323043913,0.098048545,,,,,,,,,,,,,No
A11,Plate_1,,,,mcrA_probe,0.278900146,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5.57800293,,,0.657682657,0.084151156,16875,4,16871,0,0,0,0,,,,,,,,,1023.583618,,,1.356529719,6.136636291,,,,,,,,,,,,1445.816559,807.2237083,807.3750784,,,,,0.445504814,0.160150334,,,,,,,,,,,,,No
A12,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.201084271,0,17530,0,17530,0,0,0,0,,,,,,,,,1094.053345,,,,6.930443263,,,,,,,,,,,,,842.5830696,842.5830696,,,,,0.091879696,0,,,,,,,,,,,,,No
B06,Plate_1,,,,mcrA_probe,1.253819466,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,25.07638931,,,1.87244451,0.789392173,19715,21,19694,0,0,0,0,,,,,,,,,1023.583618,,,1.02669525,6.505060377,,,,,,,,,,,,1241.874785,786.4089392,786.8940918,,,,,1.547406197,1.000022054,,,,,,,,,,,,,No
B07,Plate_1,,,,mcrA_probe,0.061693832,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.233876705,,,0.294678926,0.002591076,19070,1,19069,0,0,0,0,,,,,,,,,1013.516479,,,,5.963940448,,,,,,,,,,,,1783.534912,794.2369053,794.2887825,,,,,0.153561965,0.01671871,,,,,,,,,,,,,No
B08,Plate_1,,,,mcrA_probe,0.118214488,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.364289761,,,0.378682911,0.017908731,19905,2,19903,0,0,0,0,,,,,,,,,1023.583618,,,23.50418913,6.406594769,,,,,,,,,,,,1040.877502,794.3769978,794.4017655,,,,,0.22727789,0.051303629,,,,,,,,,,,,,No
B09,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.204455212,0,17241,0,17241,0,0,0,0,,,,,,,,,1023.583618,,,,5.349868077,,,,,,,,,,,,,826.3564436,826.3564436,,,,,0.09341988,0,,,,,,,,,,,,,No
B10,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.189607322,0,18591,0,18591,0,0,0,0,,,,,,,,,1023.583618,,,,5.523851188,,,,,,,,,,,,,821.2912182,821.2912182,,,,,0.086635873,0,,,,,,,,,,,,,No
B11,Plate_1,,,,mcrA_probe,0.064707011,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.29414022,,,0.309072793,0.002717623,18182,1,18181,0,0,0,0,,,,,,,,,1023.583618,,,,5.692040788,,,,,,,,,,,,1431.0177,810.2099359,810.24408,,,,,0.16106236,0.017535249,,,,,,,,,,,,,No
B12,Plate_1,,,,mcrA_probe,0.06549228,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.309845567,,,0.312824041,0.002750603,17964,1,17963,0,0,0,0,,,,,,,,,1094.053345,,,,5.007632738,,,,,,,,,,,,1096.297241,912.6394864,912.6497101,,,,,0.163017035,0.017748047,,,,,,,,,,,,,No
C06,Plate_1,,,,mcrA_probe,29.61538124,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,592.3076172,,,32.26787186,26.96885681,19309,480,18829,0,0,0,0,,,,,,,,,1023.583618,,,1.253281268,6.18968825,,,,,,,,,,,,1291.986253,786.0199262,798.5976795,,,,,30.9679451,28.26437187,,,,,,,,,,,,,No
C07,Plate_1,,,,mcrA_probe,0.067274943,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.3454988,,,0.321339846,0.00282547,17488,1,17487,0,0,0,0,,,,,,,,,1013.516479,,,,5.735044591,,,,,,,,,,,,1689.307983,795.3305603,795.3816798,,,,,0.167454466,0.018231129,,,,,,,,,,,,,No
C08,Plate_1,,,,mcrA_probe,0.059939913,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.198798299,,,0.28630057,0.002517415,19628,1,19627,0,0,0,0,,,,,,,,,1023.583618,,,,6.087244133,,,,,,,,,,,,1186.678345,798.3351983,798.3549834,,,,,0.149196088,0.016243413,,,,,,,,,,,,,No
C09,Plate_1,,,,mcrA_probe,0.12596719,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.519343853,,,0.403520525,0.019083163,18680,2,18678,0,0,0,0,,,,,,,,,1023.583618,,,1.050554547,4.941907575,,,,,,,,,,,,1040.921936,827.5794124,827.6022542,,,,,0.242183894,0.054668102,,,,,,,,,,,,,No
C10,Plate_1,,,,mcrA_probe,0.061947215,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.238944292,,,0.295889318,0.002601717,18992,1,18991,0,0,0,0,,,,,,,,,1023.583618,,,,5.479756279,,,,,,,,,,,,1049.033691,822.4030047,822.4149376,,,,,0.154192671,0.016787374,,,,,,,,,,,,,No
C11,Plate_1,,,,mcrA_probe,0.302531809,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.050636292,,,0.713418901,0.091280781,15557,4,15553,0,0,0,0,,,,,,,,,1023.583618,,,1.879025337,4.914626588,,,,,,,,,,,,1716.538025,780.7557069,780.9963143,,,,,0.483256042,0.173719376,,,,,,,,,,,,,No
C12,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.192380831,0,18323,0,18323,0,0,0,0,,,,,,,,,1094.053345,,,,5.205848536,,,,,,,,,,,,,904.6414859,904.6414859,,,,,0.087903097,0,,,,,,,,,,,,,No
D06,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.186418384,0,18909,0,18909,0,0,0,0,,,,,,,,,1023.583618,,,,4.906355487,,,,,,,,,,,,,841.2994175,841.2994175,,,,,0.08517883,0,,,,,,,,,,,,,No
D07,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.209473476,0,16828,0,16828,0,0,0,0,,,,,,,,,1013.516479,,,,5.423051435,,,,,,,,,,,,,796.9974799,796.9974799,,,,,0.095712721,0,,,,,,,,,,,,,No
D08,Plate_1,,,,mcrA_probe,0.062015794,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.240315914,,,0.296216905,0.002604597,18971,1,18970,0,0,0,0,,,,,,,,,1023.583618,,,,5.781312286,,,,,,,,,,,,1026.807983,811.3620889,811.3734455,,,,,0.154363379,0.016805956,,,,,,,,,,,,,No
D09,Plate_1,,,,mcrA_probe,0.062463596,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.24927187,,,0.298356026,0.002623404,18835,1,18834,0,0,0,0,,,,,,,,,1023.583618,,,,5.64244284,,,,,,,,,,,,1183.472168,818.979351,818.9987029,,,,,0.15547803,0.016927307,,,,,,,,,,,,,No
D10,Plate_1,,,,mcrA_probe,0.064831816,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.296636343,,,0.309668988,0.002722865,18147,1,18146,0,0,0,0,,,,,,,,,1023.583618,,,,5.799807968,,,,,,,,,,,,1592.309814,817.4373252,817.480025,,,,,0.161373019,0.017569069,,,,,,,,,,,,,No
D11,Plate_1,,,,mcrA_probe,0.131090373,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.621807575,,,0.419934034,0.019859252,17950,2,17948,0,0,0,0,,,,,,,,,1023.583618,,,3.630241615,5.612223186,,,,,,,,,,,,1635.282654,823.2722364,823.3627111,,,,,0.252034217,0.056891426,,,,,,,,,,,,,No
D12,Plate_1,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.185155123,0,19038,0,19038,0,0,0,0,,,,,,,,,1094.053345,,,,5.575252499,,,,,,,,,,,,,893.3407819,893.3407819,,,,,0.084601641,0,,,,,,,,,,,,,No
