Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 5,,,,mcrA_probe,0.0868853181600571,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.73770642280579,,,0.415022134780884,0.00364905409514904,13541,1,13540,0,0,0,0,,,,,,,,,1944,,,,34.9963162994151,,,,,,,,,,,,2021.91625976563,585.447134863714,585.553217806252,,,,,0.216269448399544,0.0235452856868505,,,,,,,,,,,,,No
A02,Plate 5,,,,mcrA_probe,0.168404042720795,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,3.36808085441589,,,0.539483189582825,0.0255116615444422,13973,2,13971,0,0,0,0,,,,,,,,,1944,,,11.5129858016375,37.3253165079122,,,,,,,,,,,,2215.212890625,615.31070581717,615.539704913256,,,,,0.323778122663498,0.0730843916535378,,,,,,,,,,,,,No
A03,Plate 5,,,,mcrA_probe,0.529107511043549,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,10.5821504592896,,,1.08174979686737,0.207205414772034,13344,6,13338,0,0,0,0,,,,,,,,,1944,,,1.86274946973219,35.3274080061015,,,,,,,,,,,,2075.89609781901,630.395356164985,631.045311534433,,,,,0.777870237827301,0.340100646018982,,,,,,,,,,,,,No
A04,Plate 5,,,,mcrA_probe,0.403301417827606,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,8.0660285949707,,,0.876550257205963,0.141785025596619,14588,5,14583,0,0,0,0,,,,,,,,,1944,,,2.09066673038946,34.2432328303849,,,,,,,,,,,,2156.86198730469,632.15818876711,632.680777126905,,,,,0.614283084869385,0.247288033366203,,,,,,,,,,,,,No
A05,Plate 5,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.446645766496658,0,7893,0,7893,0,0,0,0,,,,,,,,,1944,,,,22.2776906058089,,,,,,,,,,,,,642.553717224283,642.553717224283,,,,,0.204070419073105,0,,,,,,,,,,,,,No
A06,Plate 5,,,,mcrA_probe,0.242396339774132,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.8479266166687,,,0.776571750640869,0.036719836294651,9708,2,9706,0,0,0,0,,,,,,,,,1944,,,75.8543918821528,38.5045864792949,,,,,,,,,,,,2265.20520019531,632.07748544199,632.41393532142,,,,,0.466051250696182,0.105193868279457,,,,,,,,,,,,,No
A07,Plate 5,,,,mcrA_probe,0.118066191673279,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.36132383346558,,,0.563991010189056,0.004958541598171,9965,1,9964,0,0,0,0,,,,,,,,,1944,,,,41.5906864180919,,,,,,,,,,,,2280.06323242188,647.25884309307,647.422697020749,,,,,0.293888717889786,0.0319947674870491,,,,,,,,,,,,,No
A08,Plate 5,,,,mcrA_probe,0.202508062124252,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.05016136169434,,,0.648756384849548,0.0306777320802212,11620,2,11618,0,0,0,0,,,,,,,,,1944,,,3.31413665942337,40.6747686794525,,,,,,,,,,,,2221.77416992188,626.007847882319,626.282506457541,,,,,0.389352649450302,0.087884210050106,,,,,,,,,,,,,No
A09,Plate 5,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.368596613407135,0,9564,0,9564,0,0,0,0,,,,,,,,,1944,,,,35.8059155615306,,,,,,,,,,,,,642.482977164734,642.482977164734,,,,,0.168413162231445,0,,,,,,,,,,,,,No
A10,Plate 5,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.363915652036667,0,9687,0,9687,0,0,0,0,,,,,,,,,1944,,,,39.7548010441462,,,,,,,,,,,,,649.180681206782,649.180681206782,,,,,0.166274592280388,0,,,,,,,,,,,,,No
