Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.2103610932827,0,16757,0,16757,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.0742446944937,,,,,,,,,,,,,619.412104361281,619.412104361281,,,,,0.0961182788014412,0,,,,,,,,,,,,,No
A02,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.204847320914268,0,17208,0,17208,0,0,0,0,,,,,,,,,1869.93237304688,,,,37.8740419226388,,,,,,,,,,,,,633.978553979467,633.978553979467,,,,,0.0935990363359451,0,,,,,,,,,,,,,No
A03,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.188350945711136,0,18715,0,18715,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.1939948352452,,,,,,,,,,,,,636.463944414991,636.463944414991,,,,,0.0860618203878403,0,,,,,,,,,,,,,No
A04,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.199558705091476,0,17664,0,17664,0,0,0,0,,,,,,,,,1869.93237304688,,,,36.4373892413216,,,,,,,,,,,,,658.93229475747,658.93229475747,,,,,0.0911826714873314,0,,,,,,,,,,,,,No
A05,Plate_3,,,,mcrA_probe,0.133515357971191,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.67030715942383,,,0.42770317196846,0.0202266033738852,17624,2,17622,0,0,0,0,,,,,,,,,1869.93237304688,,,6.95438870924436,38.03944211012,,,,,,,,,,,,2051.73590087891,659.775502902048,659.933464817388,,,,,0.256696730852127,0.0579438060522079,,,,,,,,,,,,,No
A08,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.202679947018623,0,17392,0,17392,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.6613537937716,,,,,,,,,,,,,654.606071759937,654.606071759937,,,,,0.0926087647676468,0,,,,,,,,,,,,,No
A09,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.184718459844589,0,19083,0,19083,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.4598376901609,,,,,,,,,,,,,652.56944510065,652.56944510065,,,,,0.0844021365046501,0,,,,,,,,,,,,,No
A10,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.186823502182961,0,18868,0,18868,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.8288958666507,,,,,,,,,,,,,666.101201076641,666.101201076641,,,,,0.085363931953907,0,,,,,,,,,,,,,No
A11,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.196182087063789,0,17968,0,17968,0,0,0,0,,,,,,,,,1869.93237304688,,,,38.0026257743287,,,,,,,,,,,,,668.555969594954,668.555969594954,,,,,0.0896398946642876,0,,,,,,,,,,,,,No
A12,Plate_3,,,,mcrA_probe,0.0825564414262772,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.6511287689209,,,0.394341826438904,0.00346725410781801,14251,1,14250,0,0,0,0,,,,,,,,,1869.93237304688,,,,34.6252065450348,,,,,,,,,,,,2083.55834960938,669.701162931743,669.80037401775,,,,,0.205493718385696,0.0223722234368324,,,,,,,,,,,,,No
B01,Plate_3,,,,mcrA_probe,0.204360708594322,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,4.08721399307251,,,0.541701674461365,0.0484983995556831,17272,3,17269,0,0,0,0,,,,,,,,,1869.93237304688,,,1.75831872891283,37.6036596068823,,,,,,,,,,,,2023.48811848958,623.84691916098,624.09002497374,,,,,0.349887192249298,0.106195025146008,,,,,,,,,,,,,No
B02,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.187081322073936,0,18842,0,18842,0,0,0,0,,,,,,,,,1869.93237304688,,,,38.8262210531458,,,,,,,,,,,,,635.361204172646,635.361204172646,,,,,0.0854817256331444,0,,,,,,,,,,,,,No
B03,Plate_3,,,,mcrA_probe,0.0603426545858383,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1.20685315132141,,,0.288224428892136,0.0025343291927129,19497,1,19496,0,0,0,0,,,,,,,,,1869.93237304688,,,,36.496957743653,,,,,,,,,,,,2177.85913085938,640.586749385604,640.665595996953,,,,,0.150198608636856,0.0163525547832251,,,,,,,,,,,,,No
B04,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.191586121916771,0,18399,0,18399,0,0,0,0,,,,,,,,,1869.93237304688,,,,38.1985256756135,,,,,,,,,,,,,649.357581928493,649.357581928493,,,,,0.087539978325367,0,,,,,,,,,,,,,No
B05,Plate_3,,,,mcrA_probe,0.140131086111069,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2.80262184143066,,,0.448898822069168,0.0212287865579128,16792,2,16790,0,0,0,0,,,,,,,,,1869.93237304688,,,1.25201025177782,38.5397785834562,,,,,,,,,,,,2043.52087402344,655.317871028316,655.483212024385,,,,,0.269416838884354,0.060814842581749,,,,,,,,,,,,,No
B08,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.242472782731056,0,14538,0,14538,0,0,0,0,,,,,,,,,1869.93237304688,,,,37.2055909157956,,,,,,,,,,,,,648.237190593993,648.237190593993,,,,,0.110789924860001,0,,,,,,,,,,,,,No
B09,Plate_3,,,,mcrA_probe,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.185408368706703,0,19012,0,19012,0,0,0,0,,,,,,,,,1869.93237304688,,,,39.4609658504718,,,,,,,,,,,,,650.349640350053,650.349640350053,,,,,0.0847173482179642,0,,,,,,,,,,,,,No
