Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_6,,,,mcrA_probe,0.669666826725006,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,13.3933362960815,,,1.17980682849884,0.333379447460175,17573,10,17563,0,0,0,0,,,,,,,,,849.368591308594,,,1.37799320071175,8.68440068124032,,,,,,,,,,,,1529.10709838867,586.989061056397,587.525177847686,,,,,0.905145287513733,0.479107797145844,,,,,,,,,,,,,No
A02,Plate_6,,,,mcrA_probe,1.26290988922119,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,25.2581977844238,,,1.94361913204193,0.763547599315643,16777,18,16759,0,0,0,0,,,,,,,,,849.368591308594,,,1.08063345399933,7.75064024740033,,,,,,,,,,,,1279.12549167209,602.258309439946,602.984518492827,,,,,1.58439648151398,0.988251924514771,,,,,,,,,,,,,No
A03,Plate_6,,,,mcrA_probe,0.312733083963394,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,6.25466156005859,,,0.679674983024597,0.109947472810745,18812,5,18807,0,0,0,0,,,,,,,,,849.368591308594,,,1.45168395494492,8.10355513948979,,,,,,,,,,,,1488.06474609375,597.489440614529,597.726144661276,,,,,0.476325571537018,0.191758066415787,,,,,,,,,,,,,No
A04,Plate_6,,,,mcrA_probe,0.476907253265381,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.53814506530762,,,0.893107175827026,0.215895801782608,19739,8,19731,0,0,0,0,,,,,,,,,849.368591308594,,,1.49248736043903,7.68929767995312,,,,,,,,,,,,1451.12241363525,617.041454662996,617.379498518904,,,,,0.667068362236023,0.326899081468582,,,,,,,,,,,,,No
A06,Plate_6,,,,mcrA_probe,0.951067626476288,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19.0213527679443,,,1.54424357414246,0.53372597694397,17325,14,17311,0,0,0,0,,,,,,,,,849.368591308594,,,1.25060176069084,6.98674624149253,,,,,,,,,,,,1294.91902814593,628.989770058625,629.527894711625,,,,,1.22872042655945,0.71880030632019,,,,,,,,,,,,,No
A07,Plate_6,,,,mcrA_probe,0.491703391075134,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,9.83406829833984,,,0.957746863365173,0.208878576755524,16752,7,16745,0,0,0,0,,,,,,,,,849.368591308594,,,1.63448301376772,7.86996146281374,,,,,,,,,,,,1342.87404087612,603.793583001689,604.10241557124,,,,,0.703339576721191,0.327521830797195,,,,,,,,,,,,,No
B01,Plate_6,std,,,mcrA_probe,1119.57214355469,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,22391.443359375,,,1141.95031738281,1097.61169433594,17205,10562,6643,0,0,0,0,,,,,,,,,849.368591308594,,,6.76635468339415,7.23263285397397,,,,,,,,,,,,2179.95382807738,595.22904937712,1568.07782081753,,,,,1130.93640136719,1108.31665039063,,,,,,,,,,,,,No
B02,Plate_6,,,,mcrA_probe,0.808335781097412,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,16.1667156219482,,,1.33498561382294,0.442712694406509,18927,13,18914,0,0,0,0,,,,,,,,,849.368591308594,,,1.68523349699094,7.96806050920967,,,,,,,,,,,,1451.80060753456,604.154458017623,604.736663329807,,,,,1.05411791801453,0.604147493839264,,,,,,,,,,,,,No
B03,Plate_6,,,,mcrA_probe,0.940499365329742,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,18.8099880218506,,,1.50390493869781,0.539315760135651,18771,15,18756,0,0,0,0,,,,,,,,,849.368591308594,,,1.63558958640024,8.08883729012484,,,,,,,,,,,,1489.74193115234,600.27434447702,600.985122475003,,,,,1.20485246181488,0.718034684658051,,,,,,,,,,,,,No
B04,Plate_6,,,,mcrA_probe,0.952815532684326,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,19.0563106536865,,,1.57366013526917,0.521827459335327,16058,13,16045,0,0,0,0,,,,,,,,,849.368591308594,,,2.02644081204786,7.52697233266852,,,,,,,,,,,,1638.97291917067,617.469337727281,618.296311606891,,,,,1.24255108833313,0.712120115756989,,,,,,,,,,,,,No
