Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate 4,,,,mmoX,0.23906335234642,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,4.7812671661377,,,0.633703827857971,0.0567333064973354,14765,3,14762,0,0,0,0,,,,,,,,,12016.806640625,,,1.48638742010213,43.6428883605014,,,,,,,,,,,,17980.8014322917,5322.77668207962,5325.34858009863,,,,,0.409306079149246,0.124227188527584,,,,,,,,,,,,,No
A02,Plate 4,,,,mmoX,0.0842170864343643,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.68434166908264,,,0.402275174856186,0.00353699619881809,13970,1,13969,0,0,0,0,,,,,,,,,12016.806640625,,,,39.9995758780397,,,,,,,,,,,,17501.322265625,5188.40319365439,5189.28457655145,,,,,0.209627509117126,0.0228222347795963,,,,,,,,,,,,,No
A03,Plate 4,,,,mmoX,0.0896871015429497,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.79374206066132,,,0.428407281637192,0.00376672064885497,13118,1,13117,0,0,0,0,,,,,,,,,12016.806640625,,,,21.627969404437,,,,,,,,,,,,17475.234375,7230.85605887904,7231.63699944286,,,,,0.223243877291679,0.0243045296519995,,,,,,,,,,,,,No
A04,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.250076651573181,0,14096,0,14096,0,0,0,0,,,,,,,,,12016.806640625,,,,36.1550929279929,,,,,,,,,,,,,5440.18581030994,5440.18581030994,,,,,0.114264078438282,0,,,,,,,,,,,,,No
A05,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.245992630720139,0,14330,0,14330,0,0,0,0,,,,,,,,,12016.806640625,,,,40.7765238944096,,,,,,,,,,,,,3443.81047536207,3443.81047536207,,,,,0.112398125231266,0,,,,,,,,,,,,,No
A06,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.251989662647247,0,13989,0,13989,0,0,0,0,,,,,,,,,12016.806640625,,,,76.4571793984287,,,,,,,,,,,,,3820.63961888198,3820.63961888198,,,,,0.115138106048107,0,,,,,,,,,,,,,No
A07,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.256781071424484,0,13728,0,13728,0,0,0,0,,,,,,,,,12016.806640625,,,,55.2642258856848,,,,,,,,,,,,,4385.94659071702,4385.94659071702,,,,,0.117327250540257,0,,,,,,,,,,,,,No
A08,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.253987044095993,0,13879,0,13879,0,0,0,0,,,,,,,,,12016.806640625,,,,48.2566475766648,,,,,,,,,,,,,4347.86803823329,4347.86803823329,,,,,0.116050690412521,0,,,,,,,,,,,,,No
A09,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.237170234322548,0,14863,0,14863,0,0,0,0,,,,,,,,,12016.806640625,,,,41.812575113886,,,,,,,,,,,,,2991.83050416788,2991.83050416788,,,,,0.108367249369621,0,,,,,,,,,,,,,No
A10,Plate 4,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.242556199431419,0,14533,0,14533,0,0,0,0,,,,,,,,,12016.806640625,,,,51.2606853181306,,,,,,,,,,,,,1841.45503130604,1841.45503130604,,,,,0.110828056931496,0,,,,,,,,,,,,,No
