Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_8,,,,mmoX,3.16378569602966,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,63.2757148742676,,,4.18426752090454,2.32490539550781,16756,45,16711,0,0,0,0,,,,,,,,,8313.240234375,,,1.39612750602449,8.76201660564474,,,,,,,,,,,,11858.1993489583,6532.55206417531,6546.85464998429,,,,,3.65803408622742,2.71633172035217,,,,,,,,,,,,,No
A02,Plate_8,,,,mmoX,1.22620403766632,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,24.5240802764893,,,1.90939342975616,0.729581654071808,16319,17,16302,0,0,0,0,,,,,,,,,6501.16015625,,,1.20818854465151,9.58827415284648,,,,,,,,,,,,10205.8347886029,5065.15431206078,5070.50951569466,,,,,1.54818630218506,0.952361226081848,,,,,,,,,,,,,No
A03,Plate_8,,,,mmoX,3.9209315776825,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,78.4186325073242,,,5.1023850440979,2.93824195861816,15328,51,15277,0,0,0,0,,,,,,,,,6551.49609375,,,1.07113470786099,7.42929890882439,,,,,,,,,,,,10586.0926011029,5583.4064213475,5600.05158021803,,,,,4.49471378326416,3.39838600158691,,,,,,,,,,,,,No
A04,Plate_8,,,,mmoX,2.27504134178162,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,45.5008277893066,,,3.21081018447876,1.54191911220551,15011,29,14982,0,0,0,0,,,,,,,,,9840.0869140625,,,1.22739220853382,4.25790260527577,,,,,,,,,,,,11060.5819975754,8577.89714128308,8582.69348135586,,,,,2.72342944145203,1.87894630432129,,,,,,,,,,,,,No
A05,Plate_8,,,,mmoX,3.04876446723938,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,60.9752883911133,,,4.11268663406372,2.18680477142334,15069,39,15030,0,0,0,0,,,,,,,,,6199.14697265625,,,1.28555080781273,11.2718708178849,,,,,,,,,,,,10128.360927484,4948.90832141056,4962.31323558117,,,,,3.56243753433228,2.58718991279602,,,,,,,,,,,,,No
A06,Plate_8,,,,mmoX,15.7414789199829,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,314.82958984375,,,17.8725032806396,13.6143064498901,15800,210,15590,0,0,0,0,,,,,,,,,6400.48876953125,,,1.52943907834852,8.72835399684986,,,,,,,,,,,,11522.753422619,5348.67305273187,5430.73361461012,,,,,16.828254699707,14.6557064056396,,,,,,,,,,,,,No
B01,Plate_8,,,,mmoX,3.37170267105103,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,67.4340515136719,,,4.5322003364563,2.4290976524353,13977,40,13937,0,0,0,0,,,,,,,,,7407.20068359375,,,1.32774933151612,9.66650913844459,,,,,,,,,,,,11173.7572753906,5984.00901079831,5998.86126311166,,,,,3.93217301368713,2.86735582351685,,,,,,,,,,,,,No
B02,Plate_8,,,,mmoX,No Call,,CHECK,Droplet Count < 1000,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,,,,,,678,0,678,0,0,0,0,,,,,,,,,13598.4755859375,,,,11.6341025148563,,,,,,,,,,,,,5123.65464634178,5123.65464634178,,,,,,,,,,,,,,,,,,,No
B03,Plate_8,,,,mmoX,3.36794829368591,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,67.3589630126953,,,4.48180484771729,2.45647621154785,15042,43,14999,0,0,0,0,,,,,,,,,6081.697265625,,,1.60265142796539,8.9965146656357,,,,,,,,,,,,8629.16903615552,4938.230265937,4948.7814138641,,,,,3.90685272216797,2.88119316101074,,,,,,,,,,,,,No
B04,Plate_8,,,,mmoX,1.63598883152008,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,32.7197761535645,,,2.44336938858032,1.029940366745,15112,21,15091,0,0,0,0,,,,,,,,,7960.8916015625,,,0.844369401723857,5.21988172315664,,,,,,,,,,,,9780.79006231399,6880.8706387305,6884.90043676486,,,,,2.01913905143738,1.3047901391983,,,,,,,,,,,,,No
