Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_8,,,,mmoX,0.491585969924927,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,9.83171939849854,,,0.95751816034317,0.208828717470169,16756,7,16749,0,0,0,0,,,,,,,,,13598.4755859375,,,0.725796885016119,23.0570833921268,,,,,,,,,,,,15909.6196986607,6542.94161903672,6546.85464998429,,,,,0.703171610832214,0.327443659305573,,,,,,,,,,,,,No
A02,Plate_8,,,,mmoX,0.0720942914485931,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.44188582897186,,,0.344362139701843,0.00302787101827562,16319,1,16318,0,0,0,0,,,,,,,,,13598.4755859375,,,,40.203670009417,,,,,,,,,,,,20558.54296875,5069.56037772107,5070.50951569466,,,,,0.179450854659081,0.0195371136069298,,,,,,,,,,,,,No
A03,Plate_8,,,,mmoX,0.844586491584778,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,16.8917293548584,,,1.45237278938293,0.436038047075272,15328,11,15317,0,0,0,0,,,,,,,,,13598.4755859375,,,1.01884299792618,33.8714927494126,,,,,,,,,,,,16507.5087002841,5592.21832120382,5600.05158021803,,,,,1.12627577781677,0.614338159561157,,,,,,,,,,,,,No
A04,Plate_8,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.234831631183624,0,15011,0,15011,0,0,0,0,,,,,,,,,13598.4755859375,,,,15.7437519513883,,,,,,,,,,,,,8582.69348135586,8582.69348135586,,,,,0.107298754155636,0,,,,,,,,,,,,,No
A05,Plate_8,,,,mmoX,0.702860116958618,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,14.0572023391724,,,1.2735790014267,0.335133761167526,15069,9,15060,0,0,0,0,,,,,,,,,13598.4755859375,,,1.32704669130487,41.1246444368669,,,,,,,,,,,,15052.7169053819,4956.28311386615,4962.31323558117,,,,,0.965056300163269,0.493129551410675,,,,,,,,,,,,,No
A06,Plate_8,,,,mmoX,5.22379159927368,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,104.475830078125,,,6.55029344558716,4.09049844741821,15800,70,15730,0,0,0,0,,,,,,,,,13598.4755859375,,,1.4428215479447,18.0270462256932,,,,,,,,,,,,15477.6057477679,5386.02407555601,5430.73361461012,,,,,5.87196397781372,4.62538719177246,,,,,,,,,,,,,No
B01,Plate_8,,,,mmoX,0.926255345344543,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,18.5251064300537,,,1.59285247325897,0.478193521499634,13977,11,13966,0,0,0,0,,,,,,,,,13598.4755859375,,,2.43041702668105,33.6931671730428,,,,,,,,,,,,15434.3233309659,5991.4296375391,5998.86126311166,,,,,1.23519742488861,0.673736333847046,,,,,,,,,,,,,No
B02,Plate_8,,,,mmoX,No Call,,CHECK,Droplet Count < 1000,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,,,,,,678,0,678,0,0,0,0,,,,,,,,,13598.4755859375,,,,11.6341025148563,,,,,,,,,,,,,5123.65464634178,5123.65464634178,,,,,,,,,,,,,,,,,,,No
B03,Plate_8,,,,mmoX,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.234347626566887,0,15042,0,15042,0,0,0,0,,,,,,,,,13598.4755859375,,,,34.692269130628,,,,,,,,,,,,,4948.7814138641,4948.7814138641,,,,,0.107077613472939,0,,,,,,,,,,,,,No
B04,Plate_8,,,,mmoX,0.0778526663780212,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1.55705332756042,,,0.371870815753937,0.00326970824971795,15112,1,15111,0,0,0,0,,,,,,,,,13598.4755859375,,,,28.8089733625689,,,,,,,,,,,,16842.72265625,6884.2414583902,6884.90043676486,,,,,0.193784847855568,0.0210975632071495,,,,,,,,,,,,,No
