Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
A01,Plate_8,,,,pmoA,64.3749008178711,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1287.498046875,,,68.7009963989258,60.0646514892578,16038,854,15184,0,0,0,0,,,,,,,,,12000,,,1.49119183582133,4.15202922727312,,,,,,,,,,,,13505.4277778286,4999.59187501801,5452.51517349664,,,,,66.5801010131836,62.1738204956055,,,,,,,,,,,,,No
A02,Plate_8,,,,pmoA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.207085892558098,0,17022,0,17022,0,0,0,0,,,,,,,,,12000,,,,97.6633608445814,,,,,,,,,,,,,2835.91774779427,2835.91774779427,,,,,0.0946218445897102,0,,,,,,,,,,,,,No
A03,Plate_8,,,,pmoA,18.4126052856445,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,368.252105712891,,,20.6528835296631,16.1765804290771,16743,260,16483,0,0,0,0,,,,,,,,,12000,,,1.39879752881793,7.65132607999597,,,,,,,,,,,,13643.5602501502,3466.96860956693,3624.99965696296,,,,,19.5550727844238,17.2712459564209,,,,,,,,,,,,,No
A04,Plate_8,,,,pmoA,31.4207649230957,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,628.415283203125,,,34.2649726867676,28.5834140777588,17834,470,17364,0,0,0,0,,,,,,,,,12000,,,1.25007434508508,4.34272345280753,,,,,,,,,,,,12840.0302298039,6143.46939467241,6319.95159678701,,,,,32.8710327148438,29.972282409668,,,,,,,,,,,,,No
A05,Plate_8,,,,pmoA,14.8464784622192,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,296.929565429688,,,16.953914642334,12.7428092956543,15231,191,15040,0,0,0,0,,,,,,,,,12000,,,1.75544972674882,11.7704985174412,,,,,,,,,,,,14645.4647517179,2852.02434153455,2999.91660851276,,,,,15.9212284088135,13.7727069854736,,,,,,,,,,,,,No
A06,Plate_8,,,,pmoA,63.2688674926758,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1265.37731933594,,,67.3059539794922,59.2455787658691,18087,947,17140,0,0,0,0,,,,,,,,,12000,,,1.57469714498608,4.56292354758224,,,,,,,,,,,,13915.4228226884,3932.91416803313,4455.57882751002,,,,,65.3268737792969,61.2144470214844,,,,,,,,,,,,,No
B01,Plate_8,,,,pmoA,36.3971366882324,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,727.942749023438,,,39.5760688781738,33.2267684936523,16577,505,16072,0,0,0,0,,,,,,,,,12000,,,1.62031511639314,7.03016874825152,,,,,,,,,,,,14300.8702158106,3587.33708311682,3913.71303968377,,,,,38.0179672241211,34.7785339355469,,,,,,,,,,,,,No
B02,Plate_8,,,,pmoA,61.5297698974609,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1230.59545898438,,,65.6740188598633,57.4000663757324,16681,850,15831,0,0,0,0,,,,,,,,,12000,,,1.60986262662194,4.81071857455147,,,,,,,,,,,,13480.4211684283,3889.9287423052,4378.62357847837,,,,,63.6423606872559,59.4209671020508,,,,,,,,,,,,,No
B03,Plate_8,,,,pmoA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.334079444408417,0,10552,0,10552,0,0,0,0,,,,,,,,,12000,,,,35.7993382064132,,,,,,,,,,,,,3113.45239044664,3113.45239044664,,,,,0.152643352746964,0,,,,,,,,,,,,,No
B04,Plate_8,,,,pmoA,14.0827522277832,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,281.655029296875,,,16.0560035705566,12.1128053665161,16472,196,16276,0,0,0,0,,,,,,,,,12000,,,1.27056869513417,7.03044276859435,,,,,,,,,,,,13199.9702148438,4326.36876766405,4431.95557458775,,,,,15.0890998840332,13.0772657394409,,,,,,,,,,,,,No
B05,Plate_8,,,,pmoA,438.279144287109,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,8765.5830078125,,,461.158813476563,415.835998535156,4675,1454,3221,0,0,0,0,,,,,,,,,12000,,,1.77072794011441,1.8398931194498,,,,,,,,,,,,14153.3032501934,6039.7800047388,8563.21589754972,,,,,449.896850585938,426.775085449219,,,,,,,,,,,,,No
B06,Plate_8,,,,pmoA,47.1393661499023,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,942.787353515625,,,50.7065010070801,43.5830116271973,17135,673,16462,0,0,0,0,,,,,,,,,12000,,,1.61924638990506,6.26011584968504,,,,,,,,,,,,14319.9994036149,3216.09186101716,3652.21265332345,,,,,48.9579811096191,45.3235549926758,,,,,,,,,,,,,No
C01,Plate_8,,,,pmoA,88.4442977905273,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1768.88598632813,,,93.3372802734375,83.5715866088867,17412,1261,16151,0,0,0,0,,,,,,,,,12000,,,1.71412672893922,4.70400110157016,,,,,,,,,,,,14010.5239586947,4350.94495447445,5050.50440337875,,,,,90.9381713867188,85.9557037353516,,,,,,,,,,,,,No
C02,Plate_8,,,,pmoA,49.3326377868652,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,986.652770996094,,,52.8783836364746,45.7975540161133,18166,746,17420,0,0,0,0,,,,,,,,,12000,,,1.44493945119659,4.72042360062327,,,,,,,,,,,,13747.2523235904,4183.13800396399,4575.89531335744,,,,,51.1403541564941,47.5276947021484,,,,,,,,,,,,,No
C03,Plate_8,,,,pmoA,38.7322807312012,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,774.645629882813,,,41.8943290710449,35.5787124633789,17847,578,17269,0,0,0,0,,,,,,,,,12000,,,1.64598076563295,6.1416791066481,,,,,,,,,,,,13630.8246073475,3620.34402531383,3944.54740831464,,,,,40.3445091247559,37.1222648620605,,,,,,,,,,,,,No
C04,Plate_8,,,,pmoA,0,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,0,,,0.203757867217064,0,17300,0,17300,0,0,0,0,,,,,,,,,12000,,,,97.9452120636302,,,,,,,,,,,,,2671.97477769091,2671.97477769091,,,,,0.0931012704968452,0,,,,,,,,,,,,,No
C05,Plate_8,,,,pmoA,3.0668797492981,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,61.3375930786133,,,4.15253305435181,2.18974304199219,14596,38,14558,0,0,0,0,,,,,,,,,12000,,,1.78433962374058,24.7548341650112,,,,,,,,,,,,14688.449270148,2653.11196297783,2684.44539800609,,,,,3.59074330329895,2.59680557250977,,,,,,,,,,,,,No
C06,Plate_8,,,,pmoA,26.476993560791,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,529.539855957031,,,29.1145687103271,23.8453197479248,17435,388,17047,0,0,0,0,,,,,,,,,12000,,,1.46816460673604,6.52179906328503,,,,,,,,,,,,13868.6653209568,3514.11264332216,3744.54375539112,,,,,27.8219566345215,25.1335678100586,,,,,,,,,,,,,No
D01,Plate_8,,,,pmoA,23.9488086700439,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,478.976165771484,,,26.4787158966064,21.4243278503418,17121,345,16776,0,0,0,0,,,,,,,,,12000,,,1.50243630541667,7.79034887530413,,,,,,,,,,,,13982.3979987545,3654.33329242493,3862.4509446464,,,,,25.2388973236084,22.6601295471191,,,,,,,,,,,,,No
D02,Plate_8,,,,pmoA,174.759368896484,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3495.1875,,,181.623901367188,167.934631347656,18176,2509,15667,0,0,0,0,,,,,,,,,12000,,,1.46691957299332,2.44217508436273,,,,,,,,,,,,13333.0105966178,6545.7341493877,7482.64417393107,,,,,178.25666809082,171.272399902344,,,,,,,,,,,,,No
D03,Plate_8,,,,pmoA,162.61686706543,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,3252.33740234375,,,169.652282714844,155.623260498047,16019,2068,13951,0,0,0,0,,,,,,,,,12000,,,1.76917796368575,3.59103113055509,,,,,,,,,,,,14358.9957532754,4228.90915912516,5536.66988555643,,,,,166.201095581055,159.043487548828,,,,,,,,,,,,,No
D04,Plate_8,,,,pmoA,51.6513214111328,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1033.0263671875,,,55.4045372009277,47.910041809082,16995,730,16265,0,0,0,0,,,,,,,,,12000,,,1.522213634602,5.44534335029332,,,,,,,,,,,,13846.487604345,3528.4464312277,3971.64561077319,,,,,53.5647315979004,49.7410163879395,,,,,,,,,,,,,No
D05,Plate_8,,,,pmoA,747.00732421875,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,14940.146484375,,,765.811279296875,728.499267578125,13552,6370,7182,0,0,0,0,,,,,,,,,12000,,,1.77548346682623,1.70267527991074,,,,,,,,,,,,14477.3815497142,6318.79483043274,10153.6677201777,,,,,756.563659667969,737.528015136719,,,,,,,,,,,,,No
D06,Plate_8,,,,pmoA,110.285011291504,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,2205.7001953125,,,115.81901550293,104.776908874512,17143,1534,15609,0,0,0,0,,,,,,,,,12000,,,1.52376453212013,3.23349013647552,,,,,,,,,,,,13761.2306960204,5135.50895244856,5907.36085437,,,,,113.10523223877,107.471527099609,,,,,,,,,,,,,No
E01,Plate_8,,,,pmoA,71.4824600219727,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR EvaGreen Supermix,EvaGreen,1429.64916992188,,,76.0327911376953,66.9496536254883,16149,952,15197,0,0,0,0,,,,,,,,,12000,,,1.8180742462424,4.48670779221206,,,,,,,,,,,,14132.7282191685,4067.2628483964,4660.63228507824,,,,,73.8018569946289,69.1676177978516,,,,,,,,,,,,,No
