,fluxid,ch4_slopes,co2_slopes,ch4_r2,co2_r2,Date,Personnel,Plot,seq_id,Tree_sp,Measurement.height,Chamber.ID,Temp_stem,Temp_air,DBH,Perimeter,Flux.Start.Time,Flux.End.Time,Corrected.Start.Time,Corrected.End.Time,HMS_Start,HMS_End,Gas_analyser,Date_full,date.parsed,starttime,endtime,chamber_vol,chamber_area,glc,pressure,CH4_lin_flux,CO2_lin_flux
1,SM15_50,1.03E-05,0.810745388,0.716589606,0.98459295,210721,JG/BG/JR,Lab,SM15,ACSA,50,6,20.3,21.5,,28.5d,91300,93145,91300,93145,9:13:00,9:31:45,LGR3,20210721,7/21/2021,7/21/2021 9:13,7/21/2021 9:31,0.002531942,0.0541751,0.00831447,101.325,0.01995297,1.567961105
2,SM15_125,5.67E-06,0.764051113,0.455867083,0.995318653,210721,JG/BG/JR,Lab,SM15,ACSA,125,6,20.4,21.5,,26.0d,3315,94745,93315,94745,9:33:15,9:47:45,LGR3,20210721,7/21/2021,7/21/2021 9:33,7/21/2021 9:47,0.002531942,0.0541751,0.00831447,101.325,0.010971873,1.477655556
3,SM15_200,1.39E-05,0.928865102,0.814587988,0.999132256,210721,JG/BG/JR,Lab,SM15,ACSA,200,6,20.8,21.5,,24.5d,94830,95830,94830,95830,9:48:30,9:58:30,LGR3,20210721,7/21/2021,7/21/2021 9:48,7/21/2021 9:58,0.002531942,0.0541751,0.00831447,101.325,0.026882941,1.796401649
4,BB5_50,5.78E-06,0.324731587,0.524250156,0.986715058,210721,JG/BG/JR,Ridge,BB5,BELE,50,6,20.3,22.1,,33.0d,113400,114500,113400,114500,11:34:00,11:45:00,LGR3,20210721,7/21/2021,7/21/2021 11:34,7/21/2021 11:45,0.002531942,0.0541751,0.00831447,101.325,0.011154389,0.626745788
5,BB5_125,1.47E-06,0.712545287,0.040324281,0.997935798,210721,JG/BG/JR,Ridge,BB5,BELE,125,6,20.4,22.1,,33.0d,115130,120200,115130,120200,11:51:30,12:02:00,LGR3,20210721,7/21/2021,7/21/2021 11:51,7/21/2021 12:02,0.002531942,0.0541751,0.00831447,101.325,0.002835508,1.375242736
6,BB5_200,3.34E-06,-0.147951251,0.177195648,0.289369951,210721,JG/BG/JR,Ridge,BB5,BELE,200,6,20.9,22.1,,28.0d,120400,121400,120400,121400,12:04:00,12:14:00,LGR3,20210721,7/21/2021,7/21/2021 12:04,7/21/2021 12:14,0.002531942,0.0541751,0.00831447,101.325,0.00644981,-0.285552212
7,BB6_50,-6.42E-07,0.683996315,0.010909275,0.998546018,210721,JG/BG/JR,Ridge,BB6,BELE,50,6,21.6,22.2,,31.0d,123330,124330,123330,124330,12:33:30,12:43:30,LGR3,20210721,7/21/2021,7/21/2021 12:33,7/21/2021 12:43,0.002531942,0.0541751,0.00831447,101.325,-0.001239449,1.319694802
8,BB6_125,-1.32E-06,0.489076552,0.058308712,0.985637164,210721,JG/BG/JR,Ridge,BB6,BELE,125,6,22,22.2,,29.0d,124700,125700,124700,125700,12:47:00,12:57:00,LGR3,20210721,7/21/2021,7/21/2021 12:47,7/21/2021 12:57,0.002531942,0.0541751,0.00831447,101.325,-0.002556196,0.943618804
9,BB6_200,1.45E-06,0.274339162,0.044798606,0.847002746,210721,JG/BG/JR,Ridge,BB6,BELE,200,6,22,22.2,,27.0d,125745,130745,125745,130745,12:57:45,13:07:45,LGR3,20210721,7/21/2021,7/21/2021 12:57,7/21/2021 13:07,0.002531942,0.0541751,0.00831447,101.325,0.002804235,0.529306897
10,BB7_50,-5.30E-06,0.63597463,0.317249432,0.98981643,210721,JG/BG/JR,Ridge,BB7,BELE,50,6,21.4,22.8,,35.0d,134200,135200,134200,135200,13:42:00,13:52:00,LGR3,20210721,7/21/2021,7/21/2021 13:42,7/21/2021 13:52,0.002531942,0.0541751,0.00831447,101.325,-0.010213852,1.224553374
11,BB7_125,6.49E-06,0.722967625,0.422888226,0.957371171,210721,JG/BG/JR,Ridge,BB7,BELE,125,6,21.8,22.8,,32.0d,135600,140600,135600,140600,13:56:00,14:06:00,LGR3,20210721,7/21/2021,7/21/2021 13:56,7/21/2021 14:06,0.002531942,0.0541751,0.00831447,101.325,0.012501421,1.392056227
12,BB8_50,3.98E-06,0.48987579,0.186402746,0.981451074,210721,JG/BG/JR,Ridge,BB8,BELE,50,6,21.3,22.3,,31.5d,143200,144200,143200,144200,14:32:00,14:42:00,LGR3,20210721,7/21/2021,7/21/2021 14:32,7/21/2021 14:42,0.002531942,0.0541751,0.00831447,101.325,0.007671451,0.944840775
13,BB8_125,7.09E-06,0.396212195,0.45129578,0.984631499,210721,JG/BG/JR,Ridge,BB8,BELE,125,6,21.6,22.3,,22.5d,144800,145800,144800,145800,14:48:00,14:58:00,LGR3,20210721,7/21/2021,7/21/2021 14:48,7/21/2021 14:58,0.002531942,0.0541751,0.00831447,101.325,0.013673467,0.764188484
14,BB8_200,5.58E-06,0.582913738,0.032028331,0.995493018,210721,JG/BG/JR,Ridge,BB8,BELE,200,6,22,22.3,,22.0d,151015,,151015,151215,15:10:15,15:12:15,LGR3,20210721,7/21/2021,7/21/2021 15:10,7/21/2021 15:12,0.002531942,0.0541751,0.00831447,101.325,0.01076829,1.124286359
15,BB9_50,-3.25E-07,0.521810382,0.002826204,0.921117067,210721,JG/BG/JR,Ridge,BB9,BELE,50,6,21.1,22.1,,41.0d,152600,153600,152600,153600,15:26:00,15:36:00,LGR3,20210721,7/21/2021,7/21/2021 15:26,7/21/2021 15:36,0.002531942,0.0541751,0.00831447,101.325,-0.000627911,1.007116251
16,BB9_125,NA,NA,NA,NA,210721,JG/BG/JR,Ridge,BB9,BELE,125,6,21.3,22.1,,35.0d,154900,154900,154900,154900,15:49:00,15:49:00,LGR3,20210721,7/21/2021,7/21/2021 15:49,7/21/2021 15:49,0.002531942,0.0541751,0.00831447,101.325,NA,NA
17,BB9_200,3.64E-06,0.85976967,0.254068761,0.99791809,210721,JG/BG/JR,Ridge,BB9,BELE,200,6,21.4,22.1,,32.5d,155600,160600,155600,160600,15:56:00,16:06:00,LGR3,20210721,7/21/2021,7/21/2021 15:56,7/21/2021 16:06,0.002531942,0.0541751,0.00831447,101.325,0.007029593,1.659392063
18,BB10_50,3.62E-06,0.768142109,0.082590512,0.999440038,210721,JG/BG/JR,Ridge,BB10,BELE,50,6,21.1,21.6,,31.0d,163000,164000,163000,164000,16:30:00,16:40:00,LGR3,20210721,7/21/2021,7/21/2021 16:30,7/21/2021 16:40,0.002531942,0.0541751,0.00831447,101.325,0.00699389,1.485063174
19,BB10_125,9.78E-06,0.664805789,0.664523733,0.999032307,210721,JG/BG/JR,Ridge,BB10,BELE,125,6,21.2,21.6,,28.0d,164100,165100,164100,165100,16:41:00,16:51:00,LGR3,20210721,7/21/2021,7/21/2021 16:41,7/21/2021 16:51,0.002531942,0.0541751,0.00831447,101.325,0.018899801,1.285281178
20,BB10_200,4.31E-06,0.524081539,0.314162458,0.994331996,210721,JG/BG/JR,Ridge,BB10,BELE,200,6,21.6,21.6,,28.0d,165700,170700,165700,170700,16:57:00,17:07:00,LGR3,20210721,7/21/2021,7/21/2021 16:57,7/21/2021 17:07,0.002531942,0.0541751,0.00831447,101.325,0.008340395,1.013216415
21,BB10prime_50,7.36E-06,0.478807273,0.456050624,0.999042357,210721,JG/BG/JR,Ridge,BB10',BELE,50,6,20.6,22.3,,32.9d,170930,171930,170930,171930,17:09:30,17:19:30,LGR3,20210721,7/21/2021,7/21/2021 17:09,7/21/2021 17:19,0.002531942,0.0541751,0.00831447,101.325,0.014190786,0.923492535
22,BB10prime_125,7.14E-06,0.628206669,0.462611377,0.999798002,210721,JG/BG/JR,Ridge,BB10',BELE,125,6,21.8,22.3,,29.0d,172045,173045,172045,173045,17:20:45,17:30:45,LGR3,20210721,7/21/2021,7/21/2021 17:20,7/21/2021 17:30,0.002531942,0.0541751,0.00831447,101.325,0.013770493,1.211644439
23,BB10prime_200,1.15E-05,0.76430842,0.099374094,0.999651322,210721,JG/BG/JR,Ridge,BB10',BELE,200,6,21.7,22.3,,27.5d,173300,,173300,173500,17:33:00,17:35:00,LGR3,20210721,7/21/2021,7/21/2021 17:33,7/21/2021 17:35,0.002531942,0.0541751,0.00831447,101.325,0.022157041,1.474148703
24,BB11_50,5.30E-06,0.524228319,0.411591378,0.99646279,210722,JG/WA/TM,Ridge,BB11,BELE,50,6,18.6,19.3,,34,94000,95000,94000,95000,9:40:00,9:50:00,LGR3,20210722,7/22/2021,7/22/2021 9:40,7/22/2021 9:50,0.002531942,0.0541751,0.00831447,101.325,0.010326675,1.021475042
25,BB11_125,3.68E-06,0.7941652,0.297594462,0.998096483,210722,JG/WA/TM,Ridge,BB11,BELE,125,6,18.9,19.3,,32,95300,100300,95300,100300,9:53:00,10:03:00,LGR3,20210722,7/22/2021,7/22/2021 9:53,7/22/2021 10:03,0.002531942,0.0541751,0.00831447,101.325,0.007176326,1.547455378
26,BB11_200,-5.77E-06,0.630294959,0.420981467,0.925854198,210722,JG/WA/TM,Ridge,BB11,BELE,200,6,19.1,19.3,,29.5,101700,102700,101700,102700,10:17:00,10:27:00,LGR3,20210722,7/22/2021,7/22/2021 10:17,7/22/2021 10:27,0.002531942,0.0541751,0.00831447,101.325,-0.011242551,1.228149162
27,BB12_50,1.84E-06,0.679256487,0.105413026,0.999137454,210722,JG/WA/TM,Ridge,BB12,BELE,50,6,19.8,19.3,,29,105000,110000,105000,110000,10:50:00,11:00:00,LGR3,20210722,7/22/2021,7/22/2021 10:50,7/22/2021 11:00,0.002531942,0.0541751,0.00831447,101.325,0.003577511,1.323552208
28,BB12_125,-9.63E-07,0.539743825,0.022042389,0.998418858,210722,JG/WA/TM,Ridge,BB12,BELE,125,6,20.1,20.5,,26.5,110800,111800,110800,111800,11:08:00,11:18:00,LGR3,20210722,7/22/2021,7/22/2021 11:08,7/22/2021 11:18,0.002531942,0.0541751,0.00831447,101.325,-0.001867801,1.047407487
29,BB12_200,-4.80E-06,0.103297101,0.362247284,0.261935834,210722,JG/WA/TM,Ridge,BB12,BELE,200,6,20.1,20.4,,25.5,112200,113200,112200,113200,11:22:00,11:32:00,LGR3,20210722,7/22/2021,7/22/2021 11:22,7/22/2021 11:32,0.002531942,0.0541751,0.00831447,101.325,-0.00931071,0.200522968
30,BB13_50,1.12E-05,0.617059343,0.809855599,0.996243045,210722,JG/WA/TM,Ridge,BB13,BELE,50,6,19.8,20.8,,38.5,113800,114800,113800,114800,11:38:00,11:48:00,LGR3,20210722,7/22/2021,7/22/2021 11:38,7/22/2021 11:48,0.002531942,0.0541751,0.00831447,101.325,0.021770396,1.196220494
31,BB13_125,6.08E-06,0.324852111,0.575657317,0.964611393,210722,JG/WA/TM,Ridge,BB13,BELE,125,6,20.1,20.8,,30,115100,120100,115100,120100,11:51:00,12:01:00,LGR3,20210722,7/22/2021,7/22/2021 11:51,7/22/2021 12:01,0.002531942,0.0541751,0.00831447,101.325,0.011780528,0.629752643
32,BB13_200,6.77E-06,0.099358517,0.650009972,0.749367669,210722,JG/WA/TM,Ridge,BB13,BELE,200,6,20.4,21.8,,29,120500,121500,120500,121500,12:05:00,12:15:00,LGR3,20210722,7/22/2021,7/22/2021 12:05,7/22/2021 12:15,0.002531942,0.0541751,0.00831447,101.325,0.013073671,0.191961317
33,BB14_50,6.83E-07,0.786005076,0.016353632,0.998453065,210722,JG/WA/TM,Ridge,BB14,BELE,50,6,21.2,22.6,,25,122200,123200,122200,123200,12:22:00,12:32:00,LGR3,20210722,7/22/2021,7/22/2021 12:22,7/22/2021 12:32,0.002531942,0.0541751,0.00831447,101.325,0.001316443,1.514457251
34,BB14_125,2.17E-06,0.821707742,0.137830203,0.999795969,210722,JG/WA/TM,Ridge,BB14,BELE,125,6,21.4,22.9,,24,123600,124600,123600,124600,12:36:00,12:46:00,LGR3,20210722,7/22/2021,7/22/2021 12:36,7/22/2021 12:46,0.002531942,0.0541751,0.00831447,101.325,0.004178686,1.581643175
35,BB14_200,-1.45E-06,0.697705448,0.055226638,0.999425512,210722,JG/WA/TM,Ridge,BB14,BELE,200,6,21.3,22.4,,23,125600,130600,125600,130600,12:56:00,13:06:00,LGR3,20210722,7/22/2021,7/22/2021 12:56,7/22/2021 13:06,0.002531942,0.0541751,0.00831447,101.325,-0.002795276,1.345233645
36,BB16_50,2.84E-07,0.702843402,0.002413019,0.999600459,210722,JG/WA/TM,Ridge,BB16,BELE,50,6,21.3,23.3,,33.5,135200,140200,135200,140200,13:52:00,14:02:00,LGR3,20210722,7/22/2021,7/22/2021 13:52,7/22/2021 14:02,0.002531942,0.0541751,0.00831447,101.325,0.000546367,1.351023858
37,BB16_125,0.000128061,0.830463085,0.997767016,0.998841563,210722,JG/WA/TM,Ridge,BB16,BELE,125,6,21.3,22.9,,32.5,140600,141600,140600,141600,14:06:00,14:16:00,LGR3,20210722,7/22/2021,7/22/2021 14:06,7/22/2021 14:16,0.002531942,0.0541751,0.00831447,101.325,0.246494256,1.598495673
38,BB16_200,1.12E-05,0.647155956,0.809013569,0.981437405,210722,JG/WA/TM,Ridge,BB16,BELE,200,6,22.1,23,,28,141900,142900,141900,142900,14:19:00,14:29:00,LGR3,20210722,7/22/2021,7/22/2021 14:19,7/22/2021 14:29,0.002531942,0.0541751,0.00831447,101.325,0.021462835,1.245240791
39,BB16prime_50,-1.29E-06,0.629586659,0.056551022,0.996503513,210722,JG/WA/TM,Ridge,BB16',BELE,50,6,21,21.4,,,143200,144200,143200,144200,14:32:00,14:42:00,LGR3,20210722,7/22/2021,7/22/2021 14:32,7/22/2021 14:42,0.002531942,0.0541751,0.00831447,101.325,-0.002497408,1.218018288
