,???TARGET MASS FOR WOOD: 100 mg???,,,,,,,,,,,,
Inner Core Sample ID,Sample Mass Added to Tube (mg),Date Weighed,Name of Weigher,Notes,Sample Archived,Sample Notes,Extraction Plate ID,Plate Well No.,Plate Position,Blank Well?,Sample Added to Extraction Plate,Name of Person Adding to Plate,Date Plate Extracted
"ACRU_RM1
Wood_Inner
Lab ID: 1c",100.9,7/25/2022,Qespi,,x,,Plate 4,63,G8,,8/9/2022,Cade,8/9/2022
"ACRU_RM10
Wood_Inner
Lab ID: 2c",103.7,7/22/2022,Qespi,,x,,Plate 4,64,H8,,8/9/2022,Cade,8/9/2022
"ACRU_RM14
Wood_Inner
Lab ID: 3c",100.1,7/25/2022,Qespi,,x,,Plate 4,65,A9,,8/9/2022,Cade,8/9/2022
"ACRU_RM2
Wood_Inner
Lab ID: 4c",101.8,7/25/2022,Qespi,,x,,Plate 4,66,B9,,8/9/2022,Cade,8/9/2022
"ACRU_RM3
Wood_Inner
Lab ID: 5c",102.9,7/25/2022,Qespi,,x,,Plate 4,67,C9,,8/9/2022,Cade,8/9/2022
"ACRU_RM301A
Wood_Inner
Lab ID: 6c",100.8,7/25/2022,Qespi,,x,,Plate 4,68,D9,,8/9/2022,Cade,8/9/2022
"ACRU_RM301B
Wood_Inner
Lab ID: 7c",103.4,7/27/2022,Qespi + Jon,,x,,Plate 4,69,E9,,8/9/2022,Cade,8/9/2022
"ACRU_RM302
Wood_Inner
Lab ID: 8c",102.1,7/25/2022,Qespi,,x,,Plate 4,70,F9,,8/9/2022,Cade,8/9/2022
"ACRU_RM303
Wood_Inner
Lab ID: 9c",101.1,7/22/2022,Qespi,,x,,Plate 4,71,G9,,8/9/2022,Cade,8/9/2022
"ACRU_RM304
Wood_Inner
Lab ID: 10c",100.8,7/27/2022,Jon + Qespi,,x,,Plate 4,72,H9,,8/9/2022,Cade,8/9/2022
"ACRU_RM4
Wood_Inner
Lab ID: 11c",100.4,7/25/2022,Qespi,,x,,Plate 4,73,A10,,8/9/2022,Cade,8/9/2022
