,✴✴✴TARGET MASS FOR SOIL: 250 mg✴✴✴,,,,,,,,,,,,
Inner Core Sample ID,Sample Mass Added to Tube (mg),Date Weighed,Name of Weigher,Notes,Sample Archived,Sample Notes,Extraction Plate ID,Plate Well No.,Plate Position,Blank Well?,Sample Added to Extraction Plate,Name of Person Adding to Plate,Date Plate Extracted
"ACRU_RM1
Soil_Organic
Lab ID: 1d",250.3,2-Aug,QW,,TRUE,,Plate 2,63,G8,,8/5/2022,Cade,8/5/2022
"ACRU_RM10
Soil_Organic
Lab ID: 2d",,,,,FALSE,Missing sample,Plate 2,64,H8,Yes,8/5/2022,Cade,8/5/2022
"ACRU_RM14
Soil_Organic
Lab ID: 3d",253.4,2-Aug,QW,,TRUE,,Plate 2,65,A9,,8/5/2022,Cade,8/5/2022
"ACRU_RM2
Soil_Organic
Lab ID: 4d",251.6,2-Aug,QW,,TRUE,,Plate 2,66,B9,,8/5/2022,Cade,8/5/2022
"ACRU_RM3
Soil_Organic
Lab ID: 5d",253.5,2-Aug,QW,,TRUE,,Plate 2,67,C9,,8/5/2022,Cade,8/5/2022
"ACRU_RM301A
Soil_Organic
Lab ID: 6d",,,,,FALSE,"Only one bag of soil was labled 301, so unsure if it's A or B",Plate 2,68,D9,Yes,8/5/2022,Cade,8/5/2022
"ACRU_RM301B
Soil_Organic
Lab ID: 7d",,,,,FALSE,,Plate 2,69,E9,Yes,8/5/2022,Cade,8/5/2022
"ACRU_RM302
Soil_Organic
Lab ID: 8d",250.2,2-Aug,QW,,TRUE,,Plate 2,70,F9,,8/5/2022,Cade,8/5/2022
"ACRU_RM303
Soil_Organic
Lab ID: 9d",252.8,2-Aug,QW,,TRUE,,Plate 2,71,G9,,8/5/2022,Cade,8/5/2022
"ACRU_RM304
Soil_Organic
Lab ID: 10d",250.8,2-Aug,QW,,TRUE,,Plate 2,72,H9,,8/5/2022,Cade,8/5/2022
"ACRU_RM4
Soil_Organic
Lab ID: 11d",252,2-Aug,QW,,TRUE,,Plate 2,73,A10,,8/5/2022,Cade,8/5/2022
"ACRU_RM5
Soil_Organic
Lab ID: 12d",251.8,2-Aug,QW,,TRUE,,Plate 2,74,B10,,8/5/2022,Cade,8/5/2022
"ACRU_RM501
Soil_Organic
Lab ID: 13d",250,2-Aug,QW,,TRUE,,Plate 2,75,C10,,8/5/2022,Cade,8/5/2022
"ACRU_RM502
Soil_Organic
Lab ID: 14d",250.7,2-Aug,QW,,TRUE,,Plate 2,76,D10,,8/5/2022,Cade,8/5/2022
"ACRU_RM503
Soil_Organic
Lab ID: 15d",251.4,2-Aug,QW,,TRUE,,Plate 2,77,E10,,8/5/2022,Cade,8/5/2022
"ACRU_RMS1
Soil_Organic
Lab ID: 16d",251.1,2-Aug,QW,,TRUE,,Plate 2,78,F10,,8/5/2022,Cade,8/5/2022
"ACSA_SM1
Soil_Organic
Lab ID: 17d",253.4,2-Aug,QW,,TRUE,,Plate 2,79,G10,,8/5/2022,Cade,8/5/2022
"ACSA_SM10
Soil_Organic
Lab ID: 18d",250.8,2-Aug,QW,,TRUE,,Plate 2,80,H10,,8/5/2022,Cade,8/5/2022
"ACSA_SM11
Soil_Organic
Lab ID: 19d",255.1,2-Aug,QW,,TRUE,,Plate 2,81,A11,,8/5/2022,Cade,8/5/2022
"ACSA_SM12
Soil_Organic
Lab ID: 20d",251.3,2-Aug,QW,,TRUE,,Plate 2,82,B11,,8/5/2022,Cade,8/5/2022
"ACSA_SM13
Soil_Organic
Lab ID: 21d",250,2-Aug,QW,,TRUE,,Plate 2,83,C11,,8/5/2022,Cade,8/5/2022
"ACSA_SM14
Soil_Organic
Lab ID: 22d",250.6,2-Aug,QW,,TRUE,,Plate 2,84,D11,,8/5/2022,Cade,8/5/2022
"ACSA_SM15
Soil_Organic
Lab ID: 23d",,,,,FALSE,"There are two bags labeled SM15, so holding off on weighing for the time being",Plate 2,85,E11,Yes,8/5/2022,Cade,8/5/2022
"ACSA_SM2
Soil_Organic
Lab ID: 24d",243.5,2-Aug,QW,,TRUE,,Plate 2,86,F11,,8/5/2022,Cade,8/5/2022
