,✴✴✴TARGET MASS FOR WOOD: 100 mg✴✴✴,,,,,,,,,,,,
Inner Core Sample ID,Sample Mass Added to Tube (mg),Date Weighed,Name of Weigher,Notes,Sample Archived,Sample Notes,Extraction Plate ID,Plate Well No.,Plate Position,Blank Well?,Sample Added to Extraction Plate,Name of Person Adding to Plate,Date Plate Extracted
"ACRU_RM1
Wood_Outer
Lab ID: 1a",102.7,7/25/2022,Qespi,,x,,Plate 3,1,A1,,8/8/2022,Cade,8/8/2022
"ACRU_RM10
Wood_Outer
Lab ID: 2a",100.5,7/25/2022,Qespi,,x,2 samples labelled RM2Outer-- why?,Plate 3,2,B1,,8/8/2022,Cade,8/8/2022
"ACRU_RM14
Wood_Outer
Lab ID: 3a",100.8,7/25/2022,Qespi,,x,,Plate 3,3,C1,,8/8/2022,Cade,8/8/2022
"ACRU_RM2
Wood_Outer
Lab ID: 4a",100.9,7/25/2022,Qespi,,x,,Plate 3,4,D1,,8/8/2022,Cade,8/8/2022
"ACRU_RM3
Wood_Outer
Lab ID: 5a",103.7,7/25/2022,Qespi,,x,,Plate 3,5,E1,,8/8/2022,Cade,8/8/2022
"ACRU_RM301A
Wood_Outer
Lab ID: 6a",101.5,7/25/2022,Qespi,,x,,Plate 3,6,F1,,8/8/2022,Cade,8/8/2022
"ACRU_RM301B
Wood_Outer
Lab ID: 7a",105.2,7/27/2022,Qespi + Jon,,x,,Plate 3,7,G1,,8/8/2022,Cade,8/8/2022
"ACRU_RM302
Wood_Outer
Lab ID: 8a",100,7/25/2022,Qespi,,x,,Plate 3,8,H1,,8/8/2022,Cade,8/8/2022
"ACRU_RM303
Wood_Outer
Lab ID: 9a",100.2,7/25/2022,Qespi,,x,,Plate 3,9,A2,,8/8/2022,Cade,8/8/2022
"ACRU_RM304
Wood_Outer
Lab ID: 10a",101.5,7/25/2022,Qespi,,x,,Plate 3,10,B2,,8/8/2022,Cade,8/8/2022
"ACRU_RM4
Wood_Outer
Lab ID: 11a",100.8,7/25/2022,Qespi,,x,,Plate 3,11,C2,,8/8/2022,Cade,8/8/2022
"ACRU_RM5
Wood_Outer
Lab ID: 12a",100.1,7/25/2022,Qespi,,x,,Plate 3,12,D2,,8/8/2022,Cade,8/8/2022
"ACRU_RM501
Wood_Outer
Lab ID: 13a",105,7/22/2022,Qespi,,x,,Plate 3,13,E2,,8/8/2022,Cade,8/8/2022
"ACRU_RM502
Wood_Outer
Lab ID: 14a",101,7/25/2022,Qespi,,x,,Plate 3,14,F2,,8/8/2022,Cade,8/8/2022
"ACRU_RM503
Wood_Outer
Lab ID: 15a",101.5,7/25/2022,Qespi,,x,,Plate 3,15,G2,,8/8/2022,Cade,8/8/2022
"ACRU_RMS1
Wood_Outer
Lab ID: 16a",100.7,7/25/2022,Qespi,,x,,Plate 3,16,H2,,8/8/2022,Cade,8/8/2022
"ACSA_SM1
Wood_Outer
Lab ID: 17a",100.9,7/22/2022,Qespi,,x,,Plate 3,17,A3,,8/8/2022,Cade,8/8/2022
"ACSA_SM10
Wood_Outer
Lab ID: 18a",110.8,7/22/2022,Qespi,,x,,Plate 3,18,B3,,8/8/2022,Cade,8/8/2022
"ACSA_SM11
Wood_Outer
Lab ID: 19a",101.8,7/22/2022,Qespi,,x,,Plate 3,19,C3,,8/8/2022,Cade,8/8/2022
"ACSA_SM12
Wood_Outer
Lab ID: 20a",102.8,7/22/2022,Qespi,,x,,Plate 3,20,D3,,8/8/2022,Cade,8/8/2022
"ACSA_SM13
Wood_Outer
Lab ID: 21a",100.7,7/22/2022,Qespi,,x,,Plate 3,21,E3,,8/8/2022,Cade,8/8/2022
"ACSA_SM14
Wood_Outer
Lab ID: 22a",101.7,7/22/2022,Qespi,,x,,Plate 3,22,F3,,8/8/2022,Cade,8/8/2022
"ACSA_SM15
Wood_Outer
Lab ID: 23a",107.1,7/26/2022,Qespi, ,x,,Plate 3,23,G3,,8/8/2022,Cade,8/8/2022
"ACSA_SM2
Wood_Outer
Lab ID: 24a",102.1,7/22/2022,Qespi,,x,,Plate 3,24,H3,,8/8/2022,Cade,8/8/2022
"ACSA_SM3
Wood_Outer
Lab ID: 25a",101.1,7/22/2022,Qespi,,x,,Plate 3,25,A4,,8/8/2022,Cade,8/8/2022
"ACSA_SM5
Wood_Outer
Lab ID: 26a",101.1,7/22/2022,Qespi,,x,,Plate 3,26,B4,,8/8/2022,Cade,8/8/2022
"ACSA_SM6
Wood_Outer
Lab ID: 27a",106.5,7/22/2022,Qespi,,x,,Plate 3,27,C4,,8/8/2022,Cade,8/8/2022
"ACSA_SM7
Wood_Outer
Lab ID: 28a",107.8,7/30/2022,Qespi,,x,,Plate 3,28,D4,,8/8/2022,Cade,8/8/2022
"ACSA_SM8
Wood_Outer
Lab ID: 29a",100.7,7/22/2022,Qespi,,x,,Plate 3,29,E4,,8/8/2022,Cade,8/8/2022
