UniqueID,start.time,Area,Vtot,Tcham,Pcham,obs.length,plot,tree_id,species,chamber_id,measurement_height,temp_source,CO2_LM.flux,CO2_LM.C0,CO2_LM.Ct,CO2_LM.slope,CO2_LM.MAE,CO2_LM.RMSE,CO2_LM.AICc,CO2_LM.SE,CO2_LM.se.rel,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.C0,CO2_HM.Ci,CO2_HM.slope,CO2_HM.MAE,CO2_HM.RMSE,CO2_HM.AICc,CO2_HM.SE,CO2_HM.se.rel,CO2_HM.r2,CO2_HM.k,CO2_C0,CO2_Ct,CO2_MDF,CO2_prec,CO2_flux.term,CO2_nb.obs,CO2_k.max,CO2_k.mult,CO2_g.fact,CO2_HM.diagnose,CO2_LM.diagnose,CO2_best.flux,CO2_model,CO2_quality.check,CO2_HM.score,CO2_LM.score,CO2_RMSE.lim,CO2_MAE.lim,CO2_SE.lim,CO2_g.limit,CO2_g.reverse,CO2_k.ratio.lim,CO2_p.val.lim,CO2_MDF.lim,CO2_warn.nb.obs,CH4_LM.flux,CH4_LM.C0,CH4_LM.Ct,CH4_LM.slope,CH4_LM.MAE,CH4_LM.RMSE,CH4_LM.AICc,CH4_LM.SE,CH4_LM.se.rel,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.C0,CH4_HM.Ci,CH4_HM.slope,CH4_HM.MAE,CH4_HM.RMSE,CH4_HM.AICc,CH4_HM.SE,CH4_HM.se.rel,CH4_HM.r2,CH4_HM.k,CH4_C0,CH4_Ct,CH4_MDF,CH4_prec,CH4_flux.term,CH4_nb.obs,CH4_k.max,CH4_k.mult,CH4_g.fact,CH4_HM.diagnose,CH4_LM.diagnose,CH4_best.flux,CH4_model,CH4_quality.check,CH4_HM.score,CH4_LM.score,CH4_RMSE.lim,CH4_MAE.lim,CH4_SE.lim,CH4_g.limit,CH4_g.reverse,CH4_k.ratio.lim,CH4_p.val.lim,CH4_MDF.lim,CH4_warn.nb.obs
20210719_Lab_SM1_50_3_134500,2021-07-19T13:45:00.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM1,ACSA,3,50,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM1_125_3_135800,2021-07-19T13:58:00.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM1,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM1_200_3_141130,2021-07-19T14:11:30.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM1,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM2_50_3_152845,2021-07-19T15:28:45.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM2,ACSA,3,50,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM2_125_3_154142,2021-07-19T15:41:42.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM2,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM2_200_3_154956,2021-07-19T15:49:56.000000Z,213.35,1.2626016666666666,20.7,101.325,180,Lab,SM2,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM3_50_3_161130,2021-07-19T16:11:30.000000Z,213.35,1.2626016666666666,19.5,101.325,180,Lab,SM3,ACSA,3,50,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM3_125_3_161938,2021-07-19T16:19:38.000000Z,213.35,1.2626016666666666,19.5,101.325,180,Lab,SM3,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210719_Lab_SM3_200_3_162645,2021-07-19T16:26:45.000000Z,213.35,1.2626016666666666,19.5,101.325,180,Lab,SM3,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM4_50_3_93600,2021-07-20T09:36:00.000000Z,213.35,1.2626016666666666,21.9,101.325,180,Lab,SM4,ACSA,3,50,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM4_125_3_94130,2021-07-20T09:41:30.000000Z,213.35,1.2626016666666666,21.9,101.325,180,Lab,SM4,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM4_200_3_95015,2021-07-20T09:50:15.000000Z,213.35,1.2626016666666666,21.9,101.325,180,Lab,SM4,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM5_50_3_102100,2021-07-20T10:21:00.000000Z,213.35,1.2626016666666666,22.9,101.325,180,Lab,SM5,ACSA,3,50,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM5_125_3_103245,2021-07-20T10:32:45.000000Z,213.35,1.2626016666666666,22.9,101.325,180,Lab,SM5,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM5_200_3_104430,2021-07-20T10:44:30.000000Z,213.35,1.2626016666666666,22.9,101.325,180,Lab,SM5,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM6_50_3_111630,2021-07-20T11:16:30.000000Z,213.35,1.2626016666666666,21.5,101.325,180,Lab,SM6,ACSA,3,50,field_air,2.457295700253587,876.8153112847018,1396.8753880936965,1.0257595203333232,4.4814733872447565,5.43445275408126,647.2520802967184,0.00875954833417976,0.35647107237748377,0.9987055312690314,6.974646457638139e-148,2.7752164555977163,865.9548602694638,3253.4953796296695,1.1584705495644199,2.0256533601675946,2.3213002931337865,474.1877660748295,0.016327338696696652,0.5883266749793081,0.9997638202917842,4.852150320258681e-4,869.038,1381.48,0.0016505025374460541,0.35,2.3955865400645586,103,2.930741486666638,1,1.1293783061238096,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),2.7752164555977163,HM,,0,4,0.35,0.35,0.03448652473575026,2,0.5,1,0.05,0.0017,60,0.03809071606738313,1898.7703600457153,1906.831848421603,0.015900371550074174,0.8198005649081658,1.0040476500343116,299.37589503198205,0.0016183789460107254,4.248749073521709,0.8442651756248979,8.584353683317469e-43,0.03822991116307915,1898.7650186226315,2767.502891856033,0.015958476357964883,0.8202804428478355,1.0046374077158466,301.6625988476468,0.006476407946801236,16.940682700450218,0.8440844690870271,1.8369725609599807e-5,1898.07,1907.77,0.004244149382004139,0.9,2.3955865400645586,103,0.017667079500082415,1,1.0036543050398365,Noise (HM.RMSE),Noise (LM.RMSE),0.03822991116307915,HM,AICc,1,3,0.9,0.9,0.08867963503478639,2,0.5,1,0.05,0.0042,60
20210720_Lab_SM6_125_3_113200,2021-07-20T11:32:00.000000Z,213.35,1.2626016666666666,21.5,101.325,180,Lab,SM6,ACSA,3,125,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM6_200_3_114345,2021-07-20T11:43:45.000000Z,213.35,1.2626016666666666,21.5,101.325,180,Lab,SM6,ACSA,3,200,field_air,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20210720_Lab_SM7_50_3_131830,2021-07-20T13:18:30.000000Z,213.35,1.2626016666666666,24.8,101.325,180,Lab,SM7,ACSA,3,50,field_air,3.851100879875721,466.9881015479317,1081.9737278336193,1.626946101284888,14.553185670122428,16.540644433152018,656.9416814812024,0.04092350598320194,1.0626443518281086,0.9914900496062236,1.3221983269738633e-79,5.3763073231418375,429.6214096065997,1670.9855950656208,2.2712887850855985,3.0503624053350324,3.705356467171334,428.77812752267647,0.04682693481425921,0.8709869432630241,0.9995729466172046,0.0018296715916979193,436.456,1053.33,0.0021859517115239728,0.35,2.3670734247645306,77,4.648417432242538,1,1.3960442717136343,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),5.3763073231418375,HM,SE,1,3,0.35,0.35,0.03988620176087328,2,0.5,1,0.05,0.0022,60,0.10430480460420354,1896.2017051097337,1912.8582294608154,0.04406487923566607,1.151610367842853,1.525997158546055,289.9331041450951,0.003775497024949218,3.6196770026805303,0.9093336682516264,4.691128388115554e-41,0.1234014709371636,1895.7169109580386,1953.2986238349376,0.052132506599130615,1.1224698926659715,1.5110986635900814,290.6489842875072,0.016882994935381996,13.681356313798615,0.9110953988110531,9.053656793882117e-4,1896.99,1913.99,0.00562101868677593,0.9,2.3670734247645306,77,0.04896097692851786,1,1.1830852030778882,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.1234014709371636,HM,AICc,1,3,0.9,0.9,0.10256451881367415,2,0.5,1,0.05,0.0056,60
20210720_Lab_SM7_125_3_132630,2021-07-20T13:26:30.000000Z,213.35,1.2626016666666666,24.8,101.325,180,Lab,SM7,ACSA,3,125,field_air,4.183408676811177,450.0207289118212,879.6608549786479,1.7680663624149242,1.6261112795957855,1.9299079857953667,214.16282505355957,0.009180715553999878,0.2194553834744618,0.9997640673671769,6.1816150339720275e-89,4.4075580815683635,446.33800109025077,4745.893640394004,1.8628003588574136,0.6315210464617087,0.7981153574682986,128.23252883446497,0.015634325569941574,0.3547162687502993,0.999959649758066,4.3325415813413344e-4,447.272,875.584,0.0033939852385257265,0.35,2.3660925662865067,50,5.051618178328355,1,1.0535805660105972,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),4.4075580815683635,HM,nb.obs,0,4,0.35,0.35,0.049497474683058325,2,0.5,1,0.05,0.0034,60,0.7533310599141845,1901.5827944770256,1978.9506245304592,0.31838613190713383,1.0551696443229504,1.2865943818556769,173.61546378345832,0.0061204249840560295,0.8124482461606238,0.9967758628170345,1.1135894793752585e-61,0.7977424920530831,1900.8538754781023,2609.569854105813,0.33715607893782024,1.0212628337573006,1.2384520112595672,172.16896438210742,0.024351730857536016,3.05258038779707,0.9970126330189891,4.757280618826412e-4,1900.99,1979.73,0.008727390613351869,0.9,2.3660925662865067,50,0.3537623687857042,1,1.0589534064133208,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),0.7977424920530831,HM,nb.obs,0,4,0.9,0.9,0.12727922061357855,2,0.5,1,0.05,0.0087,60
20210720_Lab_SM7_200_3_133300,2021-07-20T13:33:00.000000Z,213.35,1.2626016666666666,24.8,101.325,180,Lab,SM7,ACSA,3,200,field_air,3.7282711305461125,451.54513785717916,851.7981623819603,1.5757993091526818,0.8847819212362352,1.0723108727959823,161.33047289769223,0.004805613273894758,0.12889656105002312,0.9999152740205299,1.085704745700255e-103,3.800519964607436,450.28172873667256,11046.848334693046,1.6063361609036553,0.753994244596062,0.8991117529248811,145.36048508632047,0.01621677676070903,0.42669889677540723,0.999940433927798,1.5159024810930052e-4,448.979,850.286,0.0032473899787498085,0.35,2.3659555559462895,52,4.502283740436235,1,1.019378642682229,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),3.800519964607436,HM,nb.obs,0,4,0.35,0.35,0.04853626716970755,2,0.5,1,0.05,0.0032,60,1.935544301747131,1919.2584136764292,2127.0510965982094,0.8180814288259058,0.9313365883062812,1.1363870486015657,167.36642075625787,0.005092773768862855,0.26311842949116854,0.9996470426405043,3.376041254065819e-88,1.9629767380138543,1918.7729877490326,9224.221818461652,0.8296760829172637,1.0008413280847277,1.1982444222798594,175.22985171553358,0.02153479070811584,1.0970476771876982,0.9996078757905488,1.1356948794566149e-4,1919.32,2127.6600000000003,0.008350431373928081,0.9,2.3659555559462895,52,0.9089793653621177,1,1.0141729828875325,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE),1.935544301747131,LM,RMSE | MAE | AICc | nb.obs,3,1,0.9,0.9,0.12480754415067656,2,0.5,1,0.05,0.0084,60
