UniqueID,start.time,Area,Vtot,Tcham,Pcham,Date,Site,Plot Tag,Plot letter,Person sampling,File name,Notes,start.time_formatted,CO2_LM.flux,CO2_LM.C0,CO2_LM.Ct,CO2_LM.slope,CO2_LM.MAE,CO2_LM.RMSE,CO2_LM.AICc,CO2_LM.SE,CO2_LM.se.rel,CO2_LM.r2,CO2_LM.p.val,CO2_HM.flux,CO2_HM.C0,CO2_HM.Ci,CO2_HM.slope,CO2_HM.MAE,CO2_HM.RMSE,CO2_HM.AICc,CO2_HM.SE,CO2_HM.se.rel,CO2_HM.r2,CO2_HM.k,CO2_C0,CO2_Ct,CO2_MDF,CO2_prec,CO2_flux.term,CO2_nb.obs,CO2_k.max,CO2_k.mult,CO2_g.fact,CO2_HM.diagnose,CO2_LM.diagnose,CO2_best.flux,CO2_model,CO2_quality.check,CO2_HM.score,CO2_LM.score,CO2_RMSE.lim,CO2_MAE.lim,CO2_SE.lim,CO2_g.limit,CO2_g.reverse,CO2_k.ratio.lim,CO2_p.val.lim,CO2_MDF.lim,CO2_warn.nb.obs,CH4_LM.flux,CH4_LM.C0,CH4_LM.Ct,CH4_LM.slope,CH4_LM.MAE,CH4_LM.RMSE,CH4_LM.AICc,CH4_LM.SE,CH4_LM.se.rel,CH4_LM.r2,CH4_LM.p.val,CH4_HM.flux,CH4_HM.C0,CH4_HM.Ci,CH4_HM.slope,CH4_HM.MAE,CH4_HM.RMSE,CH4_HM.AICc,CH4_HM.SE,CH4_HM.se.rel,CH4_HM.r2,CH4_HM.k,CH4_C0,CH4_Ct,CH4_MDF,CH4_prec,CH4_flux.term,CH4_nb.obs,CH4_k.max,CH4_k.mult,CH4_g.fact,CH4_HM.diagnose,CH4_LM.diagnose,CH4_best.flux,CH4_model,CH4_quality.check,CH4_HM.score,CH4_LM.score,CH4_RMSE.lim,CH4_MAE.lim,CH4_SE.lim,CH4_g.limit,CH4_g.reverse,CH4_k.ratio.lim,CH4_p.val.lim,CH4_MDF.lim,CH4_warn.nb.obs,month
20200615_1-3-U_0,2020-06-15T13:20:00.000000Z,507.7,17.848958219333085,21.35,101.325,2020-06-15,YM,1-3,U,MT & DW,0,NA,2020-06-15 13:20:00 UTC,4.425920822631896,415.0616833799498,486.1699625169323,0.3078280482120454,1.0365429354555955,1.3028961074869474,790.628895693896,0.01840898117275193,0.4159356190607346,0.9960023196951608,3.2559302703359598e-279,4.457760030756704,414.97347573816694,4915.051781151209,0.3100425029405529,1.055684106305434,1.3281858980562171,801.6581305956969,0.0754956788483525,1.6935788002822825,0.9958472638677862,6.889713509376266e-5,416.178,487.614,0.02169079706212698,0.35,14.3778997668956,233,0.8795087091772728,1,1.007193804272774,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),4.425920822631896,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.02292926237281464,2,0.5,1,0.05,0.022,60,-2.3460324042737803,1983.0426169785576,1945.3504996197337,-0.16316933921569013,2.2915365093731257,2.8806604914804237,1160.367295977754,0.04070165260915452,-1.7349143402711784,0.9347092968379278,4.293216341182419e-139,-2.3675809723048213,1983.0944907137632,0,-0.16466806770736145,2.2997336119920853,2.8895195828435485,1163.8688534318628,0.14777767617767823,-6.241715823295278,0.934307138679443,8.303591607886192e-5,1981.17,1948.73,0.05577633530261224,0.9,14.3778997668956,233,0.18129926579521125,1,1.0091851109949657,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-2.3675809723048213,HM,AICc,1,3,0.9,0.9,0.05896096038723766,2,0.5,1,0.05,0.056,60,NA
20200615_1-2-U_1,2020-06-15T13:31:00.000000Z,507.7,17.848958219333085,21.2,101.325,2020-06-15,YM,1-2,U,MT & DW,1,NA,2020-06-15 13:31:00 UTC,2.747929815865298,392.2123770951453,431.6018934792776,0.1912112445831663,0.7391469392778591,0.9434814087278758,572.1937713893417,0.01582308651621848,0.5758184370235068,0.9931831271702108,2.4467871150522726e-225,2.780650143082443,392.1334786005905,2015.785006239774,0.1934880474528162,0.742848840851171,0.9485039111847288,576.4818178637692,0.06417610115372341,2.3079530991476,0.9931108563723516,1.191684571221702e-4,392.463,430.854,0.02429908425571984,0.35,14.37117268838288,208,0.5463178416661894,1,1.0119072645262746,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.747929815865298,LM,RMSE | SE | AICc,3,1,0.35,0.35,0.02426813358485377,2,0.5,1,0.05,0.024,60,-3.8474291142567583,1980.3341881265023,1925.1841725555687,-0.26771852218899833,2.0362788313133415,2.5310090556078872,982.7011895965368,0.04244744505799489,-1.1032677613397648,0.9754202856720744,5.7889053999837e-168,-3.9027599345629738,1980.4670406884304,67.47374635285814,-0.27156864781938217,2.0392165665583595,2.5331093021755904,985.1256430347012,0.17173506458433266,-4.400349175039979,0.9753797790064598,1.4196006260111036e-4,1980.08,1927.23,0.06248335951470817,0.9,14.37117268838288,208,0.2974650246544426,1,1.0143812448944634,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-3.9027599345629738,HM,SE | AICc,2,2,0.9,0.9,0.06240377207533828,2,0.5,1,0.05,0.062,60,NA
20200615_1-1-U_2,2020-06-15T13:43:00.000000Z,507.7,17.848958219333085,21.2,101.325,2020-06-15,YM,1-1,U,MT & DW,2,NA,2020-06-15 13:43:00 UTC,2.821869629703168,393.6899538874429,446.3159724485483,0.19636574089964676,1.6118706604037525,1.9083224714419824,1125.4082890002603,0.021491391882351,0.7616011617309081,0.984579622140615,5.916056111442097e-246,2.8401313167324473,393.6354182748151,4276.601946088247,0.1976365188497816,1.61871195809257,1.9186906439453009,1130.4055653775818,0.08666536201753765,3.0514561600357824,0.984411761959979,5.089833183833141e-5,391.937,448.484,0.01869764842020999,0.35,14.370478357247112,271,0.5610449739989908,1,1.006471485017258,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.821869629703168,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.02126098587307754,2,0.5,1,0.05,0.019,60,-1.5207854217855925,1991.6077148139484,1963.246063732723,-0.1058270562732278,2.274274245177211,2.956040572391296,1362.6016674456837,0.03329071858247617,-2.189047718736592,0.8853912841266123,9.137157447663448e-129,-1.531197920649176,1991.6366826023204,0,-0.10655163193485376,2.276525763768448,2.9596677854155997,1365.3268097769028,0.11312571325921277,-7.388052957337566,0.8851098737928376,5.34995327539513e-5,1989.47,1961.9,0.04807966736625428,0.9,14.370478357247112,271,0.1175856180813642,1,1.006846790292978,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.531197920649176,HM,AICc,1,3,0.9,0.9,0.05467110653077083,2,0.5,1,0.05,0.048,60,NA
20200615_1-4-U_10,2020-06-15T16:04:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-4,U,MT & DW,10,NA,2020-06-15 16:04:00 UTC,3.69007089270982,407.31180981032554,492.5755618897261,0.2560473035417434,1.6812444487537586,2.0598631096036515,1445.212746921051,0.01684720466336959,0.4565550406268149,0.9930654538217578,0,3.709029403703964,407.2340451124586,7448.107418519243,0.2573628001162962,1.7053541401555066,2.0892843254898534,1456.7916415511884,0.0687567216450206,1.8537658821566037,0.992868398702062,3.655268124666884e-5,411.221,494.237,0.01510205615269536,0.35,14.411676442857866,336,0.7315637244049811,1,1.0051377091512248,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),3.69007089270982,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.01909406539564933,2,0.5,1,0.05,0.015,60,-7.911568299361181,1955.9652508981785,1773.1584654327091,-0.5489693257221295,2.975313994677196,3.660167895884373,1831.5250446101752,0.02993577454577739,-0.3783797777261754,0.9952265886949808,0,-8.296997060267202,1957.3601446465184,0,-0.575713525984621,3.2811734314215366,4.03746698445192,1899.5025078217432,0.1371054478042564,-1.6524707289680651,0.9941921261227714,2.9412754089186264e-4,1952.82,1763.77,0.03883385867835952,0.9,14.411676442857866,336,0.6099659174690328,1,1.0487171122490522,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-7.911568299361181,LM,RMSE | MAE | SE | AICc,4,0,0.9,0.9,0.04909902530309829,2,0.5,1,0.05,0.039,60,NA
20200615_1-5-U_11,2020-06-15T16:14:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-5,U,MT & DW,11,NA,2020-06-15 16:14:00 UTC,2.081769706343642,439.35379915865946,490.203179755428,0.1444584676044562,1.3133265775536724,1.6376154261587452,1363.715969106884,0.01233088749395759,0.592327165506467,0.9877318006850604,0,2.0909449817764942,439.31485537284607,5346.38219397466,0.14509515965777972,1.324847434154502,1.6502729269936192,1371.228530307946,0.04988220481787277,2.3856297153974944,0.9875429880185004,2.9568609853053727e-5,442.258,492.654,0.01428838092186956,0.35,14.410852758342733,355,0.4127384788698749,1,1.0044074401721252,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.081769706343642,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.01857607123519963,2,0.5,1,0.05,0.014,60,-6.052865209758775,1982.9964228376955,1835.1489227928676,-0.4200213069455345,3.44161042818215,4.266107862803197,2043.5130865012225,0.0321228630684716,-0.5307050785912313,0.9901278162938808,0,-6.279970542909422,1983.8294434077457,0,-0.435780633403101,3.7349337985656113,4.5853154139965575,2096.790460397128,0.14240780325806518,-2.267650815955733,0.9885958764878258,2.1966638052036064e-4,1975.24,1831.28,0.03674155094195031,0.9,14.410852758342733,355,0.4666903410505939,1,1.0375203024155395,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-6.052865209758775,LM,RMSE | MAE | SE | AICc,4,0,0.9,0.9,0.04776704031908477,2,0.5,1,0.05,0.037,60,NA
20200615_1-6-U_12,2020-06-15T16:23:00.000000Z,507.7,17.848958219333085,20.23,101.325,2020-06-15,YM,1-6,U,MT & DW,12,NA,2020-06-15 16:23:00 UTC,3.2035266977031096,418.8689091825434,468.21213791476185,0.2222667960910742,0.7909545183229423,1.0135647962414918,650.6940653318188,0.01512300989548807,0.47207378999934946,0.9950327632033552,4.25121588308176e-259,3.5561343283681515,417.9888903386536,677.7843202627188,0.24673138644437953,0.7367119193180363,0.935419201390435,616.6619302275475,0.06045014451673591,1.6998836077284918,0.9957691815553604,9.497141135873556e-4,417.078,467.375,0.02262126772354551,0.35,14.412979149573289,225,0.6350479888316405,1,1.1100685787690976,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),3.5561343283681515,HM,SE,1,3,0.35,0.35,0.02333333333333333,2,0.5,1,0.05,0.023,60,-5.914700194853319,1963.3855326037349,1872.282684980708,-0.4103731874911115,2.293109884432118,2.919401246942051,1126.7512815038049,0.04355926144053421,-0.736457639534077,0.9879961003416315,2.2786044978643098e-216,-6.628566558292868,1965.1638254920913,1521.814418014545,-0.4599025981723643,2.205654717174761,2.809949822707303,1111.629140048214,0.18288855311365315,-2.7590965785030086,0.9888793055673728,0.00103733667039051,1964.32,1874.99,0.0581689741462599,0.9,14.412979149573289,225,0.4559702083234572,1,1.1206935837695915,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-6.628566558292868,HM,SE,1,3,0.9,0.9,0.06,2,0.5,1,0.05,0.058,60,NA
20200616_2-1-U_1,2020-06-16T10:47:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-1,U,MT & DW,1,NA,2020-06-16 10:47:00 UTC,2.127441394770677,411.0897324190741,446.8997620431611,0.1492084567670294,1.2618717598007598,1.624233676968347,931.432100425043,0.02136584151671997,1.0042975364321638,0.9761707816789088,8.723389603518982e-198,2.134212986402498,411.0694329498019,4789.0274725640375,0.1496833834746342,1.267951898608245,1.632027834051556,935.8263237898734,0.08619201039187298,4.038585227482903,0.9759436219222732,3.419022798304928e-5,412.993,450.189,0.02070690392536958,0.35,14.258182417183058,243,0.426309876477227,1,1.0031829744633465,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.127441394770677,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.02245251046848544,2,0.5,1,0.05,0.021,60,-1.331150203737665,1986.231639887634,1963.8251339565536,-0.093360441379502,2.3178765719680237,2.9501945589605665,1221.4939100458744,0.03880807933246009,-2.915379438285249,0.8292827263643767,1.0551555430592952e-94,-1.3379303336632091,1986.246142769299,0,-0.09383596692176,2.3211687253429023,2.9545105231422513,1224.2720292204087,0.09450236051313388,-7.063324459831143,0.8287829397245917,4.724286930064487e-5,1979.29,1961.27,0.05324632437952179,0.9,14.258182417183058,243,0.10373382375500222,1,1.005093437169229,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.3379303336632091,HM,AICc | Intercept,1,3,0.9,0.9,0.05773502691896257,2,0.5,1,0.05,0.053,60,NA
20200616_2-3-U_3,2020-06-16T11:03:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-3,U,MT & DW,3,NA,2020-06-16 11:03:00 UTC,1.9427685950591156,400.1865942946528,446.7892786992816,0.1362651590778622,1.7860734126611677,2.1420977003642125,1510.770021228922,0.01665457023518906,0.8572595973367734,0.9753412170360772,4.4223704303644445e-278,1.9480723665937971,400.16395931452337,6693.662134386498,0.13663716389291017,1.7970582053823143,2.1528703021890747,1516.278598452133,0.06706436172456806,3.4426011515080437,0.9750948058689074,2.171084508042263e-5,405.892,449.604,0.01454823042918134,0.35,14.25726582059772,345,0.38932902593674906,1,1.002730006830546,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),1.9427685950591156,LM,RMSE | MAE | SE | AICc | Intercept,4,0,0.35,0.35,0.01884336657203579,2,0.5,1,0.05,0.015,60,-5.59658858662402,1998.5618138358384,1864.312139269192,-0.3925429080896094,4.728723719889483,5.638958728733215,2178.630573013958,0.04384227394719287,-0.7833749661709447,0.9793247302922028,3.32292053841482e-291,-5.778592037585385,1999.1692123069008,0,-0.40530857110323026,5.023050908521153,5.953393353893355,2218.1185792836313,0.1898099228411286,-3.28470882883855,0.9769562491722898,2.0273850187775387e-4,1984.22,1855.52,0.03740973538932347,0.9,14.25726582059772,345,0.4361587867662326,1,1.0325204270680817,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),-5.59658858662402,LM,RMSE | MAE | SE | AICc | Intercept,4,0,0.9,0.9,0.0484543711852349,2,0.5,1,0.05,0.037,60,NA
20200616_2-2-U_4,2020-06-16T11:12:00.000000Z,507.7,17.848958219333085,23.68,101.325,2020-06-16,YM,2-2,U,MT & DW,4,NA,2020-06-16 11:12:00 UTC,2.2698453534854184,408.0105431654137,453.51409658092336,0.1591033336206632,1.1284483979408706,1.3736051543277967,1009.71029930231,0.01394693675724555,0.6144443600895363,0.9892433469976266,1.008898005392146e-284,2.2795810472067104,407.9757924883328,4720.353023413652,0.15978575073942805,1.1408955208772305,1.3874385273042442,1017.5587701273026,0.05654690749216676,2.480583331812512,0.9890282109548052,3.705282311425764e-5,410.754,453.971,0.01739815267614771,0.35,14.266485194441126,289,0.4545809532018949,1,1.004289144062763,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),2.2698453534854184,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.02058823529411764,2,0.5,1,0.05,0.017,60,-1.7949321778546756,1996.555190623702,1960.5722140271637,-0.12581460348440016,1.431641491938065,1.8256753087207176,1174.157754260886,0.01853704318869809,-1.0327433770146004,0.9701954284501813,3.3261816179935516e-221,-1.8108702176583975,1996.6052130869357,0,-0.12693177001746692,1.4362367287462967,1.832298921496284,1178.3075978477657,0.06744736943271595,-3.7245832846006426,0.9699787850475666,6.357379475195234e-5,1993.33,1958.38,0.04473810688152269,0.9,14.266485194441126,289,0.13979400387155572,1,1.008879466310962,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-1.8108702176583975,HM,AICc,1,3,0.9,0.9,0.05294117647058823,2,0.5,1,0.05,0.045,60,NA
20200616_2-6-U_11,2020-06-16T12:39:00.000000Z,507.7,17.848958219333085,24.43,101.325,2020-06-16,YM,2-6,U,MT & DW,11,NA,2020-06-16 12:39:00 UTC,3.348471436418029,560.5694694122699,635.4582234889468,0.2362421264248485,0.8609945905335795,1.0529971384888483,947.2465406428304,0.00911520641364166,0.2722199244259495,0.997641649673827,0,3.3899926954621264,560.4171330784957,3568.9668139957353,0.23917154383654596,0.8829511355518065,1.0758509487010106,963.0392797026168,0.03759834941016511,1.1090982426155251,0.9975382589750732,7.949728912690845e-5,561.163,637.451,0.01560020049222872,0.35,14.173896447224957,320,0.6749775040709958,1,1.0124000636805537,Noise (HM.RMSE) | Noise (HM.MAE) | Noise (HM.SE),Noise (LM.RMSE) | Noise (LM.MAE),3.348471436418029,LM,RMSE | MAE | SE | AICc,4,0,0.35,0.35,0.01956559480312315,2,0.5,1,0.05,0.016,60,-3.766661407189979,1985.5836683644943,1901.342071812334,-0.26574636136328184,1.7862601471317177,2.221219457678139,1424.952674830369,0.01922785267563936,-0.5104746776266201,0.9917556745254432,0,-3.8475185552410425,1985.8721387369565,0,-0.271451013457512,1.8231525092401184,2.26437227050484,1439.3180948235647,0.07911310385280561,-2.0562111063776083,0.9914322609402536,1.366910830574212e-4,1987.29,1895.32,0.040114801265731,0.9,14.173896447224957,320,0.29527373484809094,1,1.0214665294567542,Noise (HM.RMSE) | Noise (HM.MAE),Noise (LM.RMSE) | Noise (LM.MAE),-3.8475185552410425,HM,RMSE | AICc,2,2,0.9,0.9,0.05031152949374527,2,0.5,1,0.05,0.04,60,NA
