"Autosampler.Position","Species.ID","Tree.ID","Lab.No","Lab.ID","FID.File","FID.Date","FID.Time","FID.Channel.CH4","Certified.Value.CO2...10","CH4.Area","CH4.ppm","CH4.Unit","FID.Channel.CO2","Certified.Value.CO2...15","CO2.Area","CO2.ppm","CO2.Unit","ECD.File","ECD.Date","ECD.Time","ECD.Channel.O2","Certified.Value.O2","O2.Area","O2.ppm","ECD.Channel.N2O","Certified.Value.N2O","N2O.Area","N2O.ppm","N2O.Unit","CO2_concentration","CH4_concentration","N2O_concentration","O2_concentration"
1,"Lab Air Blank","NA",1,"Std1","F220930s01.CHR",2022-09-30,1899-12-31 07:43:27,"CH4",1.4,0.2784,1.5221,"ppm","CO2",1.913,95.474,143.2872,"ppm","E220930s01.CHR",2022-09-30,1899-12-31 07:43:27,"O2",1.163,3236.0892,137445.3246,"N2O",2.213,51.8202,0.0136,"ppm",227.845201361123,0,0.171810860961878,160708.842082055
2,"Lab Air Blank","NA",2,"Std2","F220930s02.CHR",2022-09-30,1899-12-31 07:48:51,"CH4",1.406,0.2904,1.574,"ppm","CO2",1.92,89.7547,122.1501,"ppm","E220930s02.CHR",2022-09-30,1899-12-31 07:48:51,"O2",1.166,3113.7458,125334.5393,"N2O",2.216,49.3968,0.0037,"ppm",206.754316349971,0,0.162410466756449,147728.783694413
3,"Lab Air Blank","NA",3,"Std3","F220930s03.CHR",2022-09-30,1899-12-31 07:54:15,"CH4",1.4,0.3183,1.6946,"ppm","CO2",1.913,102.7178,170.0584,"ppm","E220930s03.CHR",2022-09-30,1899-12-31 07:54:15,"O2",1.163,3259.7308,139916.8499,"N2O",2.21,59.891,0.0467,"ppm",254.562241998118,0,0.203121382259289,163272.134568686
4,"Lab Air Blank","NA",4,"Std4","F220930s04.CHR",2022-09-30,1899-12-31 07:59:39,"CH4",1.403,0.3652,1.8975,"ppm","CO2",1.916,109.1048,193.6631,"ppm","E220930s04.CHR",2022-09-30,1899-12-31 07:59:39,"O2",1.163,3417.0822,159076.3083,"N2O",2.213,62.9926,0.0594,"ppm",278.123169445694,0,0.215155538717615,180786.736603141
5,"Lab Air Blank","NA",5,"Std5","F220930s05.CHR",2022-09-30,1899-12-31 08:05:04,"CH4",1.403,0.2958,1.5973,"ppm","CO2",1.913,90.868,126.2646,"ppm","E220930s05.CHR",2022-09-30,1899-12-31 08:05:04,"O2",1.16,3152.4221,129013.1041,"N2O",2.21,55.7088,0.0296,"ppm",210.859563136646,0,0.186895883496057,151780.561063944
6,"Lab Air Blank","NA",6,"Std6","F220930s06.CHR",2022-09-30,1899-12-31 08:10:29,"CH4",1.41,0.307,1.6458,"ppm","CO2",1.923,88.9572,119.2027,"ppm","E220930s06.CHR",2022-09-30,1899-12-31 08:10:29,"O2",1.166,3163.6668,130108.8834,"N2O",2.223,53.4684,0.0204,"ppm",203.813638592956,0,0.178204547487689,152967.520324845
7,"Lab Air Blank","NA",7,"Std7","F220930s07.CHR",2022-09-30,1899-12-31 08:15:53,"CH4",1.413,0.3333,1.7595,"ppm","CO2",1.926,98.7931,155.5537,"ppm","E220930s07.CHR",2022-09-30,1899-12-31 08:15:53,"O2",1.17,3300.4507,144501.3996,"N2O",2.226,56.1868,0.0315,"ppm",240.086318484815,0,0.188750279729508,167728.894724776
8,"Lab Air Blank","NA",8,"Std8","F220930s08.CHR",2022-09-30,1899-12-31 08:21:17,"CH4",1.4,0.3154,1.6821,"ppm","CO2",1.913,94.3666,139.1945,"ppm","E220930s08.CHR",2022-09-30,1899-12-31 08:21:17,"O2",1.16,3154.477,129213.351,"N2O",2.21,53.4439,0.0203,"ppm",223.761242662379,0,0.1781095054638,151997.169492507
9,"Lab Air Blank","NA",9,"Std9","F220930s09.CHR",2022-09-30,1899-12-31 08:26:41,"CH4",1.41,0.2837,1.545,"ppm","CO2",1.926,84.5659,102.9736,"ppm","E220930s09.CHR",2022-09-30,1899-12-31 08:26:41,"O2",1.166,3065.4079,120923.3692,"N2O",2.226,50.3889,0.0078,"ppm",187.622334162495,0,0.166258769382135,142731.909638967
10,"Lab Air Blank","NA",10,"Std10","F220930s10.CHR",2022-09-30,1899-12-31 08:32:05,"CH4",1.406,0.3539,1.8486,"ppm","CO2",1.923,109.2335,194.1388,"ppm","E220930s10.CHR",2022-09-30,1899-12-31 08:32:05,"O2",1.17,3316.991,146366.282,"N2O",2.22,59.3886,0.0447,"ppm",278.597967765768,0,0.201172159905051,169554.318396074
11,"N2","NA",11,"Std11","F220930s11.CHR",2022-09-30,1899-12-31 08:37:30,"CH4",0,0,0,"ppm","CO2",1.923,42.255,0,"ppm","E220930s11.CHR",2022-09-30,1899-12-31 08:37:30,"O2",1.166,NA,10817.7724,"N2O",2.22,18.776,0,"ppm",31.7070217394834,0,0.0436774909738231,0
12,"Lab Air Blank","NA",12,"Std12","F220930s12.CHR",2022-09-30,1899-12-31 08:42:55,"CH4",1.406,0.2922,1.5817,"ppm","CO2",1.92,82.3047,94.6168,"ppm","E220930s12.CHR",2022-09-30,1899-12-31 08:42:55,"O2",1.166,2901.2608,107152.7674,"N2O",2.216,48.3396,0,"ppm",179.285679948753,0,0.158309742001882,126319.525038144
13,"SB1","NA",13,"Std13","F220930s13.CHR",2022-09-30,1899-12-31 08:48:20,"CH4",1.403,0.2189,1.2647,"ppm","CO2",1.916,80.8242,89.1452,"ppm","E220930s13.CHR",2022-09-30,1899-12-31 08:48:20,"O2",1.163,3522.0446,174461.1839,"N2O",2.213,62.2056,0.0562,"ppm",173.827585845034,0,0.212101910007579,192908.985383332
14,"Lab Air Blank","NA",14,"Std14","F220930s14.CHR",2022-09-30,1899-12-31 08:53:44,"CH4",1.4,0.306,1.6414,"ppm","CO2",1.913,94.8185,140.8646,"ppm","E220930s14.CHR",2022-09-30,1899-12-31 08:53:44,"O2",1.16,3156.3932,129400.0819,"N2O",2.21,57.3174,0.0362,"ppm",225.427782213949,0,0.193136512813021,152199.278787882
15,"SB2","NA",15,"Std15","F220930s15.CHR",2022-09-30,1899-12-31 08:59:08,"CH4",1.413,0.6532,3.1432,"ppm","CO2",1.926,166.3224,405.1249,"ppm","E220930s15.CHR",2022-09-30,1899-12-31 08:59:08,"O2",1.17,4086.0365,257638.0059,"N2O",2.226,97.4357,0.2006,"ppm",489.359305152693,0,0.348852256211282,264060.845860638
16,"Lab Air Blank","NA",16,"Std16","F220930s16.CHR",2022-09-30,1899-12-31 09:04:33,"CH4",1.403,0.3038,1.6319,"ppm","CO2",1.916,91.681,129.2692,"ppm","E220930s16.CHR",2022-09-30,1899-12-31 09:04:33,"O2",1.163,3036.3186,118372.1947,"N2O",2.213,49.9712,0.0061,"ppm",213.857538127721,0,0.16463852273945,139760.749368486
17,"SB3","NA",17,"Std17","F220930s17.CHR",2022-09-30,1899-12-31 09:09:57,"CH4",1.403,4.7571,20.8934,"ppm","CO2",1.92,609.3094,2042.2925,"ppm","E220930s17.CHR",2022-09-30,1899-12-31 09:09:57,"O2",1.163,3669.28,196175.277,"N2O",2.213,150.9828,0.4201,"ppm",2134.93730671,3.00506305573901,0.556915929168085,210505.463922997
18,"Lab Air Blank","NA",18,"Std18","F220930s18.CHR",2022-09-30,1899-12-31 09:15:22,"CH4",1.406,0.3064,1.6432,"ppm","CO2",1.923,96.4164,146.77,"ppm","E220930s18.CHR",2022-09-30,1899-12-31 09:15:22,"O2",1.166,3168.4474,130574.7457,"N2O",2.22,57.4351,0.0366,"ppm",231.320748349587,0,0.193593143887061,153473.368695178
19,"SB4","NA",19,"Std19","F220930s19.CHR",2022-09-30,1899-12-31 09:20:46,"CH4",1.403,47.2754,204.7945,"ppm","CO2",1.923,1447.9234,5141.5972,"ppm","E220930s19.CHR",2022-09-30,1899-12-31 09:20:46,"O2",1.163,3678.292,197504.3556,"N2O",2.213,674.7858,2.5671,"ppm",5299.4291936433,189.805075663785,2.60579360638294,211604.962748215
20,"Lab Air Blank","NA",20,"Std20","F220930s20.CHR",2022-09-30,1899-12-31 09:26:11,"CH4",1.41,0.381,1.9658,"ppm","CO2",1.926,116.3309,220.369,"ppm","E220930s20.CHR",2022-09-30,1899-12-31 09:26:11,"O2",1.166,3394.7462,156088.9644,"N2O",2.226,70.4074,0.0898,"ppm",304.783951885707,0,0.243928340617142,178252.457951973
21,"SB5","NA",21,"Std21","F220930s21.CHR",2022-09-30,1899-12-31 09:31:35,"CH4",1.4,1169.1266,5057.0485,"ppm","CO2",1.926,2576.5482,9312.7083,"ppm","E220930s21.CHR",2022-09-30,1899-12-31 09:31:35,"O2",1.16,3680.6602,197853.6147,"N2O",2.213,1216.5209,4.7876,"ppm",9660.04426622454,5333.68332309382,4.75073112925598,211894.322017623
22,"Lab Air Blank","NA",22,"Std22","F220930s22.CHR",2022-09-30,1899-12-31 09:36:59,"CH4",1.4,1.7276,7.7902,"ppm","CO2",1.916,99.1429,156.8465,"ppm","E220930s22.CHR",2022-09-30,1899-12-31 09:36:59,"O2",1.16,3033.9262,118166.9143,"N2O",2.216,59.6995,0.0459,"ppm",241.376468834623,0,0.20237839375641,139517.592246662
23,"SB6","NA",23,"Std23","F220930s23.CHR",2022-09-30,1899-12-31 09:42:23,"CH4",1.383,9889.3145,42773.7858,"ppm","CO2",1.92,11978.6172,44060.3715,"ppm","E220930s23.CHR",2022-09-30,1899-12-31 09:42:23,"O2",1.156,1211.9922,11438.959,"N2O",2.22,4841.1834,19.6447,"ppm",50524.847424089,59452.1761535271,19.7802237946042,7337.99612033942
24,"Lab Air Blank","NA",24,"Std24","F220930s24.CHR",2022-09-30,1899-12-31 09:47:47,"CH4",1.4,13.1366,57.1366,"ppm","CO2",1.916,165.0816,400.5392,"ppm","E220930s24.CHR",2022-09-30,1899-12-31 09:47:47,"O2",1.16,3104.5542,124495.7417,"N2O",2.213,68.9552,0.0839,"ppm",484.775331627438,39.7724667299725,0.238292754271862,146772.875599776
25,"Lab Air Blank","NA",25,"Std25","F220930s25.CHR",2022-09-30,1899-12-31 09:53:11,"CH4",1.41,0.397,2.035,"ppm","CO2",1.933,126.0158,256.1619,"ppm","E220930s25.CHR",2022-09-30,1899-12-31 09:53:11,"O2",1.166,3083.3274,122558.6484,"N2O",2.233,55.5926,0.0291,"ppm",340.524013818377,0,0.186445089854909,144575.625904807
26,"Lab Air Blank","NA",26,"Std26","F220930s26.CHR",2022-09-30,1899-12-31 09:58:35,"CH4",1.41,0.3658,1.9001,"ppm","CO2",1.933,123.2278,245.8582,"ppm","E220930s26.CHR",2022-09-30,1899-12-31 09:58:35,"O2",1.166,3017.6134,116767.1913,"N2O",2.236,56.7058,0.0337,"ppm",330.234611864122,0,0.190763758286969,137864.468250566
27,"Outdoor Air 1","NA",27,"Std27","F220930s27.CHR",2022-09-30,1899-12-31 10:04:00,"CH4",0,0,0,"ppm","CO2",1.93,12.7037,0,"ppm","E220930s27.CHR",2022-09-30,1899-12-31 10:04:00,"O2",1.156,940.1134,0,"N2O",2.24,6.5976,0,"ppm",0,0,0,0
28,"Lab Air Blank","NA",28,"Std28","F220930s28.CHR",2022-09-30,1899-12-31 10:09:24,"CH4",1.416,0.3736,1.9338,"ppm","CO2",1.946,164.9888,400.1962,"ppm","E220930s28.CHR",2022-09-30,1899-12-31 10:09:24,"O2",1.166,3179.292,131631.5359,"N2O",2.253,57.6742,0.0376,"ppm",484.432499821946,0,0.194520764453258,154623.567309522
29,"Outdoor Air 2","NA",29,"Std29","F220930s29.CHR",2022-09-30,1899-12-31 10:14:48,"CH4",1.413,0.1488,0.9615,"ppm","CO2",1.943,39.931,0,"ppm","E220930s29.CHR",2022-09-30,1899-12-31 10:14:48,"O2",1.166,1768.8222,37612.1999,"N2O",2.246,21.1202,0,"ppm",23.1478560666735,0,0.0527642133404021,36503.3080733574
