tree_id,dbh,species_id,CO2_concentration,CH4_concentration,N2O_concentration,O2_concentration,CO2_best.flux_75cm,CO2_best.flux_RootCrowncm,CO2_best.flux_125cm,CO2_best.flux_200cm,CO2_best.flux_50cm,CH4_best.flux_75cm,CH4_best.flux_RootCrowncm,CH4_best.flux_125cm,CH4_best.flux_200cm,CH4_best.flux_50cm,Temp_Air_75cm,Temp_Air_RootCrowncm,Temp_Air_125cm,Temp_Air_200cm,Temp_Air_50cm,VWC_mean,ORP_mean,SoilTemp_mean,OrganicDepth_mean,MineralDepth_mean,outer_moisture_fresh_percent,inner_moisture_fresh_percent,middle_moisture_fresh_percent,outer_moisture_dry_percent,inner_moisture_dry_percent,middle_moisture_dry_percent,outer_density_final,inner_density_final,middle_density_final,ddpcr_mcra_Inner_loose,ddpcr_mcra_Inner_strict,ddpcr_mcra_Outer_loose,ddpcr_mcra_Outer_strict,ddpcr_mcra_probe_Inner_loose,ddpcr_mcra_probe_Inner_strict,ddpcr_mcra_probe_Mineral_loose,ddpcr_mcra_probe_Organic_loose,ddpcr_mcra_probe_Organic_strict,ddpcr_mcra_probe_Outer_loose,ddpcr_mcra_probe_Outer_strict,ddpcr_mmox_Inner_loose,ddpcr_mmox_Inner_strict,ddpcr_mmox_Mineral_loose,ddpcr_mmox_Mineral_strict,ddpcr_mmox_Organic_loose,ddpcr_mmox_Organic_strict,ddpcr_mmox_Outer_loose,ddpcr_mmox_Outer_strict,ddpcr_pmoa_Inner_loose,ddpcr_pmoa_Inner_strict,ddpcr_pmoa_Mineral_loose,ddpcr_pmoa_Mineral_strict,ddpcr_pmoa_Organic_loose,ddpcr_pmoa_Organic_strict,ddpcr_pmoa_Outer_loose,ddpcr_pmoa_Outer_strict,ddpcr_16s_arc_Outer_loose,ddpcr_16s_arc_Outer_strict,ddpcr_16s_bact_Outer_loose,ddpcr_16s_bact_Outer_strict,ddpcr_mcra_probe_Mineral_strict,ddpcr_16s_arc_Inner_loose,ddpcr_16s_arc_Inner_strict,ddpcr_16s_bact_Inner_loose,ddpcr_16s_bact_Inner_strict,plot,species
7809,NA,NA,NA,NA,NA,NA,1.792717670860517,1.0172190531752383,NA,NA,NA,-0.02380574937971071,0.13936343399724624,NA,NA,NA,24.40916118793071,23.73676491022483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,NA
ab 3/5,45,FAGR,376.482728040026,0,0.321819873794263,214375.066716836,NA,NA,2.063185682237477,1.7500305347718987,2.616714919304074,NA,NA,0.01109004483290311,0.00839378271222148,0.01833880560864712,NA,NA,21.7,21.7,21.7,11.941666666666666,313,17.75,5.125,17.375,37.296758104738146,38.175344904316866,36.83703917605159,59.48138720967226,61.74776849985603,58.32063395306308,0.6035316262196424,0.6668995666117778,0.6300309467472627,2.21718668937683,0.0632902383804321,0.133311107754707,0,0.836403071880341,0.139359220862389,0,0,0,0.125805556774139,0,2.51013040542603,0,1.44787907600403,0.13781650364399,1.19110882282257,0.0626598820090294,2.17782831192017,0,0.159413352608681,0,225.588943481445,37.6478424072266,197.361328125,50.7958183288574,0.157030239701271,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab 4/6,22,FAGR,4422.56976628962,0,0.44464082223403,194648.977555202,NA,NA,2.106682490378033,2.2174360058590215,2.3142312130243057,NA,NA,0.03860493880367492,0.00354735441501163,0.02985146356237618,NA,NA,21.6,21.6,21.6,14.15,368,17.575,6.125,18.5,38.813964610234336,37.28373702422146,40.60773480662984,63.43598561825856,59.44827586206897,68.37209302325581,0.6141889616492289,0.6264785016040672,0.5954592300834415,0.556744456291199,0.13916140794754,0.946476757526398,0.0788439884781837,0.283931583166122,0,0,0.122632056474686,0.0613144263625145,0.0669495239853859,0,1.25914347171783,0,3.69489312171936,0.263536423444748,2.26624202728271,0.194078341126442,1.40090382099152,0,0.749523401260376,0,164.271102905273,33.7693099975586,221.227188110352,47.9643745422363,2.51181411743164,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab 6',NA,NA,NA,NA,NA,NA,NA,NA,2.732199545176293,1.681807323977035,2.082571363692511,NA,NA,0.22379322211812389,0.20549477568212737,0.25343529355402106,NA,NA,21.8,21.8,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,NA
ab1,25.5,FAGR,43945.2893588015,42526.2300787133,0.851204923003888,128805.928609958,NA,NA,3.073672639199462,2.3433018337744778,2.8961474488679873,NA,NA,0.08164334395882705,0.13392622123116,0.04042388236246425,NA,NA,19.2,19.2,19.1,10.441666666666666,297.5,17.025,7.875,13.5,38.61810980305865,46.02986255314942,37.5701390583069,62.91450080659619,85.287651154269,60.17975771785853,0.5356511203753396,0.5240336646367814,0.5016226767371805,95.1922073364258,87.3325119018555,0.456641107797623,0.130450800061226,291.450256347656,110.264236450195,0.188683093,0,0,0.0623543448746204,0,2.11761355400085,0,3.84612894058228,0.295410066843033,1.51286768913269,0.216004878282547,0.690214514732361,0.086254671216011,1.70616352558136,0.497375458478928,330.409301757813,57.4737854003906,270.437194824219,56.3987617492676,0.600546538829803,0.150107890367508,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab10,20,FAGR,17080.2089140518,0,0.732905144377349,177814.526633601,NA,NA,2.1921591786904195,1.6573207761917357,2.144831379315677,NA,NA,0.10342425930409752,0.07398460745423047,0.04808708062835479,NA,NA,20.4,20.4,20.4,6.022222222222222,107.66666666666669,16.7,3.2666666666666666,14.166666666666666,38.55716707477869,37.55946454253789,39.79988882712618,62.75291232372779,60.152374202693125,66.11265004616807,0.62638248957317,0.541891902383656,0.5789589613677092,3.2656466960907,0,0.701323747634888,0.127482324838638,0.580781936645508,0,0,0,0,0,0,0.996361672878265,0,3.18261480331421,0.423851549625397,1.66554665565491,0.475629925727844,2.68332695960999,0,0.387272924184799,0.129076808691025,268.004913330078,69.2529449462891,598.056213378906,132.036880493164,2.51651549339294,0.167600348591805,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,FAGR
ab11,25,FAGR,27617.9157328268,12.1729198977291,0.892324762858263,151590.342663141,NA,NA,1.9675304961880784,2.0886715828673306,2.8041327966843195,NA,NA,0.08823900015928558,0.08473011279021538,0.10509318661792294,NA,NA,18.6,18.7,18.5,11.641666666666666,260.25,17.075,3.875,16.25,40.804918949133594,38.64674138646742,39.18648992191756,68.93295561850803,62.990527740189464,64.43714541654225,0.5083837036005419,0.5676231266640989,0.5609635231588262,1.11114203929901,0.261350780725479,1.10091149806976,0,0.60608446598053,0.242396339774132,0.061947215,0.0592934302985668,0,0,0,3.09607648849487,0,1.56834256649017,0.0712429583072662,1.45839166641235,0.0694062486290932,0.588887333869934,0,0.352764785289764,0.176369175314903,186.797393798828,52.9925003051758,226.361358642578,55.9253959655762,0.498610138893127,0.0830870196223259,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ridge,FAGR
ab2,24,FAGR,25698.0247938682,42910.5142880997,0.823643565388635,173321.051053574,NA,NA,1.5360232536001768,1.8578244939537325,2.101497328013367,NA,NA,0.03235384981939449,0.03762007713520451,0.09705822109293068,NA,NA,19.2,19.2,19.2,NA,NA,NA,NA,NA,38.98734177215189,46.329113924050624,36.947240012198854,63.90041493775932,86.32075471698111,58.59733978234585,0.5553335867092605,0.5292183143052289,0.5189669905357109,3298.82153320313,2189.46850585938,0.514894962310791,0,7228.36962890625,33.0291976928711,0.064831816,0,0,0,0,1.13820683956146,0.133849546313286,3.80305552482605,0.286594539880753,1.39444828033447,0.190054759383202,0.961496114730835,0,0.666151225566864,0.380611628293991,270.344818115234,57.7742309570313,217.934860229492,43.2662239074707,0.913441121578217,0.249049991369247,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
ab2/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1,258.25,17.25,9,17.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ab3,26.5,FAGR,10259.9782863342,108.681571271276,0.606282408407651,201391.573439226,NA,NA,2.5010468442374183,2.3196555085344865,2.1028813707644747,NA,NA,0.02309216882944466,0.30750498643508,0.097544536888635,NA,NA,19.2,19.2,19.2,NA,NA,NA,NA,NA,37.94303109371602,35.13195098963243,35.0503018108652,61.14225648213034,54.159099164547776,53.96530359355639,0.5480366723610751,0.5286422421198458,0.5191404283686449,1.62150681018829,0.202566161751747,0.317801833152771,0,0.883291482925415,0.147169202566147,NA,NA,NA,0,0,1.11108040809631,0,NA,NA,NA,NA,1.01517498493195,0.0780592858791351,4.07165575027466,0.283612191677094,NA,NA,NA,NA,1.6984076499939,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lowland,FAGR
