"compartment","ch4_var","gene","n","rho","p","FDR"
"Heartwood","CH4_int","pmoA",131,-0.0611480067479095,0.487799546595609,0.811159555916537
"Heartwood","CH4_int","mmoX",131,-0.0985377110336317,0.262827127353961,0.731847938650388
"Heartwood","CH4_int","mcrA",130,0.0623335691255616,0.481100666825294,0.811159555916537
"Heartwood","CH4_int","%pmoA",130,0.0127205856221238,0.885783171907286,0.885783171907286
"Heartwood","CH4_50cm","pmoA",109,-0.151606565747838,0.11556102288679,0.462244091547158
"Heartwood","CH4_50cm","mmoX",109,-0.156577907982456,0.103966613114364,0.462244091547158
"Heartwood","CH4_50cm","mcrA",108,0.105595594785003,0.276746804340681,0.731847938650388
"Heartwood","CH4_50cm","%pmoA",108,-0.0509435806063401,0.600556110149311,0.884375158754898
"Sapwood","CH4_int","pmoA",140,-0.283654413854934,0.000683318156842152,0.0218661810189489
"Sapwood","CH4_int","mmoX",140,-0.088342699700422,0.299295939863595,0.731847938650388
"Sapwood","CH4_int","mcrA",138,-0.0413130813840135,0.630438410326155,0.884375158754898
"Sapwood","CH4_int","%pmoA",140,-0.215027005751022,0.0107309346012392,0.140387519532943
"Sapwood","CH4_50cm","pmoA",115,-0.067549253431153,0.473194253089898,0.811159555916537
"Sapwood","CH4_50cm","mmoX",115,-0.230596998732001,0.0131613299562134,0.140387519532943
"Sapwood","CH4_50cm","mcrA",113,-0.0280113931108022,0.768366509399731,0.884375158754898
"Sapwood","CH4_50cm","%pmoA",115,0.0346051341536501,0.713503607909796,0.884375158754898
"Mineral Soil","CH4_int","pmoA",120,-0.033217584554483,0.718719168384562,0.884375158754898
"Mineral Soil","CH4_int","mmoX",120,-0.0748454753802347,0.416533597858347,0.811159555916537
"Mineral Soil","CH4_int","mcrA",119,-0.0264138169647041,0.775529940417686,0.884375158754898
"Mineral Soil","CH4_int","%pmoA",120,0.178324883672477,0.0513368344864081,0.410694675891265
"Mineral Soil","CH4_50cm","pmoA",101,-0.132941176470588,0.185070644519407,0.592226062462102
"Mineral Soil","CH4_50cm","mmoX",101,-0.0295864880605708,0.768984291458703,0.884375158754898
"Mineral Soil","CH4_50cm","mcrA",101,0.0667837664345662,0.506974722447836,0.811159555916537
"Mineral Soil","CH4_50cm","%pmoA",101,-0.170460104834013,0.0883294603764226,0.462244091547158
"Organic Soil","CH4_int","pmoA",125,0.0156497695852535,0.8624765038071,0.885783171907286
"Organic Soil","CH4_int","mmoX",125,0.0130199692780338,0.885412530440891,0.885783171907286
"Organic Soil","CH4_int","mcrA",124,0.0275913168009615,0.76098303065014,0.884375158754898
"Organic Soil","CH4_int","%pmoA",125,0.022715821812596,0.801464987621627,0.884375158754898
"Organic Soil","CH4_50cm","pmoA",105,-0.144505494505494,0.141359585155419,0.502611858330377
"Organic Soil","CH4_50cm","mmoX",105,0.088388969521045,0.369915248085809,0.789152529249725
"Organic Soil","CH4_50cm","mcrA",104,0.0984303489076645,0.320183473159545,0.731847938650388
"Organic Soil","CH4_50cm","%pmoA",105,-0.171988388969521,0.0793691957598588,0.462244091547158
