"pathway","p","t","FDR","description","gene","compartment"
"1CMET2-PWY",NA,NA,NA,"N10-formyl-tetrahydrofolate biosynthesis","pmoA","Heartwood"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",NA,NA,NA,"4-hydroxyphenylacetate degradation","pmoA","Heartwood"
"ALL-CHORISMATE-PWY",NA,NA,NA,"superpathway of chorismate metabolism","pmoA","Heartwood"
"ANAEROFRUCAT-PWY",NA,NA,NA,"homolactic fermentation","pmoA","Heartwood"
"ANAGLYCOLYSIS-PWY",NA,NA,NA,"glycolysis III (from glucose)","pmoA","Heartwood"
"ARG+POLYAMINE-SYN",NA,NA,NA,"superpathway of arginine and polyamine biosynthesis","pmoA","Heartwood"
"ARGDEG-PWY",NA,NA,NA,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation","pmoA","Heartwood"
"ARGORNPROST-PWY",NA,NA,NA,"arginine, ornithine and proline interconversion","pmoA","Heartwood"
"ARGSYN-PWY",NA,NA,NA,"L-arginine biosynthesis I (via L-ornithine)","pmoA","Heartwood"
"ARGSYNBSUB-PWY",NA,NA,NA,"L-arginine biosynthesis II (acetyl cycle)","pmoA","Heartwood"
"ARO-PWY",NA,NA,NA,"chorismate biosynthesis I","pmoA","Heartwood"
"ASPASN-PWY",NA,NA,NA,"superpathway of L-aspartate and L-asparagine biosynthesis","pmoA","Heartwood"
"AST-PWY",NA,NA,NA,"L-arginine degradation II (AST pathway)","pmoA","Heartwood"
"BIOTIN-BIOSYNTHESIS-PWY",NA,NA,NA,"biotin biosynthesis I","pmoA","Heartwood"
"BRANCHED-CHAIN-AA-SYN-PWY",NA,NA,NA,"superpathway of branched amino acid biosynthesis","pmoA","Heartwood"
"CALVIN-PWY",NA,NA,NA,"Calvin-Benson-Bassham cycle","pmoA","Heartwood"
"CATECHOL-ORTHO-CLEAVAGE-PWY",NA,NA,NA,"catechol degradation to &beta;-ketoadipate","pmoA","Heartwood"
"CHLOROPHYLL-SYN",NA,NA,NA,"chlorophyllide a biosynthesis I (aerobic, light-dependent)","pmoA","Heartwood"
"COA-PWY",NA,NA,NA,"coenzyme A biosynthesis I","pmoA","Heartwood"
"COBALSYN-PWY",NA,NA,NA,"adenosylcobalamin salvage from cobinamide I","pmoA","Heartwood"
"COLANSYN-PWY",NA,NA,NA,"colanic acid building blocks biosynthesis","pmoA","Heartwood"
"COMPLETE-ARO-PWY",NA,NA,NA,"superpathway of aromatic amino acid biosynthesis","pmoA","Heartwood"
"CRNFORCAT-PWY",NA,NA,NA,"creatinine degradation I","pmoA","Heartwood"
"DAPLYSINESYN-PWY",NA,NA,NA,"L-lysine biosynthesis I","pmoA","Heartwood"
"DENITRIFICATION-PWY",NA,NA,NA,"nitrate reduction I (denitrification)","pmoA","Heartwood"
"DENOVOPURINE2-PWY",NA,NA,NA,"superpathway of purine nucleotides de novo biosynthesis II","pmoA","Heartwood"
"DHGLUCONATE-PYR-CAT-PWY",NA,NA,NA,"glucose degradation (oxidative)","pmoA","Heartwood"
"DTDPRHAMSYN-PWY",NA,NA,NA,"dTDP-L-rhamnose biosynthesis I","pmoA","Heartwood"
"ECASYN-PWY",NA,NA,NA,"enterobacterial common antigen biosynthesis","pmoA","Heartwood"
"ENTBACSYN-PWY",NA,NA,NA,"enterobactin biosynthesis","pmoA","Heartwood"
"FAO-PWY",NA,NA,NA,"fatty acid &beta;-oxidation I","pmoA","Heartwood"
"FASYN-ELONG-PWY",NA,NA,NA,"fatty acid elongation -- saturated","pmoA","Heartwood"
"FASYN-INITIAL-PWY",NA,NA,NA,"superpathway of fatty acid biosynthesis initiation (E. coli)","pmoA","Heartwood"
"FERMENTATION-PWY",NA,NA,NA,"mixed acid fermentation","pmoA","Heartwood"
"FOLSYN-PWY",NA,NA,NA,"superpathway of tetrahydrofolate biosynthesis and salvage","pmoA","Heartwood"
"FUC-RHAMCAT-PWY",NA,NA,NA,"superpathway of fucose and rhamnose degradation","pmoA","Heartwood"
"FUCCAT-PWY",NA,NA,NA,"fucose degradation","pmoA","Heartwood"
"GALACT-GLUCUROCAT-PWY",NA,NA,NA,"superpathway of hexuronide and hexuronate degradation","pmoA","Heartwood"
"GALACTARDEG-PWY",NA,NA,NA,"D-galactarate degradation I","pmoA","Heartwood"
"GALACTUROCAT-PWY",NA,NA,NA,"D-galacturonate degradation I","pmoA","Heartwood"
"GALLATE-DEGRADATION-I-PWY",NA,NA,NA,"gallate degradation II","pmoA","Heartwood"
"GLCMANNANAUT-PWY",NA,NA,NA,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","pmoA","Heartwood"
"GLUCARDEG-PWY",NA,NA,NA,"D-glucarate degradation I","pmoA","Heartwood"
"GLUCARGALACTSUPER-PWY",NA,NA,NA,"superpathway of D-glucarate and D-galactarate degradation","pmoA","Heartwood"
"GLUCONEO-PWY",NA,NA,NA,"gluconeogenesis I","pmoA","Heartwood"
"GLUCOSE1PMETAB-PWY",NA,NA,NA,"glucose and glucose-1-phosphate degradation","pmoA","Heartwood"
"GLUCUROCAT-PWY",NA,NA,NA,"superpathway of &beta;-D-glucuronide and D-glucuronate degradation","pmoA","Heartwood"
"GLUTORN-PWY",NA,NA,NA,"L-ornithine biosynthesis","pmoA","Heartwood"
"GLYCOCAT-PWY",NA,NA,NA,"glycogen degradation I (bacterial)","pmoA","Heartwood"
"GLYCOGENSYNTH-PWY",NA,NA,NA,"glycogen biosynthesis I (from ADP-D-Glucose)","pmoA","Heartwood"
"GLYCOL-GLYOXDEG-PWY",NA,NA,NA,"superpathway of glycol metabolism and degradation","pmoA","Heartwood"
"GLYCOLYSIS",NA,NA,NA,"glycolysis I (from glucose 6-phosphate)","pmoA","Heartwood"
"GLYCOLYSIS-E-D",NA,NA,NA,"superpathway of glycolysis and Entner-Doudoroff","pmoA","Heartwood"
"GLYCOLYSIS-TCA-GLYOX-BYPASS",NA,NA,NA,"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass","pmoA","Heartwood"
"GLYOXYLATE-BYPASS",NA,NA,NA,"glyoxylate cycle","pmoA","Heartwood"
"GOLPDLCAT-PWY",NA,NA,NA,"superpathway of glycerol degradation to 1,3-propanediol","pmoA","Heartwood"
"HCAMHPDEG-PWY",NA,NA,NA,"3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate","pmoA","Heartwood"
"HEME-BIOSYNTHESIS-II",NA,NA,NA,"heme biosynthesis I (aerobic)","pmoA","Heartwood"
"HEMESYN2-PWY",NA,NA,NA,"heme biosynthesis II (anaerobic)","pmoA","Heartwood"
"HEXITOLDEGSUPER-PWY",NA,NA,NA,"superpathway of hexitol degradation (bacteria)","pmoA","Heartwood"
"HISDEG-PWY",NA,NA,NA,"L-histidine degradation I","pmoA","Heartwood"
"HISTSYN-PWY",NA,NA,NA,"L-histidine biosynthesis","pmoA","Heartwood"
"HOMOSER-METSYN-PWY",NA,NA,NA,"L-methionine biosynthesis I","pmoA","Heartwood"
