"compartment","taxon_subset","gene_metric","rho","p","sig"
"Heartwood","All methanotrophs","pmoA",0.0383215114889398,0.676448441716658,""
"Heartwood","All methanotrophs","mmoX",0.0162986205331561,0.859166226045164,""
"Heartwood","All methanotrophs","pmoA + mmoX",0.0783574441385371,0.392939031941595,""
"Heartwood","All methanotrophs","% pmoA",0.00592112831881714,0.948823434581315,""
"Heartwood","Known only","pmoA",-0.0906532712421771,0.322725249449731,""
"Heartwood","Known only","mmoX",-0.0561357406499796,0.540824880326263,""
"Heartwood","Known only","pmoA + mmoX",-0.124259979186326,0.174482412556156,""
"Heartwood","Known only","% pmoA",-0.0444472498589455,0.629779472116878,""
"Heartwood","Putative only","pmoA",0.0722071197786626,0.43124567186885,""
"Heartwood","Putative only","mmoX",0.0308872202362192,0.736634863320799,""
"Heartwood","Putative only","pmoA + mmoX",0.10935589864776,0.232472772791398,""
"Heartwood","Putative only","% pmoA",0.027239922865128,0.767741877956161,""
"Heartwood","Methylococcaceae","pmoA",NA,NA,""
"Heartwood","Methylococcaceae","mmoX",NA,NA,""
"Heartwood","Methylococcaceae","pmoA + mmoX",NA,NA,""
"Heartwood","Methylococcaceae","% pmoA",NA,NA,""
"Heartwood","Methylomonadaceae","pmoA",NA,NA,""
"Heartwood","Methylomonadaceae","mmoX",NA,NA,""
"Heartwood","Methylomonadaceae","pmoA + mmoX",NA,NA,""
"Heartwood","Methylomonadaceae","% pmoA",NA,NA,""
"Heartwood","Methylothermaceae","pmoA",NA,NA,""
"Heartwood","Methylothermaceae","mmoX",NA,NA,""
"Heartwood","Methylothermaceae","pmoA + mmoX",NA,NA,""
"Heartwood","Methylothermaceae","% pmoA",NA,NA,""
"Heartwood","Methylacidiphilaceae","pmoA",-0.034662951600049,0.705840616823275,""
"Heartwood","Methylacidiphilaceae","mmoX",-0.0614086353810508,0.503421969403183,""
"Heartwood","Methylacidiphilaceae","pmoA + mmoX",-0.0866905085605675,0.344414529830724,""
"Heartwood","Methylacidiphilaceae","% pmoA",0.0212811894281441,0.817540271993675,""
"Heartwood","Methylocystaceae","pmoA",NA,NA,""
"Heartwood","Methylocystaceae","mmoX",NA,NA,""
"Heartwood","Methylocystaceae","pmoA + mmoX",NA,NA,""
"Heartwood","Methylocystaceae","% pmoA",NA,NA,""
"Heartwood","Beijerinckiaceae","pmoA",0.0558822443208675,0.542656975233514,""
"Heartwood","Beijerinckiaceae","mmoX",0.0405115342790607,0.659080911569313,""
"Heartwood","Beijerinckiaceae","pmoA + mmoX",0.102038674450933,0.265414636097033,""
"Heartwood","Beijerinckiaceae","% pmoA",0.0062301239614271,0.946156678533116,""
"Heartwood","Type I Gamma","pmoA",NA,NA,""
"Heartwood","Type I Gamma","mmoX",NA,NA,""
"Heartwood","Type I Gamma","pmoA + mmoX",NA,NA,""
"Heartwood","Type I Gamma","% pmoA",NA,NA,""
"Heartwood","Type II Alpha","pmoA",0.0558822443208675,0.542656975233514,""
"Heartwood","Type II Alpha","mmoX",0.0405115342790607,0.659080911569313,""
"Heartwood","Type II Alpha","pmoA + mmoX",0.102038674450933,0.265414636097033,""
"Heartwood","Type II Alpha","% pmoA",0.0062301239614271,0.946156678533116,""
"Heartwood","pMMO expected","pmoA",-0.034662951600049,0.705840616823275,""
"Heartwood","pMMO expected","mmoX",-0.0614086353810508,0.503421969403183,""
"Heartwood","pMMO expected","pmoA + mmoX",-0.0866905085605675,0.344414529830724,""
"Heartwood","pMMO expected","% pmoA",0.0212811894281441,0.817540271993675,""
"Heartwood","sMMO only  Methylocella Methyloferula ","pmoA",-0.0533085830670144,0.561428646319747,""
"Heartwood","sMMO only  Methylocella Methyloferula ","mmoX",0.115890986814391,0.205570960751301,""
"Heartwood","sMMO only  Methylocella Methyloferula ","pmoA + mmoX",-0.0100344927246584,0.913014971674307,""
