"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Heartwood","All methanotrophs","pmoA",0.150960364428218,0.0983687786442252,"","Estimated absolute abundance"
"Heartwood","All methanotrophs","mmoX",-0.0360554583566048,0.694599476774166,"","Estimated absolute abundance"
"Heartwood","All methanotrophs","pmoA + mmoX",0.14265891552406,0.118534516672192,"","Estimated absolute abundance"
"Heartwood","All methanotrophs","% pmoA",0.151268436457135,0.0991019337298642,"","Estimated absolute abundance"
"Heartwood","Known only","pmoA",-0.0301874539224432,0.742389927605886,"","Estimated absolute abundance"
"Heartwood","Known only","mmoX",-0.0399706425035681,0.663353944538316,"","Estimated absolute abundance"
"Heartwood","Known only","pmoA + mmoX",-0.0703656490071719,0.44311772412726,"","Estimated absolute abundance"
"Heartwood","Known only","% pmoA",0.0204261836354954,0.824750882612548,"","Estimated absolute abundance"
"Heartwood","Putative only","pmoA",0.155743902044658,0.0880405575608598,"","Estimated absolute abundance"
"Heartwood","Putative only","mmoX",-0.0220361761205966,0.810399273573513,"","Estimated absolute abundance"
"Heartwood","Putative only","pmoA + mmoX",0.148969434237517,0.102939405877401,"","Estimated absolute abundance"
"Heartwood","Putative only","% pmoA",0.145760604752033,0.112170881394651,"","Estimated absolute abundance"
"Heartwood","Methylococcaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylococcaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylococcaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylococcaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylomonadaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylomonadaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylomonadaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylomonadaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylothermaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylothermaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylothermaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylothermaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylacidiphilaceae","pmoA",0.0156112706421529,0.865048020270345,"","Estimated absolute abundance"
"Heartwood","Methylacidiphilaceae","mmoX",-0.0504167251793572,0.582884104122961,"","Estimated absolute abundance"
"Heartwood","Methylacidiphilaceae","pmoA + mmoX",-0.0420525505759905,0.646967403114862,"","Estimated absolute abundance"
"Heartwood","Methylacidiphilaceae","% pmoA",0.075698822094244,0.411225225521608,"","Estimated absolute abundance"
"Heartwood","Methylocystaceae","pmoA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylocystaceae","mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylocystaceae","pmoA + mmoX",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methylocystaceae","% pmoA",NA,NA,"","Estimated absolute abundance"
