"compartment","env_var","gene","n","rho","p","FDR"
"Heartwood","VWC","pmoA",120,0.0483048169409086,0.600334074612806,0.7475053711189
"Heartwood","VWC","mmoX",120,-0.0214565296742737,0.816063417049358,0.890251000417482
"Heartwood","VWC","mcrA",119,-0.120990270033209,0.189946484950369,0.396410055548596
"Heartwood","VWC","%pmoA",119,-0.0136413818248582,0.88293784229184,0.921326444130616
"Heartwood","ORP","pmoA",120,0.186090848952818,0.0418511056369828,0.143489505041084
"Heartwood","ORP","mmoX",120,0.0399542251761765,0.664819679496909,0.79329663689574
"Heartwood","ORP","mcrA",119,0.125370774644842,0.174284566562251,0.384482116707635
"Heartwood","ORP","%pmoA",119,0.161380848446442,0.0795355564273784,0.238606669282135
"Heartwood","Soil temp","pmoA",120,0.0473785671695273,0.607348114034106,0.7475053711189
"Heartwood","Soil temp","mmoX",120,-0.0362664694012672,0.694134557283772,0.79329663689574
"Heartwood","Soil temp","mcrA",119,0.0736828435676585,0.425808834080977,0.681294134529563
"Heartwood","Soil temp","%pmoA",119,0.0594724171199617,0.520555998597623,0.7475053711189
"Sapwood","VWC","pmoA",130,-0.0354373128314861,0.68895697546111,0.79329663689574
"Sapwood","VWC","mmoX",130,0.0491233532629756,0.578882231811116,0.7475053711189
"Sapwood","VWC","mcrA",128,0.0666630564580978,0.454677337678724,0.682016006518086
"Sapwood","VWC","%pmoA",130,-0.0670673336331385,0.448358819817259,0.682016006518086
"Sapwood","ORP","pmoA",130,-0.140894770716899,0.109838625757922,0.27748705454633
"Sapwood","ORP","mmoX",130,0.0526877124449898,0.551613485587213,0.7475053711189
"Sapwood","ORP","mcrA",128,0.00319862839791902,0.971415169960938,0.971415169960938
"Sapwood","ORP","%pmoA",130,-0.136595851045113,0.121222351300877,0.290933643122105
"Sapwood","Soil temp","pmoA",130,-0.10368935907248,0.240399126049212,0.461566322014488
"Sapwood","Soil temp","mmoX",130,0.0142422633878796,0.872229993432361,0.921326444130616
"Sapwood","Soil temp","mcrA",128,-0.0473523573333173,0.595575917612522,0.7475053711189
"Sapwood","Soil temp","%pmoA",130,-0.087775391581535,0.320687620878412,0.530793303522889
"Mineral Soil","VWC","pmoA",113,0.392584306112859,1.70179213247357e-05,0.000204215055896828
"Mineral Soil","VWC","mmoX",113,0.370377147422972,5.39169282745878e-05,0.000431335426196702
"Mineral Soil","VWC","mcrA",112,0.363022804472882,8.35969143147723e-05,0.000573235983872725
"Mineral Soil","VWC","%pmoA",113,-0.292028295415957,0.00169816637966934,0.00741018056582983
"Mineral Soil","ORP","pmoA",113,-0.0971671199641031,0.305910269995628,0.52441760570679
"Mineral Soil","ORP","mmoX",113,-0.292345568124824,0.00167761448808652,0.00741018056582983
"Mineral Soil","ORP","mcrA",112,-0.158045882268956,0.096049700214647,0.260417541359494
"Mineral Soil","ORP","%pmoA",113,0.321156773222676,0.000523691613649411,0.00314214968189646
"Mineral Soil","Soil temp","pmoA",113,0.292434999548109,0.00167186232832343,0.00741018056582983
"Mineral Soil","Soil temp","mmoX",113,0.104255094562266,0.271801918452444,0.490701065209049
"Mineral Soil","Soil temp","mcrA",112,-0.171289336119289,0.0709511068291876,0.2270435418534
"Mineral Soil","Soil temp","%pmoA",113,0.255101810016836,0.0063934524649248,0.0255738098596992
"Organic Soil","VWC","pmoA",117,0.37317498080175,3.4147105752735e-05,0.000327812215226256
"Organic Soil","VWC","mmoX",117,0.490302156120557,2.0086547580787e-08,9.64154283877778e-07
"Organic Soil","VWC","mcrA",116,0.395400439123999,1.11867832513001e-05,0.000178988532020802
"Organic Soil","VWC","%pmoA",117,-0.476657362834209,5.55132088410102e-08,1.33231701218424e-06
"Organic Soil","ORP","pmoA",117,-0.153865751020078,0.0976565780098104,0.260417541359494
"Organic Soil","ORP","mmoX",117,-0.215829413542201,0.0194338363173793,0.0717557033257082
"Organic Soil","ORP","mcrA",116,-0.101979904555519,0.27601934918009,0.490701065209049
"Organic Soil","ORP","%pmoA",117,0.109608132943178,0.239430195299696,0.461566322014488
"Organic Soil","Soil temp","pmoA",117,0.125890635509244,0.176220970157666,0.384482116707635
"Organic Soil","Soil temp","mmoX",117,-0.0101321034145012,0.913661313316787,0.933100915727782
"Organic Soil","Soil temp","mcrA",116,-0.0546875785727837,0.559852148544084,0.7475053711189
"Organic Soil","Soil temp","%pmoA",117,0.0249293210120845,0.789624582621464,0.881441394554192
