"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Heartwood","All methanogens","mcrA",0.605089598737627,1.56147291067006e-13,"***","Estimated absolute abundance"
"Heartwood","Methanobacteriaceae","mcrA",0.580356361966319,2.44984790009618e-12,"***","Estimated absolute abundance"
"Heartwood","Methanomassiliicoccaceae","mcrA",0.514883523036067,1.29981526755587e-09,"***","Estimated absolute abundance"
"Heartwood","Methanoregulaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methanocellaceae","mcrA",0.250076276114159,0.00546893848107185,"**","Estimated absolute abundance"
"Heartwood","Methanosaetaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methanomicrobiaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methanosarcinaceae","mcrA",-0.0599232174208435,0.51204970265501,"","Estimated absolute abundance"
"Heartwood","Methanomethyliaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Methanocorpusculaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Heartwood","Hydrogenotrophic","mcrA",0.580356361966319,2.44984790009618e-12,"***","Estimated absolute abundance"
"Heartwood","Acetoclastic","mcrA",-0.0599232174208435,0.51204970265501,"","Estimated absolute abundance"
"Heartwood","Methylotrophic methyl reducing","mcrA",0.514883523036067,1.29981526755587e-09,"***","Estimated absolute abundance"
"Sapwood","All methanogens","mcrA",0.288675434844754,0.00256571665062112,"**","Estimated absolute abundance"
"Sapwood","Methanobacteriaceae","mcrA",0.28227277390242,0.00322217973177851,"**","Estimated absolute abundance"
"Sapwood","Methanomassiliicoccaceae","mcrA",0.127179378484549,0.191753386311679,"","Estimated absolute abundance"
"Sapwood","Methanoregulaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methanocellaceae","mcrA",-0.0544191967008828,0.577720393860491,"","Estimated absolute abundance"
"Sapwood","Methanosaetaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methanomicrobiaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methanosarcinaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methanomethyliaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methanocorpusculaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Hydrogenotrophic","mcrA",0.28227277390242,0.00322217973177851,"**","Estimated absolute abundance"
"Sapwood","Acetoclastic","mcrA",NA,NA,"","Estimated absolute abundance"
"Sapwood","Methylotrophic methyl reducing","mcrA",0.127179378484549,0.191753386311679,"","Estimated absolute abundance"
"Mineral Soil","All methanogens","mcrA",0.42522043684362,1.95520464224753e-06,"***","Estimated absolute abundance"
"Mineral Soil","Methanobacteriaceae","mcrA",0.362511499234808,6.36132824331041e-05,"***","Estimated absolute abundance"
"Mineral Soil","Methanomassiliicoccaceae","mcrA",0.156405799522482,0.0936140103351521,"","Estimated absolute abundance"
"Mineral Soil","Methanoregulaceae","mcrA",0.325709930819749,0.000359969950004286,"***","Estimated absolute abundance"
"Mineral Soil","Methanocellaceae","mcrA",0.394147053710729,1.1994395378129e-05,"***","Estimated absolute abundance"
"Mineral Soil","Methanosaetaceae","mcrA",0.22831777398962,0.0136983167118834,"*","Estimated absolute abundance"
"Mineral Soil","Methanomicrobiaceae","mcrA",0.156405799522482,0.0936140103351521,"","Estimated absolute abundance"
"Mineral Soil","Methanosarcinaceae","mcrA",0.279918340970842,0.00234043103900489,"**","Estimated absolute abundance"
"Mineral Soil","Methanomethyliaceae","mcrA",0.156405799522482,0.0936140103351521,"","Estimated absolute abundance"
"Mineral Soil","Methanocorpusculaceae","mcrA",0.150666137154684,0.106444995110431,"","Estimated absolute abundance"
"Mineral Soil","Hydrogenotrophic","mcrA",0.395416697739809,1.11766517783663e-05,"***","Estimated absolute abundance"
"Mineral Soil","Acetoclastic","mcrA",0.322852606301592,0.000408209922083235,"***","Estimated absolute abundance"
"Mineral Soil","Methylotrophic methyl reducing","mcrA",0.156405799522482,0.0936140103351521,"","Estimated absolute abundance"
"Organic Soil","All methanogens","mcrA",0.400339642936814,5.88264467373397e-06,"***","Estimated absolute abundance"
"Organic Soil","Methanobacteriaceae","mcrA",0.329819406673791,0.000234460984957087,"***","Estimated absolute abundance"
"Organic Soil","Methanomassiliicoccaceae","mcrA",0.230578643312632,0.0112877361899088,"*","Estimated absolute abundance"
"Organic Soil","Methanoregulaceae","mcrA",0.222793041593713,0.0144509388567253,"*","Estimated absolute abundance"
"Organic Soil","Methanocellaceae","mcrA",0.32609837318275,0.000278284440591515,"***","Estimated absolute abundance"
"Organic Soil","Methanosaetaceae","mcrA",0.320546666089559,0.000357905317911672,"***","Estimated absolute abundance"
"Organic Soil","Methanomicrobiaceae","mcrA",0.154058592629528,0.0929557071411609,"","Estimated absolute abundance"
"Organic Soil","Methanosarcinaceae","mcrA",0.162386084123016,0.0763925147318707,"","Estimated absolute abundance"
"Organic Soil","Methanomethyliaceae","mcrA",0.216830650403907,0.0173704101039059,"*","Estimated absolute abundance"
"Organic Soil","Methanocorpusculaceae","mcrA",NA,NA,"","Estimated absolute abundance"
"Organic Soil","Hydrogenotrophic","mcrA",0.397484346748521,6.94747683468804e-06,"***","Estimated absolute abundance"
"Organic Soil","Acetoclastic","mcrA",0.320546666089559,0.000357905317911672,"***","Estimated absolute abundance"
"Organic Soil","Methylotrophic methyl reducing","mcrA",0.319199732934038,0.000380160934437982,"***","Estimated absolute abundance"
