"compartment","taxon_subset","gene_metric","rho","p","sig","abundance_type"
"Heartwood","All methanogens","mcrA",0.603287653753682,1.92368495893617e-13,"***","Relative abundance (%)"
"Heartwood","Methanobacteriaceae","mcrA",0.57799650514407,3.14784322903484e-12,"***","Relative abundance (%)"
"Heartwood","Methanomassiliicoccaceae","mcrA",0.51258767600321,1.58205415469059e-09,"***","Relative abundance (%)"
"Heartwood","Methanoregulaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Heartwood","Methanocellaceae","mcrA",0.250076276114159,0.00546893848107185,"**","Relative abundance (%)"
"Heartwood","Methanosaetaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Heartwood","Methanomicrobiaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Heartwood","Methanosarcinaceae","mcrA",-0.0597507765074022,0.513266891407399,"","Relative abundance (%)"
"Heartwood","Methanomethyliaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Heartwood","Methanocorpusculaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Heartwood","Hydrogenotrophic","mcrA",0.57799650514407,3.14784322903484e-12,"***","Relative abundance (%)"
"Heartwood","Acetoclastic","mcrA",-0.0597507765074022,0.513266891407399,"","Relative abundance (%)"
"Heartwood","Methylotrophic methyl reducing","mcrA",0.51258767600321,1.58205415469059e-09,"***","Relative abundance (%)"
"Sapwood","All methanogens","mcrA",0.287987385254523,0.00262996412355795,"**","Relative abundance (%)"
"Sapwood","Methanobacteriaceae","mcrA",0.275214262504746,0.00411741623872487,"**","Relative abundance (%)"
"Sapwood","Methanomassiliicoccaceae","mcrA",0.127097573566998,0.192041653564433,"","Relative abundance (%)"
"Sapwood","Methanoregulaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methanocellaceae","mcrA",-0.0544191967008828,0.577720393860491,"","Relative abundance (%)"
"Sapwood","Methanosaetaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methanomicrobiaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methanosarcinaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methanomethyliaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methanocorpusculaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Hydrogenotrophic","mcrA",0.275214262504746,0.00411741623872487,"**","Relative abundance (%)"
"Sapwood","Acetoclastic","mcrA",NA,NA,"","Relative abundance (%)"
"Sapwood","Methylotrophic methyl reducing","mcrA",0.127097573566998,0.192041653564433,"","Relative abundance (%)"
"Mineral Soil","All methanogens","mcrA",0.425239634154539,1.95290369701293e-06,"***","Relative abundance (%)"
"Mineral Soil","Methanobacteriaceae","mcrA",0.362534015476997,6.35416335802504e-05,"***","Relative abundance (%)"
"Mineral Soil","Methanomassiliicoccaceae","mcrA",0.156405799522482,0.0936140103351521,"","Relative abundance (%)"
"Mineral Soil","Methanoregulaceae","mcrA",0.325734995069908,0.000359571101458434,"***","Relative abundance (%)"
"Mineral Soil","Methanocellaceae","mcrA",0.394085119855651,1.20356921939298e-05,"***","Relative abundance (%)"
"Mineral Soil","Methanosaetaceae","mcrA",0.22831777398962,0.0136983167118834,"*","Relative abundance (%)"
"Mineral Soil","Methanomicrobiaceae","mcrA",0.156405799522482,0.0936140103351521,"","Relative abundance (%)"
"Mineral Soil","Methanosarcinaceae","mcrA",0.280026316513846,0.0023309347764208,"**","Relative abundance (%)"
"Mineral Soil","Methanomethyliaceae","mcrA",0.156405799522482,0.0936140103351521,"","Relative abundance (%)"
"Mineral Soil","Methanocorpusculaceae","mcrA",0.150666137154684,0.106444995110431,"","Relative abundance (%)"
"Mineral Soil","Hydrogenotrophic","mcrA",0.395437342358168,1.11637996449872e-05,"***","Relative abundance (%)"
"Mineral Soil","Acetoclastic","mcrA",0.32282121951942,0.000408771439812467,"***","Relative abundance (%)"
"Mineral Soil","Methylotrophic methyl reducing","mcrA",0.156405799522482,0.0936140103351521,"","Relative abundance (%)"
"Organic Soil","All methanogens","mcrA",0.400307740186107,5.8936402542801e-06,"***","Relative abundance (%)"
"Organic Soil","Methanobacteriaceae","mcrA",0.329765605454715,0.00023504625526361,"***","Relative abundance (%)"
"Organic Soil","Methanomassiliicoccaceae","mcrA",0.230578643312632,0.0112877361899088,"*","Relative abundance (%)"
"Organic Soil","Methanoregulaceae","mcrA",0.222793041593713,0.0144509388567253,"*","Relative abundance (%)"
"Organic Soil","Methanocellaceae","mcrA",0.326028098409418,0.000279180623753232,"***","Relative abundance (%)"
"Organic Soil","Methanosaetaceae","mcrA",0.32042954146734,0.000359791744361013,"***","Relative abundance (%)"
"Organic Soil","Methanomicrobiaceae","mcrA",0.154058592629528,0.0929557071411609,"","Relative abundance (%)"
"Organic Soil","Methanosarcinaceae","mcrA",0.162386084123016,0.0763925147318707,"","Relative abundance (%)"
"Organic Soil","Methanomethyliaceae","mcrA",0.216830650403907,0.0173704101039059,"*","Relative abundance (%)"
"Organic Soil","Methanocorpusculaceae","mcrA",NA,NA,"","Relative abundance (%)"
"Organic Soil","Hydrogenotrophic","mcrA",0.399509509508426,6.17516244560126e-06,"***","Relative abundance (%)"
"Organic Soil","Acetoclastic","mcrA",0.32042954146734,0.000359791744361013,"***","Relative abundance (%)"
"Organic Soil","Methylotrophic methyl reducing","mcrA",0.319199732934038,0.000380160934437982,"***","Relative abundance (%)"
