"Campaign","Location","Species","Status","n","DBH cm (mean +/- sd)"
"2020-2021 monthly","Intermediate","Acer rubrum","Live",3,"40.8 +/- 5.5"
"2020-2021 monthly","Intermediate","Betula alleghaniensis","Live",1,"37.0"
"2020-2021 monthly","Intermediate","Betula lenta","Dead",1,"29.4"
"2020-2021 monthly","Intermediate","Betula lenta","Live",2,"34.9 +/- 1.6"
"2020-2021 monthly","Intermediate","Pinus strobus","Live",1,"59.3"
"2020-2021 monthly","Intermediate","Tsuga canadensis","Dead",2,"35.1 +/- 7.6"
"2020-2021 monthly","Intermediate","Tsuga canadensis","Live",2,"40.4 +/- 4.0"
"2020-2021 monthly","Upland","Acer rubrum","Dead",1,"32.9"
"2020-2021 monthly","Upland","Acer rubrum","Live",5,"31.0 +/- 2.5"
"2020-2021 monthly","Upland","Betula lenta","Live",4,"37.9 +/- 6.9"
"2020-2021 monthly","Upland","Pinus strobus","Live",2,"54.8 +/- 6.6"
"2020-2021 monthly","Upland","Quercus alba","Live",1,"35.0"
"2020-2021 monthly","Upland","Quercus rubra","Dead",1,"35.5"
"2020-2021 monthly","Upland","Quercus rubra","Live",7,"47.9 +/- 7.1"
"2020-2021 monthly","Upland","Tsuga canadensis","Live",2,"47.6 +/- 1.6"
"2020-2021 monthly","Wetland","Acer rubrum","Dead",1,"34.1"
"2020-2021 monthly","Wetland","Acer rubrum","Live",5,"37.8 +/- 4.2"
"2020-2021 monthly","Wetland","Betula alleghaniensis","Dead",1,"32.2"
"2020-2021 monthly","Wetland","Betula alleghaniensis","Live",3,"27.7 +/- 3.8"
"2020-2021 monthly","Wetland","Fraxinus americana","Dead",1,"30.3"
"2020-2021 monthly","Wetland","Fraxinus americana","Live",1,"34.0"
"2020-2021 monthly","Wetland","Tsuga canadensis","Live",1,"39.0"
"2021 summer (height)","adjacent to inventory plot","Acer rubrum","Live",15,"29.7 +/- 7.2"
"2021 summer (height)","adjacent to inventory plot","Acer saccharum","Live",9,"29.0 +/- 5.7"
"2021 summer (height)","adjacent to inventory plot","Betula alleghaniensis","Live",14,"24.3 +/- 3.8"
"2021 summer (height)","adjacent to inventory plot","Betula lenta","Live",18,"28.3 +/- 4.1"
"2021 summer (height)","adjacent to inventory plot","Betula papyrifera","Live",6,"28.9 +/- 4.9"
"2021 summer (height)","adjacent to inventory plot","Carya ovata","Live",1,"28.0"
"2021 summer (height)","adjacent to inventory plot","Fagus grandifolia","Live",14,"28.8 +/- 8.3"
"2021 summer (height)","adjacent to inventory plot","Fraxinus americana","Live",12,"35.6 +/- 9.4"
"2021 summer (height)","adjacent to inventory plot","Kalmia latifolia","Live",4,"5.0 +/- 1.7"
"2021 summer (height)","adjacent to inventory plot","Pinus strobus","Live",19,"46.7 +/- 13.2"
"2021 summer (height)","adjacent to inventory plot","Prunus serotina","Live",3,"36.2 +/- 11.2"
"2021 summer (height)","adjacent to inventory plot","Quercus alba","Live",1,"36.5"
"2021 summer (height)","adjacent to inventory plot","Quercus rubra","Dead",1,"44.5"
"2021 summer (height)","adjacent to inventory plot","Quercus rubra","Live",14,"38.4 +/- 6.7"
"2021 summer (height)","adjacent to inventory plot","Quercus velutina","Live",1,"25.0"
"2021 summer (height)","adjacent to inventory plot","Sassafras albidum","Live",1,"26.0"
"2021 summer (height)","adjacent to inventory plot","Tsuga canadensis","Live",17,"36.3 +/- 11.7"
"2023 cross-species","in inventory plot","Acer rubrum","Live",54,"28.4 +/- 9.9"
"2023 cross-species","in inventory plot","Acer saccharum","Live",6,"25.0 +/- 13.0"
"2023 cross-species","in inventory plot","Betula alleghaniensis","Live",15,"29.0 +/- 6.0"
"2023 cross-species","in inventory plot","Betula lenta","Live",43,"28.0 +/- 9.0"
"2023 cross-species","in inventory plot","Betula papyrifera","Live",4,"26.0 +/- 8.3"
"2023 cross-species","in inventory plot","Betula sp.","Live",2,"38.6 +/- 7.8"
"2023 cross-species","in inventory plot","Carya sp.","Live",1,"50.4"
"2023 cross-species","in inventory plot","Fraxinus americana","Live",20,"33.3 +/- 10.3"
"2023 cross-species","in inventory plot","Pinus strobus","Live",36,"50.8 +/- 19.0"
"2023 cross-species","in inventory plot","Prunus serotina","Live",2,"32.2 +/- 7.1"
"2023 cross-species","in inventory plot","Quercus alba","Live",6,"34.2 +/- 11.6"
"2023 cross-species","in inventory plot","Quercus rubra","Live",40,"44.2 +/- 6.9"
"2023 cross-species","in inventory plot","Quercus velutina","Live",3,"50.7 +/- 16.8"
"2023 cross-species","in inventory plot","Tsuga canadensis","Live",104,"32.2 +/- 11.6"
