"category","trait_label","response","n","rho","p"
"Structure","Wood density","mcrA (methanogen)",10,0.115151515151515,0.758833070490857
"Structure","Wood density","Methanotroph",10,-0.648484848484848,0.0490426316833764
"Structure","Wood density","Balance (mcrA:MOB)",10,0.6,0.0731198750392827
"Structure","Wood density","Stem CH4 flux",10,0.418181818181818,0.232418098250503
"Structure","Bark density","mcrA (methanogen)",9,0.166666666666667,0.677744708994709
"Structure","Bark density","Methanotroph",9,-0.733333333333333,0.0311232363315697
"Structure","Bark density","Balance (mcrA:MOB)",9,0.733333333333333,0.0311232363315697
"Structure","Bark density","Stem CH4 flux",9,0.633333333333333,0.0760361552028219
"Structure","Bark:wood ratio","mcrA (methanogen)",9,0.2,0.613403880070547
"Structure","Bark:wood ratio","Methanotroph",9,-0.0833333333333333,0.843182319223986
"Structure","Bark:wood ratio","Balance (mcrA:MOB)",9,0.233333333333333,0.551708553791887
"Structure","Bark:wood ratio","Stem CH4 flux",9,0.5,0.177662037037037
"Structure","Wood porosity","mcrA (methanogen)",10,-0.440385506050544,0.202750555511042
"Structure","Wood porosity","Methanotroph",10,-0.330289129537908,0.351286465947497
"Structure","Wood porosity","Balance (mcrA:MOB)",10,0.110096376512636,0.762062229048775
"Structure","Wood porosity","Stem CH4 flux",10,0.055048188256318,0.879946327971484
"Structure","Gymnosperm","mcrA (methanogen)",10,0.174077655955698,0.630536075556976
"Structure","Gymnosperm","Methanotroph",10,0.348155311911396,0.324204183553433
"Structure","Gymnosperm","Balance (mcrA:MOB)",10,-0.261116483933547,0.466185283504031
"Structure","Gymnosperm","Stem CH4 flux",10,-0.522232967867094,0.121502918817113
"Chemistry","Sapwood pH","mcrA (methanogen)",10,-0.477084298221423,0.163234711355641
"Chemistry","Sapwood pH","Methanotroph",10,0.0366987921708787,0.919829424122262
"Chemistry","Sapwood pH","Balance (mcrA:MOB)",10,-0.379220852432413,0.279809070938306
"Chemistry","Sapwood pH","Stem CH4 flux",10,-0.134562237959889,0.71091733208345
"Chemistry","Heartwood pH","mcrA (methanogen)",10,-0.153864363724166,0.671277393340076
"Chemistry","Heartwood pH","Methanotroph",10,-0.0246182981958665,0.946180098725265
"Chemistry","Heartwood pH","Balance (mcrA:MOB)",10,-0.153864363724166,0.671277393340076
"Chemistry","Heartwood pH","Stem CH4 flux",10,0.313883301997299,0.377122831482475
"Chemistry","Wood C:N","mcrA (methanogen)",8,0.333333333333333,0.427876984126984
"Chemistry","Wood C:N","Methanotroph",8,-0.238095238095238,0.582142857142857
"Chemistry","Wood C:N","Balance (mcrA:MOB)",8,0.357142857142857,0.389384920634921
"Chemistry","Wood C:N","Stem CH4 flux",8,-0.0476190476190476,0.934871031746032
"Chemistry","Stem C","mcrA (methanogen)",9,0.133333333333333,0.743540564373898
"Chemistry","Stem C","Methanotroph",9,0.466666666666667,0.212522045855379
"Chemistry","Stem C","Balance (mcrA:MOB)",9,-0.25,0.520634920634921
"Chemistry","Stem C","Stem CH4 flux",9,-0.35,0.358581349206349
"Chemistry","Antifungal chem.","mcrA (methanogen)",10,0.522232967867094,0.121502918817113
"Chemistry","Antifungal chem.","Methanotroph",10,-0.29012942659283,0.416120253507059
"Chemistry","Antifungal chem.","Balance (mcrA:MOB)",10,0.522232967867094,0.121502918817113
"Chemistry","Antifungal chem.","Stem CH4 flux",10,0.522232967867094,0.121502918817113
"Chemistry","CWD decomp rate","mcrA (methanogen)",9,-0.284521318976946,0.458068843705731
"Chemistry","CWD decomp rate","Methanotroph",9,0.569042637953892,0.109804000209182
"Chemistry","CWD decomp rate","Balance (mcrA:MOB)",9,-0.577410912041449,0.103506884832988
"Chemistry","CWD decomp rate","Stem CH4 flux",9,0.0334730963502289,0.93187280621366
"Roots","Rooting depth","mcrA (methanogen)",10,0.127272727272727,0.732886836413125
"Roots","Rooting depth","Methanotroph",10,0.36969696969697,0.295604089197811
"Roots","Rooting depth","Balance (mcrA:MOB)",10,-0.212121212121212,0.559908079271241
"Roots","Rooting depth","Stem CH4 flux",10,-0.187878787878788,0.607566897460635
"Roots","Fine-root diameter","mcrA (methanogen)",10,-0.163636363636364,0.656721421523199
"Roots","Fine-root diameter","Methanotroph",10,-0.0909090909090909,0.811416953056796
"Roots","Fine-root diameter","Balance (mcrA:MOB)",10,0.0666666666666667,0.864753528804526
"Roots","Fine-root diameter","Stem CH4 flux",10,0.00606060606060606,1
"Roots","Fine-root tissue density","mcrA (methanogen)",9,-0.283333333333333,0.462990520282187
"Roots","Fine-root tissue density","Methanotroph",9,-0.0666666666666667,0.880092592592593
"Roots","Fine-root tissue density","Balance (mcrA:MOB)",9,-0.0333333333333333,0.948390652557319
"Roots","Fine-root tissue density","Stem CH4 flux",9,-0.183333333333333,0.643639770723104
"Whole-plant","Plant height","mcrA (methanogen)",10,-0.0666666666666667,0.864753528804526
"Whole-plant","Plant height","Methanotroph",10,0.442424242424242,0.204200583289326
"Whole-plant","Plant height","Balance (mcrA:MOB)",10,-0.418181818181818,0.232418098250503
"Whole-plant","Plant height","Stem CH4 flux",10,-0.721212121212121,0.0241945875284697
"Whole-plant","Plant longevity","mcrA (methanogen)",10,0.272727272727273,0.448272158936988
"Whole-plant","Plant longevity","Methanotroph",10,-0.636363636363636,0.0544450679375418
"Whole-plant","Plant longevity","Balance (mcrA:MOB)",10,0.672727272727273,0.0393814092829061
"Whole-plant","Plant longevity","Stem CH4 flux",10,0.0303030303030303,0.94570980835199
"Moisture","Realized soil moisture (VWC)","mcrA (methanogen)",10,0.721212121212121,0.0241945875284697
"Moisture","Realized soil moisture (VWC)","Methanotroph",10,0.00606060606060606,1
"Moisture","Realized soil moisture (VWC)","Balance (mcrA:MOB)",10,0.151515151515151,0.681807643477163
"Moisture","Realized soil moisture (VWC)","Stem CH4 flux",10,-0.0181818181818182,0.972841176143636
