"PC","response","rho","p"
"PC1","Stem CH4 flux",0.442424242424242,0.204200583289326
"PC1","mcrA:MOB balance",0.103030303030303,0.785018103976205
"PC1","mcrA (methanogen)",-0.272727272727273,0.448272158936988
"PC1","Methanotroph",-0.309090909090909,0.387054968154447
"PC2","Stem CH4 flux",-0.0545454545454545,0.891638843953117
"PC2","mcrA:MOB balance",-0.36969696969697,0.295604089197812
"PC2","mcrA (methanogen)",-0.0424242424242424,0.918633282432669
"PC2","Methanotroph",0.321212121212121,0.367683999158498
"PC3","Stem CH4 flux",-0.357575757575757,0.312800267381167
"PC3","mcrA:MOB balance",-0.684848484848485,0.0350915379341638
"PC3","mcrA (methanogen)",-0.539393939393939,0.113298067042129
"PC3","Methanotroph",0.527272727272727,0.12280318761783
