"trait","PC1","PC2","PC3","var_explained_note"
"WoodDens",0.367777387341324,-0.197460852515648,-0.141216996966131,""
"BarkDens",0.340113403591341,0.0383248656657216,-0.372678017965895,""
"Bark:Wood",0.079768843142307,0.316699738580312,-0.390827105220737,""
"Porosity",0.318127046391643,-0.208539971597041,0.154259042020214,""
"Gymnosperm",-0.421925496084358,0.0677135031316234,-0.00690897828277795,""
"SapwoodpH",0.21049206153965,0.26334165922032,0.347079929295441,""
"HeartwoodpH",0.212436434494553,0.176594255918792,0.248486199066109,""
"WoodC:N",-0.331581726438504,0.144450537129828,-0.105869227095289,""
"Antifungal",0.0616897987767529,-0.334574400691876,-0.332296461154394,""
"DecompRate",0.13077522876472,0.430230060056332,0.0521848356193027,""
"RootDepth",-0.118657174905691,-0.264437516741512,0.312075577087694,""
"FineRootDiam",-0.0762915383622707,-0.480512145138674,0.290537253642016,""
"Height",-0.39253990869432,0.128899077169319,-0.0177894692918269,""
"Longevity",-0.262759696146227,-0.129838611382408,-0.254744212205044,""
"RealizedVWC",0.0123739362922436,-0.241737961800964,-0.333171044956622,""
