"classification","family","display_taxon","level","n_ASVs","mean_relabund_pct","source","note"
"Methanogen","Methanobacteriaceae","Methanobacterium","Genus",132,0.7775,NA,NA
"Methanogen","Methanomassiliicoccaceae","Methanomassiliicoccus","Genus",46,0.1926,NA,NA
"Methanogen","Methanoregulaceae","Methanoregula","Genus",23,0.0155,NA,NA
"Methanogen","Methanocellaceae","Rice Cluster I","Genus",24,0.0153,NA,NA
"Methanogen","Methanosaetaceae","Methanosaeta","Genus",21,0.0122,NA,NA
"Methanogen","Methanosarcinaceae","Methanosarcina","Genus",13,0.0061,NA,NA
"Methanogen","Methanocellaceae","Methanocella","Genus",12,0.0046,NA,NA
"Methanogen","Methanomicrobiaceae","none","Genus",6,0.0046,NA,NA
"Methanogen","Methanomassiliicoccaceae","none","Genus",7,0.0022,NA,NA
"Methanogen","Methanocellaceae","none","Genus",2,7e-04,NA,NA
"Methanogen","Methanomethyliaceae","none","Genus",3,5e-04,NA,NA
"Methanogen","Methanobacteriaceae","Methanobrevibacter","Genus",2,2e-04,NA,NA
"Methanogen","Methanobacteriaceae","Methanosphaera","Genus",1,2e-04,NA,NA
"Methanogen","Methanocorpusculaceae","Methanocorpusculum","Genus",1,2e-04,NA,NA
"Methanotroph_Known","Beijerinckiaceae","Methylocapsa","Genus",46,0.1915,"Knief 2015","Cultivated Beijerinckiaceae methanotroph genus in Knief Table 1 (some species facultative)."
"Methanotroph_Known","Beijerinckiaceae","Methylocella","Genus",13,0.0067,"Knief 2015","Cultivated Beijerinckiaceae methanotroph genus in Knief Table 1; notable for facultative lifestyle and often lacks pMMO (pmoA), which is why pmoA surveys can miss it."
"Methanotroph_Known","Methylomonadaceae","none","Genus",10,0.0047,NA,NA
"Methanotroph_Known","Methylomonadaceae","Crenothrix","Genus",2,0.0013,"Knief 2015 + SILVA 138 audit","SILVA 138 reports genus as 'Crenothrix' (without Candidatus prefix) under Methylomonadaceae. Methanotrophic but lacks cultivated type strain; treat as putative."
"Methanotroph_Known","Methylomonadaceae","Methylobacter","Genus",1,7e-04,"Knief 2015","Cultivated Methylococcaceae methanotroph genus in Knief Table 2."
"Methanotroph_Known","Methylomonadaceae","pLW-20","Genus",2,6e-04,NA,NA
"Methanotroph_Known","Beijerinckiaceae","Methyloferula","Genus",1,2e-04,"Knief 2015","Cultivated Beijerinckiaceae methanotroph genus in Knief Table 1; also lacks pMMO (pmoA) per Knief discussion."
"Methanotroph_Known","Methylococcaceae","Methylomagnum","Genus",1,1e-04,"Knief 2015","Cultivated Methylococcaceae methanotroph genus in Knief Table 2."
"Methanotroph_Known","Methylomonadaceae","Methyloglobulus","Genus",1,1e-04,"Knief 2015","Cultivated Methylococcaceae methanotroph genus in Knief Table 2."
"Methanotroph_Putative","Beijerinckiaceae","Roseiarcus","Genus",217,0.8441,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","1174-901-12","Genus",252,0.4391,NA,NA
"Methanotroph_Putative","Methylacidiphilaceae","none","Genus",388,0.3747,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","none","Genus",273,0.2578,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Methylobacterium-Methylorubrum","Genus",99,0.1139,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Psychroglaciecola","Genus",24,0.0188,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Methylovirgula","Genus",21,0.0184,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Bosea","Genus",12,0.0078,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Microvirga","Genus",13,0.0065,NA,NA
"Methanotroph_Putative","Methylomirabilaceae","Sh765B-TzT-35","Genus",9,0.0046,NA,NA
"Methanotroph_Putative","Methylomirabilaceae","Candidatus Methylomirabilis","Genus",8,0.0045,"Knief 2015","Included by Knief as anaerobic nitrite-dependent methanotroph (Table 3). Mark as 'known' only if your scope includes anaerobic methanotrophy; otherwise treat as putative/habitat-dependent."
"Methanotroph_Putative","Beijerinckiaceae","Methylorosula","Genus",4,0.0027,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","FFCH5858","Genus",2,5e-04,NA,NA
"Methanotroph_Putative","Methylomirabilaceae","none","Genus",1,3e-04,NA,NA
"Methanotroph_Putative","Beijerinckiaceae","Rhodoblastus","Genus",1,2e-04,NA,NA
