"Campaign","Location","Species","n","DBH cm (mean +/- sd)"
"2020-2021 monthly","Intermediate","Acer rubrum",3,"40.8 +/- 5.5"
"2020-2021 monthly","Intermediate","Betula alleghaniensis",1,"37.0"
"2020-2021 monthly","Intermediate","Betula lenta",3,"33.1 +/- 3.4"
"2020-2021 monthly","Intermediate","Pinus strobus",1,"59.3"
"2020-2021 monthly","Intermediate","Tsuga canadensis",4,"37.8 +/- 5.8"
"2020-2021 monthly","Upland","Acer rubrum",6,"31.3 +/- 2.4"
"2020-2021 monthly","Upland","Betula lenta",4,"37.8 +/- 7.0"
"2020-2021 monthly","Upland","Pinus strobus",2,"54.8 +/- 6.6"
"2020-2021 monthly","Upland","Quercus alba",1,"35.0"
"2020-2021 monthly","Upland","Quercus rubra",8,"46.1 +/- 7.6"
"2020-2021 monthly","Upland","Tsuga canadensis",2,"47.6 +/- 1.6"
"2020-2021 monthly","Wetland","Acer rubrum",6,"37.2 +/- 4.0"
"2020-2021 monthly","Wetland","Betula alleghaniensis",4,"28.8 +/- 3.9"
"2020-2021 monthly","Wetland","Fraxinus americana",2,"32.1 +/- 2.6"
"2020-2021 monthly","Wetland","Tsuga canadensis",1,"39.0"
"2021 summer (height)","adjacent to inventory plot","Acer rubrum",23,"30.8 +/- 7.0"
"2021 summer (height)","adjacent to inventory plot","Acer saccharum",16,"30.1 +/- 5.6"
"2021 summer (height)","adjacent to inventory plot","Betula alleghaniensis",19,"24.1 +/- 3.8"
"2021 summer (height)","adjacent to inventory plot","Betula lenta",23,"28.9 +/- 4.4"
"2021 summer (height)","adjacent to inventory plot","Betula papyrifera",6,"31.3 +/- 5.0"
"2021 summer (height)","adjacent to inventory plot","Carya ovata",1,"28.0"
"2021 summer (height)","adjacent to inventory plot","Fagus grandifolia",15,"28.8 +/- 7.8"
"2021 summer (height)","adjacent to inventory plot","Fraxinus americana",21,"33.0 +/- 8.7"
"2021 summer (height)","adjacent to inventory plot","Kalmia latifolia",4,"5.4 +/- 1.6"
"2021 summer (height)","adjacent to inventory plot","Pinus strobus",27,"47.2 +/- 16.4"
"2021 summer (height)","adjacent to inventory plot","Prunus serotina",4,"35.6 +/- 9.2"
"2021 summer (height)","adjacent to inventory plot","Quercus alba",2,"38.8 +/- 3.2"
"2021 summer (height)","adjacent to inventory plot","Quercus rubra",23,"39.4 +/- 6.5"
"2021 summer (height)","adjacent to inventory plot","Quercus velutina",2,"31.5 +/- 9.2"
"2021 summer (height)","adjacent to inventory plot","Sassafras albidum",1,"26.0"
"2021 summer (height)","adjacent to inventory plot","Tsuga canadensis",27,"37.0 +/- 10.3"
"2023 cross-species","in inventory plot","Acer rubrum",63,"28.3 +/- 10.0"
"2023 cross-species","in inventory plot","Acer saccharum",11,"25.1 +/- 10.6"
"2023 cross-species","in inventory plot","Betula alleghaniensis",23,"27.1 +/- 6.3"
"2023 cross-species","in inventory plot","Betula lenta",53,"28.1 +/- 8.4"
"2023 cross-species","in inventory plot","Betula papyrifera",4,"26.0 +/- 8.3"
"2023 cross-species","in inventory plot","Betula populifolia",2,"38.6 +/- 7.8"
"2023 cross-species","in inventory plot","CALA",1,"50.4"
"2023 cross-species","in inventory plot","Fraxinus americana",35,"39.7 +/- 21.4"
"2023 cross-species","in inventory plot","Pinus strobus",40,"50.1 +/- 19.0"
"2023 cross-species","in inventory plot","Prunus serotina",2,"32.2 +/- 7.1"
"2023 cross-species","in inventory plot","Quercus alba",8,"36.2 +/- 12.2"
"2023 cross-species","in inventory plot","Quercus rubra",39,"44.9 +/- 7.1"
"2023 cross-species","in inventory plot","Quercus velutina",4,"46.6 +/- 15.9"
"2023 cross-species","in inventory plot","Tsuga canadensis",114,"32.3 +/- 11.4"
