"species_code","n_stems","dbh_mean_mm"
"PIST",2896,4.96637871458191
"KALA",1945,2.05568123393316
"TSCA",1020,28.6091176470588
"BELE",817,5.59179926560588
"ACRU",218,25.305069124424
"QURU",98,44.7948979591837
"BEAL",67,61.0358208955224
"ACSA",61,19.3803278688525
NA,23,12.6652173913043
"QUVE",18,40.0333333333333
"FAGR",16,16.66875
"PRSE",13,28.4769230769231
"QUAL",12,29.3416666666667
"BEPA",6,24.8166666666667
"FRAM",6,25.3333333333333
"HAVI",3,6.8
"VACO",3,1.36666666666667
"LITU",2,43.55
"ACPE",1,14.5
