"species","group","landscape_position","n","dbh_mean","dbh_sd","dbh_summary"
"Acer rubrum","Angiosperm","Lowland",19,31.8055555555556,6.53978522962897,"31.8 +/- 6.5"
"Acer rubrum","Angiosperm","Ridge",5,27.06,8.11837422148055,"27.1 +/- 8.1"
"Acer saccharum","Angiosperm","Ridge",1,41,NA,"41.0"
"Betula alleghaniensis","Angiosperm","Lowland",19,23.7222222222222,3.49462706174115,"23.7 +/- 3.5"
"Betula lenta","Angiosperm","Lowland",4,30.625,2.86865241300975,"30.6 +/- 2.9"
"Betula lenta","Angiosperm","Ridge",13,29.1538461538462,3.6019937499056,"29.2 +/- 3.6"
"Betula papyrifera","Angiosperm","Lowland",6,31.3,4.99599839871872,"31.3 +/- 5.0"
"Fagus grandifolia","Angiosperm","Lowland",13,30.5416666666667,7.64394690211963,"30.5 +/- 7.6"
"Fagus grandifolia","Angiosperm","Ridge",3,21.6666666666667,2.88675134594813,"21.7 +/- 2.9"
"Kalmia latifolia","Angiosperm","Lowland",3,5.03333333333333,1.70391705588427,"5.0 +/- 1.7"
"Kalmia latifolia","Angiosperm","Ridge",1,6.5,NA,"6.5"
"Prunus serotina","Angiosperm","Lowland",3,37.1666666666667,10.610529361598,"37.2 +/- 10.6"
"Prunus serotina","Angiosperm","Ridge",1,31,NA,"31.0"
"Quercus alba","Angiosperm","Lowland",2,38.75,3.18198051533946,"38.8 +/- 3.2"
"Quercus rubra","Angiosperm","Lowland",16,39.8375,6.47949329294609,"39.8 +/- 6.5"
"Quercus rubra","Angiosperm","Ridge",7,38.2857142857143,7.03477755427243,"38.3 +/- 7.0"
"Quercus velutina","Angiosperm","Lowland",2,31.5,9.19238815542512,"31.5 +/- 9.2"
"Pinus strobus","Gymnosperm","Lowland",14,46.9857142857143,14.5907166029983,"47.0 +/- 14.6"
"Pinus strobus","Gymnosperm","Ridge",6,40.6666666666667,11.1430097669645,"40.7 +/- 11.1"
"Tsuga canadensis","Gymnosperm","Lowland",15,37.1,7.29040465269247,"37.1 +/- 7.3"
"Tsuga canadensis","Gymnosperm","Ridge",5,33.9,17.7426040929735,"33.9 +/- 17.7"
