"species","group","Lowland","Ridge"
"Acer rubrum","Angiosperm","n=19, DBH 31.8 +/- 6.5","n=5, DBH 27.1 +/- 8.1"
"Acer saccharum","Angiosperm",NA,"n=1, DBH 41.0"
"Betula alleghaniensis","Angiosperm","n=19, DBH 23.7 +/- 3.5",NA
"Betula lenta","Angiosperm","n=4, DBH 30.6 +/- 2.9","n=13, DBH 29.2 +/- 3.6"
"Betula papyrifera","Angiosperm","n=6, DBH 31.3 +/- 5.0",NA
"Fagus grandifolia","Angiosperm","n=13, DBH 30.5 +/- 7.6","n=3, DBH 21.7 +/- 2.9"
"Kalmia latifolia","Angiosperm","n=3, DBH 5.0 +/- 1.7","n=1, DBH 6.5"
"Prunus serotina","Angiosperm","n=3, DBH 37.2 +/- 10.6","n=1, DBH 31.0"
"Quercus alba","Angiosperm","n=2, DBH 38.8 +/- 3.2",NA
"Quercus rubra","Angiosperm","n=16, DBH 39.8 +/- 6.5","n=7, DBH 38.3 +/- 7.0"
"Quercus velutina","Angiosperm","n=2, DBH 31.5 +/- 9.2",NA
"Pinus strobus","Gymnosperm","n=14, DBH 47.0 +/- 14.6","n=6, DBH 40.7 +/- 11.1"
"Tsuga canadensis","Gymnosperm","n=15, DBH 37.1 +/- 7.3","n=5, DBH 33.9 +/- 17.7"
