month,alpha_t,beta_t,R2_t,n_points
1,NA,NA,NA,0
2,0.26081352904673866,0.4879982290526317,0.20646510530602113,48
3,0.25372649538113706,0.5355034184018768,0.1924526668499551,56
4,0.18887932353769016,0.5199867138697014,0.16154871227881243,63
5,0.08217044166341902,0.6566364786218786,0.3807774444324227,39
6,0.10255948881580167,1.0433217336959464,0.16662140446537263,66
7,0.16299219518520486,0.5890882300257185,0.15556452568464463,54
8,0.06448114504075245,0.4181446497582766,0.07827925791867724,68
9,0.06336437828476528,0.22989316984373814,0.04287200175591961,71
10,0.1479667961801474,0.5104590261697907,0.2185028806981803,20
11,0.07400000000000001,-1.9023978189606288e-17,0.48603251123116553,19
12,0.16005605516844496,0.6989402610432759,0.21832832897634447,61
