month,Phi_tree_umol_m2_s,Phi_soil_umol_m2_s,Phi_plot_umol_m2_s,Phi_tree_mg_m2_d,Phi_soil_mg_m2_d,Phi_plot_mg_m2_d
1,2.6185542161017326e-6,-0.00169120968406753,-0.0016885911298514284,0.003619889348339035,-2.3379282672549535,-2.3343083779066145
2,1.964188418414387e-6,-0.0016301001148381225,-0.001628135926419708,0.0027152940696160486,-2.253450398752221,-2.2507351046826045
3,1.9724599252125663e-6,-0.001659327348060573,-0.0016573548881353604,0.0027267286006138515,-2.2938541259589362,-2.291127397358322
4,1.8193941440422191e-6,-0.0016969832437065116,-0.0016951638495624694,0.0025151304647239637,-2.3459096360998815,-2.3433945056351577
5,1.7435630548497207e-6,-0.0016959239051961268,-0.001694180342141277,0.002410301567024254,-2.3444452065431256,-2.3420349049761016
6,1.41833161221391e-6,-0.0016791109906921715,-0.0016776926590799577,0.0019607016207245096,-2.321203033532858,-2.3192423319121334
7,4.086052032644036e-6,-0.00179417808812204,-0.001790092036089396,0.005648558329927116,-2.480271789019908,-2.474623230689981
8,3.4976829301716183e-6,-0.0019466897054466875,-0.0019431920225165158,0.004835196882669245,-2.691103848809501,-2.6862686519268313
9,2.934549343317126e-6,-0.002059190639043424,-0.002056256089700107,0.004056721012201595,-2.8466251394136295,-2.842568418401428
10,2.3384853099687072e-6,-0.001877865074066945,-0.001875526588756976,0.003232722092500741,-2.5959606783901443,-2.5927279562976437
11,3.5417032606086905e-6,-0.0019799627351319007,-0.001976421031871292,0.004896050587465454,-2.73710048504634,-2.732204434458874
12,1.8719139532868013e-6,-0.0018076973615909018,-0.001805825447637615,0.0025877338490236743,-2.4989608326632626,-2.4963730988142387
