month,SI,group
1,-7.311257407024989e-7,tree
2,-7.173153850000888e-7,tree
3,-7.242047474990236e-7,tree
4,-7.522133487950195e-7,tree
5,-7.989341662216159e-7,tree
6,-8.567998337245126e-7,tree
7,-9.070293832255769e-7,tree
8,-9.330422274461931e-7,tree
9,-9.156792610625544e-7,tree
10,-8.646903982788588e-7,tree
11,-8.094952565814132e-7,tree
12,-7.659971365695179e-7,tree
1,-2.803749599376716e-5,soil
2,-2.7128556979806232e-5,soil
3,-2.604404984640972e-5,soil
4,-2.502185872461404e-5,soil
5,-2.42642310160389e-5,soil
6,-2.3947641144245526e-5,soil
7,-2.4070841591749508e-5,soil
8,-2.4472904182542297e-5,soil
9,-2.5108471972587543e-5,soil
10,-2.5676187013669093e-5,soil
11,-2.5882420244433084e-5,soil
12,-2.5528250814155324e-5,soil
