"family","p","t","FDR"
"Methanobacteriaceae",2.6212248424513e-46,18.9118584319422,2.6212248424513e-44
"Methanomassiliicoccaceae",1.65084600688277e-12,7.47093582820393,8.25423003441386e-11
"Eggerthellaceae",3.58072576272167e-11,6.95453435115932,1.19357525424056e-09
"Christensenellaceae",6.14134970058774e-06,4.59637444054098,0.000146340025934667
"Ethanoligenenaceae",7.31700129673337e-06,4.5564548563585,0.000146340025934667
"Dysgonomonadaceae",3.21212025370889e-05,4.21079489393713,0.000535353375618148
"Mitochondria",0.000374097786729518,-3.59305806204874,0.00534425409613597
"Lachnospiraceae",0.00596905441624597,2.75654032661028,0.0678160061914882
"Hungateiclostridiaceae",0.00610344055723393,2.74388887838448,0.0678160061914882
"Spirosomaceae",0.0273809057943322,-2.20575016960232,0.273809057943322
"JG30-KF-CM45",0.0615072391669081,-1.8587124177112,0.516091468710104
"Sphingomonadaceae",0.0619309762452125,-1.85978211444613,0.516091468710104
"Phaselicystidaceae",0.0682470322496878,1.81314703510076,0.524977171151444
"Gemmataceae",0.0761567756849347,-1.76192613361118,0.543976969178105
"Methylacidiphilaceae",0.0953996593296733,-1.65654903380451,0.57453307213017
"Rhizobiaceae",0.102646950616695,-1.62342516938995,0.57453307213017
"Blastocatellaceae",0.108476836307936,-1.59358478044754,0.57453307213017
"Gemmatimonadaceae",0.11767588460617,-1.55912166642208,0.57453307213017
"Chitinophagaceae",0.121271966160778,-1.53911058822953,0.57453307213017
"Propionibacteriaceae",0.132571798363882,1.49620322163491,0.57453307213017
"Pseudonocardiaceae",0.132916621175605,-1.52817927527872,0.57453307213017
"Ilumatobacteraceae",0.133618776084672,-1.50308688765105,0.57453307213017
"Erysipelotrichaceae",0.140901063155844,1.46137499904298,0.57453307213017
"Pirellulaceae",0.142451175704613,-1.45770135013094,0.57453307213017
"Bryobacteraceae",0.143633268032542,-1.45272103824565,0.57453307213017
"Vicinamibacteraceae",0.153332355404082,-1.41711173244035,0.589739828477239
"WD2101 soil group",0.159682411217334,-1.39487668692923,0.591416337841976
"BIrii41",0.174529664750421,-1.36521172741846,0.591863130618582
"Bdellovibrionaceae",0.177427627231379,-1.33939839834497,0.591863130618582
"LWQ8",0.177558939185575,-1.33861690161733,0.591863130618582
"SM2D12",0.183785264052489,-1.40385012036345,0.5928556904919
"Chthoniobacteraceae",0.193077240436335,-1.29064860255355,0.603366376363547
"67-14",0.208430403810575,-1.24803777463523,0.631607284274471
"Devosiaceae",0.235218821903045,-1.17778030684558,0.675790253330176
"Geminicoccaceae",0.248865524984392,-1.16894956743449,0.675790253330176
