"family","p","t","FDR","mean_pct"
"Acidobacteriaceae (Subgroup 1)",0.00145471986867083,3.21882145540048,0.132379508049045,0.0231277222437602
"Solibacteraceae",0.011812692165275,2.52326329905993,0.436696225697252,0.00481225012689971
"Polyangiaceae",0.01918374307928,2.34763808226719,0.436696225697252,0.00423328623274064
"A4b",0.0191954384921869,-2.48239985626822,0.436696225697252,0.000983674787529636
"Pectobacteriaceae",0.0412418103127385,2.03580513211641,0.482611392094182,0.041335692920361
"Tepidisphaeraceae",0.049926640429282,1.95241597116526,0.482611392094182,0.000637599114746409
"Chthoniobacteraceae",0.0499358173385521,1.96914605311321,0.482611392094182,0.00778900397746498
"Burkholderiaceae",0.0518397935656231,-1.93234149016401,0.482611392094182,0.143032537179266
"67-14",0.0525749686794581,-1.92528258468665,0.482611392094182,0.00911372750333822
"Bryobacteraceae",0.0557065371418716,1.89979551754634,0.482611392094182,0.0134785566813909
"Acetobacteraceae",0.0583376408025935,1.88233794393975,0.482611392094182,0.0827138976637914
"Pseudonocardiaceae",0.0731555248528893,-1.78609513326608,0.55476273013441,0.0146249302248632
"Beijerinckiaceae",0.0916698142992382,1.6739605810563,0.602265126400938,0.0391652350795807
"Vicinamibacteraceae",0.0926561732924521,-1.66794318065397,0.602265126400938,0.00125597926523373
"Sphingobacteriaceae",0.103454408930749,1.61656848344307,0.616081017515389,0.00546069150102019
"WD2101 soil group",0.116479899488584,1.5575703105659,0.616081017515389,0.00767436089863426
"Enterobacteriaceae",0.118542781904642,-1.58672263825853,0.616081017515389,0.00841684311669463
"Caulobacteraceae",0.121862179288758,1.53310026353524,0.616081017515389,0.0116116935456087
"Isosphaeraceae",0.145534082928873,1.44219587803042,0.632750413900968,0.0318385566202178
"Chthonomonadaceae",0.151702354405501,1.42057975583874,0.632750413900968,0.00265562465804606
"Phaselicystidaceae",0.151748198057976,1.42076811297804,0.632750413900968,0.000659073241161134
"JG30-KF-CM45",0.152972627536498,-1.41760282118389,0.632750413900968,0.00366998806708025
"Methanomassiliicoccaceae",0.166418685894911,-1.38207362972323,0.657912849484867,0.00748947469925236
"Propionibacteriaceae",0.173515476787218,1.34954066722329,0.657912849484867,0.00994591743257809
"Sporomusaceae",0.207167167733957,1.25396531398615,0.710701493915665,0.00854095097013701
"SM2D12",0.213055668589406,1.23249020737321,0.710701493915665,0.000402550697794439
"Sphingomonadaceae",0.221018370765787,-1.21142188727013,0.710701493915665,0.0185164755628464
"Diplorickettsiaceae",0.22200967069064,-1.20835793379246,0.710701493915665,0.000584275015185481
"Syntrophomonadaceae",0.231677185128714,1.18458322382612,0.710701493915665,0.00208995626333913
"Anaerovoracaceae",0.250707744548833,1.13965234488627,0.710701493915665,0.00477725368779211
"Chitinophagaceae",0.258947506549385,1.12374253340412,0.710701493915665,0.00970586059403947
"Pirellulaceae",0.262768314894608,-1.12116249819944,0.710701493915665,0.000995675846244072
"Devosiaceae",0.263964608054407,-1.13625582587642,0.710701493915665,0.00159508778807833
"Micromonosporaceae",0.2699203185329,-1.096349834815,0.710701493915665,0.00432828725613877
"Blastocatellaceae",0.278965890599169,1.07413150507082,0.710701493915665,0.000985165040946347
"Xanthomonadaceae",0.324689903118881,-1.01996337714842,0.710701493915665,0.00175286775995109
"Haliangiaceae",0.328915256930521,-0.968009364380192,0.710701493915665,0.00263365062832941
"Lachnospiraceae",0.329559820811616,-0.978929193805742,0.710701493915665,0.0455316134536234
"BIrii41",0.329575539948788,-0.964719964506024,0.710701493915665,0.00136754922984796
