"tree_id","species","x","y","dbh_m","BasalArea_m2","mean_flux_nmol","mean_flux_mg","mean_moisture"
1,"TSCA",-72.1286473224024,41.9904677049912,0.37,0.107521008569111,0.0291213405729749,0.0402573412080806,15.7471128583169
2,"TSCA",-72.1290876425057,41.9896464622676,0.082,0.00528101725068444,0.0294497290310016,0.0407113054124566,22.8232784942977
3,"TSCA",-72.1292421111091,41.9891140188631,0.102,0.00817128249198705,0.0286359975356864,0.0395864029933329,21.1023716573272
4,"TSCA",-72.1297067247635,41.9905227668897,0.276,0.059828490494964,0.028644498215316,0.0395981543328528,21.0454941366047
5,"TSCA",-72.1298632689535,41.9905467706651,0.089,0.00622113885227119,0.0289585003058856,0.0400322308228563,21.3060552347841
6,"PIST",-72.1288928701836,41.9903172134004,0.272,0.0581068977207968,0.0379666643586695,0.0524851168094247,32.6891031772545
8,"TSCA",-72.1286662317141,41.990112051401,0.242,0.0459960580412082,0.0283469843574043,0.0391868711756757,17.7162237121171
9,"TSCA",-72.1283782931968,41.9901359134085,0.159,0.0198556509688509,0.0284339548677829,0.0393070992092231,17.0119793847688
10,"TSCA",-72.130245953149,41.9906290193719,0.188,0.0277591126871194,0.0364763875542806,0.0504249581550375,29.2994087318086
11,"BEAL",-72.1296085239478,41.9896891007364,0.268,0.0564104376878583,0.0312508933888055,0.0432012350206847,24.8127956797546
12,"BELE",-72.1287662228933,41.9902481510711,0.013,0.000132732289614169,0.0287046907574089,0.039681364503042,15.4943302331155
13,"BELE",-72.1303563233913,41.9909360245322,0.034,0.00090792027688745,0.0329370468631205,0.0455321735835778,NA
14,"PIST",-72.1286903704513,41.9891625074849,0.018,0.000254469004940773,0.0329370468631205,0.0455321735835778,NA
15,"PIST",-72.1292684496068,41.9896595410258,0.018,0.000254469004940773,0.0280493613946968,0.0387754371920288,17.374114457538
16,"PIST",-72.1307939465264,41.9896539209796,0.017,0.000226980069221863,0.0391300567184448,0.0540933904075781,43.9592937407041
17,"PIST",-72.1296820312745,41.9907713498479,0.012,0.000113097335529233,0.0286359975356864,0.0395864029933329,21.1183869536046
18,"TSCA",-72.1307274989664,41.9899369210394,0.016,0.000201061929829747,0.0330863094092662,0.0457385141273696,26.1797815248744
19,"BELE",-72.1286781215354,41.9889500240558,0.012,0.000113097335529233,0.0329370468631205,0.0455321735835778,NA
20,"TSCA",-72.1289411663748,41.9892527726888,0.013,0.000132732289614169,0.0285658605405254,0.0394894456112223,15.5865305247955
21,"PIST",-72.1299028974633,41.9893047171684,0.012,0.000113097335529233,0.0295631536635262,0.0408681036244586,22.4352781804433
22,"PIST",-72.1287823681366,41.9895264331051,0.013,0.000132732289614169,0.028356809653287,0.0392004536647039,17.7613640649135
23,"PIST",-72.1301189823363,41.9906988218616,0.011,9.50331777710913e-05,0.032368385560567,0.0447460561989279,25.8401901823514
24,"PIST",-72.1296042896856,41.989416305991,0.015,0.000176714586764426,0.0281922646870162,0.0389729867033312,19.2386950525889
25,"BELE",-72.128570149187,41.9906853460434,0.01,7.85398163397448e-05,0.0329370468631205,0.0455321735835778,NA
26,"BELE",-72.1285033235394,41.990308421488,0.012,0.000113097335529233,0.0284203704431603,0.0392883201006248,16.9178249473472
27,"PIST",-72.1288851889428,41.9889637044542,0.017,0.000226980069221863,0.0329370468631205,0.0455321735835778,NA
28,"PIST",-72.1293206872707,41.9898748878127,0.01,7.85398163397448e-05,0.0295353500269795,0.0408296678772965,23.125915115531
29,"TSCA",-72.1288309994947,41.9895962059985,0.5,0.196349540849362,0.0281764086262147,0.0389510672848792,18.772092358756
30,"TSCA",-72.1303941604226,41.9894308410065,0.399,0.125036173011037,0.0282382841294551,0.0390366039805587,19.1507116611038
31,"TSCA",-72.129132713795,41.9894328086212,0.385,0.116415642769587,0.0280903457519096,0.0388320939674398,19.6432411590862
32,"TSCA",-72.1297088731359,41.9899591130829,0.594,0.277116746380502,0.0287991658915985,0.0398119669285458,21.0066886729779
33,"TSCA",-72.1285173098577,41.9901433007889,0.527,0.21812784652221,0.0280704233606595,0.0388045532537757,17.3985936475446
34,"TSCA",-72.1285902875876,41.9897697314864,0.466,0.170553923570736,0.0285342091359163,0.0394456907094907,20.6673614666298
35,"TSCA",-72.1303990102048,41.9904835559378,0.17,0.0226980069221863,0.0402932123337751,0.0557013367302107,37.8259460995513
36,"PIST",-72.1294563826491,41.9890694370191,0.574,0.258769845283538,0.0282382841294551,0.0390366039805587,19.1486848020746
37,"PIST",-72.1283512493848,41.9906292051751,0.013,0.000132732289614169,0.0329370468631205,0.0455321735835778,NA
38,"PIST",-72.1285016939225,41.9904773704294,0.011,9.50331777710913e-05,0.0286366933731332,0.0395873649190193,16.7841885818517
39,"BELE ",-72.1305838005388,41.9894147201637,0.013,0.000132732289614169,0.0327715346755526,0.0453033695354839,26.0074605300298
40,"PIST",-72.1293942127552,41.9890280022708,0.014,0.0001539380400259,0.0285202090715871,0.0394263370205621,20.7109377234498
41,"PIST",-72.1293550987005,41.9900400983757,0.016,0.000201061929829747,0.0282107095778977,0.0389984849204858,19.7333116010607
42,"PIST",-72.1299913000693,41.9907093409305,0.025,0.000490873852123405,0.0291235303280642,0.040260368325516,21.6410821653494
43,"PIST",-72.1303443649199,41.9903054375328,0.474,0.176460117759485,0.0341103417587097,0.0471541364472403,27.4991499397265
44,"TSCA",-72.1305092808124,41.9893577652991,0.107,0.00899202357273738,0.0294850341602113,0.0407601112230761,22.1214081993641
45,"PIST",-72.130305135365,41.9907455243785,0.698,0.38264912679989,0.0394287287194552,0.0545062745817748,33.7426820002111
46,"TSCA",-72.1294338869229,41.9890498796354,0.01,7.85398163397448e-05,0.0282822626672123,0.0390973999111544,20.0612936202664
47,"TSCA",-72.1290116378534,41.9904046076163,0.029,0.000660519855417254,0.0403209334123703,0.0557396583492607,38.0572526212587
48,"ACRU",-72.1287829060855,41.9902046535774,0.107,0.00899202357273738,0.028884710585681,0.0399302239136454,15.6774482146964
49,"PIST",-72.1298187130969,41.9895169994083,0.507,0.201885812503151,0.0291235303280642,0.040260368325516,21.6486620415461
50,"TSCA",-72.1285748889136,41.9889773307359,0.442,0.153438526793979,0.0329370468631205,0.0455321735835778,NA
51,"QURU",-72.1296809328931,41.9897668366218,0.539,0.22817465982839,0.0294850341602113,0.0407601112230761,22.0890978175303
52,"TSCA",-72.1297840766977,41.9894138010766,0.117,0.0107513154587477,0.0294466789932877,0.040707089040321,22.7529617355505
53,"QURU",-72.1297160726475,41.9903216810078,0.559,0.245422003496598,0.028258733175252,0.0390648727414684,20.0268726664698
54,"TSCA",-72.1301697575485,41.9891493761384,0.203,0.0323654729154455,0.0291653178443152,0.0403181353879813,21.9385354733795
55,"TSCA",-72.1305166194203,41.9895903508692,0.506,0.201090204163629,0.0367975893672215,0.050868987541247,29.6936693241394
56,"TSCA",-72.1288544255488,41.9904036271844,0.147,0.0169716689128555,0.0353393009042471,0.0488530495700312,28.2413104001613
57,"TSCA",-72.1289459631617,41.990478276077,0.266,0.0555716324493499,0.0398662603291833,0.055111118279063,40.865557018408
58,"TSCA",-72.128320673956,41.9906706451689,0.186,0.0271716348608981,0.0329370468631205,0.0455321735835778,NA
59,"TSCA",-72.1299933441012,41.9904311134519,0.381,0.114009182796937,0.0335814245733811,0.046422961330242,27.3248862535186
60,"QURU",-72.1298883171986,41.9891334268298,0.311,0.0759644957619646,0.0280837483296437,0.0388229736908994,19.6063932178461
61,"PIST",-72.1291788433733,41.9896213438553,0.012,0.000113097335529233,0.0285342091359163,0.0394456907094907,20.667815347964
62,"PIST",-72.1297288537482,41.9891899377033,0.011,9.50331777710913e-05,0.0281907396537201,0.0389708784973027,19.3475278195753
63,"PIST",-72.1287798920054,41.9898835640169,0.01,7.85398163397448e-05,0.0280346027048305,0.0387550347791576,17.6669692675341
64,"PIST",-72.1301606073028,41.9902842791155,0.014,0.0001539380400259,0.039826556832631,0.0550562321654291,34.6990265911859
65,"PIST",-72.1289439473177,41.9900769349392,0.014,0.0001539380400259,0.0282226019268261,0.0390149249036444,18.4081386352796
66,"BELE ",-72.129949686732,41.9903444100011,0.013,0.000132732289614169,0.0321630017620375,0.0444621336358406,25.200660024528
67,"BELE ",-72.1296149216751,41.990304248001,0.03,0.000706858347057703,0.0281741815811802,0.0389479886178235,19.4503245912408
68,"PIST",-72.1289875056993,41.9897421140196,0.019,0.000283528736986479,0.0294850341602113,0.0407601112230761,22.0981384584465
69,"PIST",-72.1304696612927,41.9895642060501,0.018,0.000254469004940773,0.0300524544646297,0.0415445130519041,23.4796582283442
70,"PIST",-72.1302614729154,41.9905976263428,0.012,0.000113097335529233,0.0361454181216712,0.0499674260113983,28.6326406525912
71,"PIST",-72.1297096877503,41.989188000149,0.013,0.000132732289614169,0.0281907396537201,0.0389708784973027,19.3475278195753
72,"PIST",-72.1301626888855,41.9905165089361,0.016,0.000201061929829747,0.0394423593699016,0.0545251175929519,33.2478320515296
73,"PIST",-72.1295254336845,41.9895400284216,0.02,0.000314159265358979,0.0288059618337856,0.0398213616390253,20.9229907613182
74,"BELE ",-72.1292792298124,41.9898506376078,0.013,0.000132732289614169,0.030025899230523,0.0415078030962749,23.4008282573847
75,"PIST",-72.1293277743732,41.9898420396312,0.011,9.50331777710913e-05,0.0301076093247661,0.0416207591305566,23.9453266282702
76,"PIST",-72.1302887329139,41.9897876380679,0.013,0.000132732289614169,0.0291093246993645,0.0402407304644015,21.6280979978542
77,"PIST",-72.1307022791897,41.9896062934446,0.016,0.000201061929829747,0.0402075905078981,0.0555829731181183,36.2714126953473
78,"BELE ",-72.130480083234,41.9902689158328,0.014,0.0001539380400259,0.0364374497419641,0.0503711305232912,28.8448148851478
79,"PIST",-72.1296676035572,41.9897216508966,0.012,0.000113097335529233,0.0298952350356632,0.0413271729133009,23.3293230256929
80,"PIST",-72.129416786877,41.9892615985624,0.019,0.000283528736986479,0.0282382841294551,0.0390366039805587,19.1673202606209
81,"PIST",-72.1289356354571,41.9898449763041,0.01,7.85398163397448e-05,0.0281245820487345,0.0388794222241705,19.5773553757052
82,"PIST",-72.1293674038779,41.9898565088575,0.01,7.85398163397448e-05,0.0300975783382022,0.0416068922947307,23.7848730882012
83,"BELE ",-72.1285855385018,41.9892768791756,0.011,9.50331777710913e-05,0.0329370468631205,0.0455321735835778,NA
84,"PIST",-72.1294374325238,41.989585906063,0.01,7.85398163397448e-05,0.028258733175252,0.0390648727414684,20.0143806766436
85,"PIST",-72.1291273184284,41.9898723355054,0.012,0.000113097335529233,0.029500389294086,0.0407813381601444,22.0179286010868
86,"BELE ",-72.1302898422171,41.9906471128993,0.014,0.0001539380400259,0.0372737193930148,0.0515271896889037,32.0757618025429
87,"BELE ",-72.1301449250202,41.9895481227899,0.011,9.50331777710913e-05,0.0282269559107389,0.0390209438510055,18.1111615832877
88,"PIST",-72.128672054048,41.9906703451382,0.901,0.637587014444212,0.0329370468631205,0.0455321735835778,NA
89,"BEAL",-72.1290163305285,41.989256949067,0.033,0.000855298599939821,0.028852087696703,0.0398851260319222,16.1489814155174
90,"BEPA",-72.1286266265387,41.9891549292574,0.143,0.0160606070433144,0.0329370468631205,0.0455321735835778,NA
91,"TSCA",-72.1302722057356,41.9901263219647,0.058,0.00264207942166902,0.0294589887307368,0.0407241060213705,22.8848642338153
92,"AMSP",-72.1290708667526,41.9897341979471,0.024,0.00045238934211693,0.0300521627867415,0.0415441098363915,23.5254963712196
93,"TSCA",-72.1286807898502,41.9900888229496,0.014,0.0001539380400259,0.0280704233606595,0.0388045532537757,17.4125375670638
94,"TSCA",-72.1300129597533,41.9905328452244,0.064,0.00321699087727595,0.0319912340422085,0.044224681939949,25.294956221601
95,"TSCA",-72.1301077899974,41.989651160892,0.03,0.000706858347057703,0.0282044763053168,0.0389898680444699,18.5073015329932
96,"TSCA",-72.1300656027951,41.989836553767,0.059,0.00273397100678652,0.0281624642867577,0.0389317906300139,17.335145993855
97,"TSCA",-72.129174549156,41.9901933049792,0.022,0.000380132711084365,0.0289628214557026,0.0400382043803633,21.3957212842681
98,"BEAL",-72.1299716575776,41.9907875533522,0.012,0.000113097335529233,0.0282269559107389,0.0390209438510055,18.1170400507634
99,"TSCA",-72.130107358789,41.9893182361549,0.026,0.000530929158456675,0.0282822626672123,0.0390973999111544,20.1386056693292
100,"PIST",-72.1302892889987,41.9900576767832,0.402,0.126923484797681,0.0289488044532905,0.0400188272762288,21.2056379333815
101,"TSCA",-72.1295839046907,41.9897348983291,0.388,0.118236981110505,0.0301818485302981,0.0417233874082841,24.1129004193702
103,"TSCA",-72.1303226062652,41.989338340398,0.065,0.00331830724035422,0.0280553737415014,0.0387837486602515,17.5822252345771
104,"TSCA",-72.130107573795,41.9899427384908,0.039,0.00119459060652752,0.0282278291536403,0.0390221510219924,18.9376272596418
105,"TSCA",-72.1285313895922,41.9902841251421,0.018,0.000254469004940773,0.0287353021267875,0.039723681660071,16.6789612371083
106,"TSCA",-72.1307282233654,41.9898048810329,0.013,0.000132732289614169,0.039814116511526,0.0550390346655335,35.4006316623376
107,"PIST",-72.1304890333145,41.9893661035782,0.013,0.000132732289614169,0.0294850341602113,0.0407601112230761,22.1171195097851
108,"PIST",-72.1300180177713,41.9903568497839,0.012,0.000113097335529233,0.0358375192458363,0.0495417866054441,28.5428442725192
109,"PIST",-72.1304713062242,41.9907685103214,0.014,0.0001539380400259,0.0387997266779947,0.0536367421596599,48.5686698239663
110,"PIST",-72.1290261015208,41.9900060782218,0.013,0.000132732289614169,0.0282382988306943,0.0390366243035518,18.218764600459
