"month","mean_flux_nmol","median_flux_nmol","pct_uptake","month_name"
2,-0.586006196758778,-0.51284067172298,100,"Feb"
4,-1.08436393622942,-1.28176753627658,100,"Apr"
5,-1.09478785676818,-1.29504358799647,97.1742898048376,"May"
6,-0.474006420694659,-0.816017623793945,68.5705674026072,"Jun"
7,-0.541882534259226,-0.677073948045531,83.5656695049356,"Jul"
8,-1.27351036011564,-1.56500840991201,94.6424534699721,"Aug"
9,-1.65133538882093,-1.77712500214808,100,"Sep"
10,-1.06015505459525,-1.16071849712963,100,"Oct"
11,-1.71003166888633,-1.71003166888633,100,"Nov"
12,-0.814266354873049,-0.874533359594685,100,"Dec"
