Date,Researcher Initials,Analyzer,Tree Tag,Species Code,Species,DBH (cm),Air Temp (°F),Soil Temp (°C),Stem Temp (°C),VWC 1 (%),VWC 2 (%),VWC 3 (%),Chamber ID,Flux Start (System) Time,Flux Start (Real) Time,Flux End (System) Time,Bark Missing,Visible fungus,Wounding/Holes,Moss/Lichen Cover,Water Table Above Ground,Species Specific Infections/Pests,Bole Damage (1-3),Notes,date_parts,month,day,year,date_clean,start_time_raw,start_time_clean,datetime_start,end_time_raw,end_time_clean,datetime_end,obs_length_seconds,UniqueID,air_temp_F,air_temp_C,stem_temp_C,vwc_1_raw,vwc_2_raw,vwc_3_raw,vwc_1,vwc_2,vwc_3,vwc_mean,analyzer_clean,chamber_series,surface_area_cm2,chamber_volume_cm3,analyzer_cell_volume_cm3,tubing_volume_cm3,filter_volume_cm3,total_system_volume_cm3,total_system_volume_L,start.time,Area,Vtot,Tcham,Pcham,obs.length
6/12/23,"NW, LG, PK, JG",LGR3,853,PIST,white pine,50.8,73,13,21.8,10.1,NA,NA,D8,11:54:45,NA,12:04:45,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,11:54:45,11:54:45,2023-06-12T11:54:45Z,12:04:45,12:04:45,2023-06-12T12:04:45Z,600,20230612_853_115445,73,22.77777777777778,21.8,10.1,NA,NA,10.1,NA,NA,10.1,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T11:54:45Z,462.19,2.388644,22.77777777777778,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,970,ACRU,red maple,29.1,73.9,13.1,21.7,7.2,NA,NA,D8,12:15:00,NA,12:25:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,12:15:00,12:15:00,2023-06-12T12:15:00Z,12:25:00,12:25:00,2023-06-12T12:25:00Z,600,20230612_970_121500,73.9,23.277777777777782,21.7,7.2,NA,NA,7.2,NA,NA,7.2,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T12:15:00Z,462.19,2.388644,23.277777777777782,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,8833,QURU,red oak,55.6,74.8,12.8,20.5,13.6,NA,NA,D8,12:38:00,NA,12:48:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,12:38:00,12:38:00,2023-06-12T12:38:00Z,12:48:00,12:48:00,2023-06-12T12:48:00Z,600,20230612_8833_123800,74.8,23.77777777777778,20.5,13.6,NA,NA,13.6,NA,NA,13.6,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T12:38:00Z,462.19,2.388644,23.77777777777778,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,7397,QURU,red oak,39.1,79,12.8,22.1,11.6,NA,NA,D8,12:53:00,NA,13:03:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,12:53:00,12:53:00,2023-06-12T12:53:00Z,13:03:00,13:03:00,2023-06-12T13:03:00Z,600,20230612_7397_125300,79,26.11111111111111,22.1,11.6,NA,NA,11.6,NA,NA,11.6,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T12:53:00Z,462.19,2.388644,26.11111111111111,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,"untagged, forked",BELE,black birch,39.5,77.6,12.5,21.8,9.2,NA,NA,D8,13:14:00,NA,13:24:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,13:14:00,13:14:00,2023-06-12T13:14:00Z,13:24:00,13:24:00,2023-06-12T13:24:00Z,600,"20230612_untagged, forked_131400",77.6,25.33333333333333,21.8,9.2,NA,NA,9.2,NA,NA,9.2,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T13:14:00Z,462.19,2.388644,25.33333333333333,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,8835,TSCA,hemlock,50.2,75.2,13,21.8,6.6,NA,NA,D8,13:37:00,NA,13:47:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,13:37:00,13:37:00,2023-06-12T13:37:00Z,13:47:00,13:47:00,2023-06-12T13:47:00Z,600,20230612_8835_133700,75.2,24,21.8,6.6,NA,NA,6.6,NA,NA,6.6,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T13:37:00Z,462.19,2.388644,24,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,4783,QURU,red oak,56.9,75.7,13.2,20.3,9.8,NA,NA,D8,14:01:00,NA,14:11:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,14:01:00,14:01:00,2023-06-12T14:01:00Z,14:11:00,14:11:00,2023-06-12T14:11:00Z,600,20230612_4783_140100,75.7,24.27777777777778,20.3,9.8,NA,NA,9.8,NA,NA,9.8,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T14:01:00Z,462.19,2.388644,24.27777777777778,101.325,600
6/12/23,"NW, LG, PK, JG",LGR3,1641,ACRU,red maple,41.9,76,13.1,20.7,30.9,NA,NA,D8,15:15:00,NA,15:18:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,15:15:00,15:15:00,2023-06-12T15:15:00Z,15:18:00,15:18:00,2023-06-12T15:18:00Z,180,20230612_1641_151500,76,24.444444444444443,20.7,30.9,NA,NA,30.9,NA,NA,30.9,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T15:15:00Z,462.19,2.388644,24.444444444444443,101.325,180
6/12/23,"NW, LG, PK, JG",LGR3,1830,ACRU,red maple (on edge of swamp and dry land),36.5,76,14,21.7,51.3,NA,NA,D8,15:24:45,NA,15:31:00,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,15:24:45,15:24:45,2023-06-12T15:24:45Z,15:31:00,15:31:00,2023-06-12T15:31:00Z,375,20230612_1830_152445,76,24.444444444444443,21.7,51.3,NA,NA,51.3,NA,NA,51.3,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T15:24:45Z,462.19,2.388644,24.444444444444443,101.325,375
6/12/23,"NW, LG, PK, JG",LGR3,1640,TSCA,hemlock,40.1,75.9,12.8,21.7,5.4,NA,NA,D8,15:45:45,NA,15:50:45,NA,NA,NA,NA,NA,NA,NA,NA,,6,12,2023,2023-06-12,15:45:45,15:45:45,2023-06-12T15:45:45Z,15:50:45,15:50:45,2023-06-12T15:50:45Z,300,20230612_1640_154545,75.9,24.388888888888893,21.7,5.4,NA,NA,5.4,NA,NA,5.4,LGR,D,462.19,2289.6440000000002,70,29,0,2388.6440000000002,2.388644,2023-06-12T15:45:45Z,462.19,2.388644,24.388888888888893,101.325,300
