Species,Height (cm),Component,Sample Name,Sample ID,Sample Mass Added to Tube (mg)
QUVE,50.0,Sapwood,50cm Sapwood 1+2,QUVE50SAP,101.5
QUVE,125.0,Sapwood,125cm Sapwood 1+2,QUVE125SAP,109.3
QUVE,200.0,Sapwood,200cm Sapwood 1+2,QUVE200SAP,104.3
QUVE,400.0,Sapwood,400cm Sapwood 1+2,QUVE400SAP,101.3
QUVE,600.0,Sapwood,600cm Sapwood 1+2,QUVE600SAP,97.2
QUVE,800.0,Sapwood,800cm Sapwood 1+2,QUVE800SAP,102.7
QUVE,1000.0,Sapwood,1000cm Sapwood 1+2,QUVE1000SAP,103.8
QUVE,50.0,Heartwood,50cm Heartwood 1,QUVE50HEART1,101.1
QUVE,125.0,Heartwood,125cm Heartwood 1,QUVE125HEART1,103.8
QUVE,200.0,Heartwood,200cm Heartwood 1,QUVE200HEART1,101.8
QUVE,400.0,Heartwood,400cm Heartwood 1,QUVE400HEART1,98
QUVE,600.0,Heartwood,600cm Heartwood 1,QUVE600HEART1,97.4
QUVE,800.0,Heartwood,800cm Heartwood 1,QUVE800HEART1,103.4
QUVE,1000.0,Heartwood,1000cm Heartwood 1,QUVE1000HEART1,106.7
QUVE,50.0,Heartwood,50cm Heartwood 2,QUVE50HEART2,99.9
QUVE,125.0,Heartwood,125cm Heartwood 2,QUVE125HEART2,111.1
QUVE,200.0,Heartwood,200cm Heartwood 2,QUVE200HEART2,107.8
QUVE,400.0,Heartwood,400cm Heartwood 2,QUVE400HEART2,107.5
QUVE,600.0,Heartwood,600cm Heartwood 2,QUVE600HEART2,101.2
QUVE,800.0,Heartwood,800cm Heartwood 2,QUVE800HEART2,103.9
QUVE,1000.0,Heartwood,1000cm Heartwood 2,QUVE1000HEART2,100.1
QUVE,50.0,Bark,50cm Bark 1,QUVE50BARK1,102.6
QUVE,125.0,Bark,125cm Bark 1,QUVE125BARK1,100
QUVE,200.0,Bark,200cm Bark 1,QUVE200BARK1,103.4
QUVE,400.0,Bark,400cm Bark 1,QUVE400BARK1,100.6
QUVE,600.0,Bark,600cm Bark 1,QUVE600BARK1,101.9
QUVE,800.0,Bark,800cm Bark 1,QUVE800BARK1,105.8
QUVE,1000.0,Bark,1000cm Bark 1,QUVE1000BARK1,104.4
QUVE,NA,Branch,Branch 1,QUVEBRANCH1,106.8
QUVE,NA,Branch,Branch 2,QUVEBRANCH2,100.7
QUVE,NA,Branch,Branch 3,QUVEBRANCH3,100
QUVE,NA,Branch,Branch 4-Bark,QUVEBRANCH4-BARK,102.4
QUVE,NA,Branch,Branch 4-Interior,QUVEBRANCH4-INT,102.6
QUVE,NA,Coarse Roots,Coarse Roots 1,QUVECOARSE1,101.2
QUVE,NA,Coarse Roots,Coarse Roots 2-Epiderm,QUVECOARSE2-EPI,101.5
QUVE,NA,Coarse Roots,Coarse Roots 2-Interior,QUVECOARSE2-INT,100.4
QUVE,NA,Coarse Roots,Coarse Roots 3,QUVECOARSE3,102.4
QUVE,NA,Coarse Roots,Coarse Roots 4,QUVECOARSE4,101
QUVE,NA,Fine Roots,Fine Roots 1,QUVEFINE1,100.4
QUVE,NA,Fine Roots,Fine Roots 2,QUVEFINE2,99.7
QUVE,NA,Fine Roots,Fine Roots 3,QUVEFINE3,101.3
QUVE,NA,Fine Roots,Fine Roots 4,QUVEFINE4,100.2
QUVE,NA,Foliage,Foliage 1,QUVEFOLIAGE1,111.3
QUVE,NA,Foliage,Foliage 2,QUVEFOLIAGE2,101.4
QUVE,NA,Foliage,Foliage 3,QUVEFOLIAGE3,101.5
QUVE,NA,Foliage,Foliage 4,QUVEFOLIAGE4,102.3
QUVE,NA,Heart Rot,Heart Rot 1,QUVEROT1,100.6
QUVE,NA,Heart Rot,Heart Rot 2,QUVEROT2,103
QUVE,NA,Leaf Litter,Leaf Litter 1,QUVELITTER1,101.2
QUVE,NA,Leaf Litter,Leaf Litter 2,QUVELITTER2,111
QUVE,NA,Leaf Litter,Leaf Litter 3,QUVELITTER3,100.4
QUVE,NA,Leaf Litter,Leaf Litter 4,QUVELITTER4,100
QUVE,NA,Mineral Soil,Mineral Soil 1,QUVEMINERAL1,252.1
QUVE,NA,Mineral Soil,Mineral Soil 2,QUVEMINERAL2,258.1
QUVE,NA,Mineral Soil,Mineral Soil 3,QUVEMINERAL3,256.9
QUVE,NA,Mineral Soil,Mineral Soil 4,QUVEMINERAL4,250.6
QUVE,NA,Organic Soil,Organic Soil 1,QUVEORGANIC1,250
QUVE,NA,Organic Soil,Organic Soil 2,QUVEORGANIC2,250
QUVE,NA,Organic Soil,Organic Soil 3,QUVEORGANIC3,255.3
QUVE,NA,Organic Soil,Organic Soil 4,QUVEORGANIC4,256.8
