"func","HW","SW","lr"
"chemoheterotrophy",43.55,49.57,-0.1867945399841
"aerobic_chemoheterotrophy",28.9,42.53,-0.557411362237722
"fermentation",16.77,6.65,1.33445644317579
"anaerobic_chemoheterotrophy",14.65,7.05,1.05520550202345
"dark_hydrogen_oxidation",3.61,1.16,1.6378740317596
"hydrogenotrophic_methanogenesis",3.21,0.1,5.00450139223494
"methanogenesis",3.21,0.1,5.00450139223494
"methanogenesis_by_CO2_reduction_with_H2",2.57,0.09,4.83569954775157
"animal_parasites_or_symbionts",1.13,1.27,-0.168505724356978
"methylotrophy",0.88,0.53,0.731511164074098
"cellulolysis",0.84,2.47,-1.55604980880592
"nitrate_reduction",0.84,1.06,-0.335603031784439
"human_associated",0.75,0.85,-0.180572245641821
"human_pathogens_all",0.71,0.82,-0.207804885113402
"human_gut",0.69,0.8,-0.213403638109193
"mammal_gut",0.69,0.8,-0.213403638109193
"methanogenesis_by_reduction_of_methyl_compounds_with_H2",0.64,0.01,6
"aromatic_compound_degradation",0.29,0.35,-0.271302021817394
"ureolysis",0.26,0.55,-1.08091999538357
"hydrocarbon_degradation",0.24,0.55,-1.1963972128035
"phototrophy",0.24,0.52,-1.11547721741994
"methanotrophy",0.23,0.52,-1.17687776208408
"methanol_oxidation",0.22,0.49,-1.15527822547791
"intracellular_parasites",0.22,0.19,0.211504105193712
"predatory_or_exoparasitic",0.22,0.37,-0.750021746991652
"photoautotrophy",0.13,0.3,-1.20645087746743
"photoheterotrophy",0.13,0.23,-0.823122237915921
"photosynthetic_cyanobacteria",0.12,0.29,-1.27301849440642
"oxygenic_photoautotrophy",0.12,0.29,-1.27301849440642
"nonphotosynthetic_cyanobacteria",0.09,0.12,-0.415037499278844
"nitrogen_fixation",0.07,0.13,-0.893084796083488
"aerobic_ammonia_oxidation",0.04,0.03,0.415037499278844
"nitrification",0.04,0.03,0.415037499278844
"human_pathogens_pneumonia",0.04,0.01,2
"nitrate_respiration",0.04,0.07,-0.807354922057604
"nitrogen_respiration",0.04,0.07,-0.807354922057604
"dark_oxidation_of_sulfur_compounds",0.02,0.03,-0.584962500721156
"respiration_of_sulfur_compounds",0.01,0.03,-1.58496250072116
"nitrate_denitrification",0.01,0.03,-1.58496250072116
"nitrite_denitrification",0.01,0.03,-1.58496250072116
"denitrification",0.01,0.03,-1.58496250072116
"nitrite_respiration",0.01,0.03,-1.58496250072116
"aromatic_hydrocarbon_degradation",0.01,0.02,-1
"aliphatic_non_methane_hydrocarbon_degradation",0.01,0.02,-1
"anoxygenic_photoautotrophy_S_oxidizing",0.01,0.01,0
"anoxygenic_photoautotrophy",0.01,0.01,0
"sulfate_respiration",0,0.03,-Inf
"sulfur_respiration",0,0.01,-Inf
"xylanolysis",0,0.01,-Inf
"manganese_oxidation",0,0.02,-Inf
