"species_name","median_mmox","median_pmoa","pmoA_to_mmoX"
"Quercus alba",0.041788462549448,0.736524760723116,17.63
"Kalmia latifolia",0.389538288116455,3.01188158988953,7.73
"Acer rubrum",0.669146239757538,5.05009794235229,7.55
"Betula lenta",1.29871433955945,9.00025320053101,6.93
"Sassafras albidum",0.698838442586929,4.29333701729774,6.14
"Carya ovata",1.03549897670746,4.57245901226998,4.42
"Pinus strobus",0.927011787891388,3.56217813491821,3.84
"Betula papyrifera",1.18982255458832,3.17216515541076,2.67
"Fraxinus americana",1.23548567295074,2.14346587657928,1.73
"Betula alleghaniensis",1.082006752491,1.78927993774414,1.65
"Tsuga canadensis",1.09906965504117,1.65038633346558,1.5
"Acer saccharum",1.04693758487702,1.20012849569321,1.15
"Prunus serotina",0.564467191696167,0.50907427072525,0.9
"Quercus rubra",0.705294609069824,0.58308470249176,0.83
"Fagus grandifolia",1.22359001636505,0.548380732536316,0.45
"Quercus velutina",0.639777422,0.25670063868165,0.4
