SN:3K60180500001584 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929
SysTime,                      Time,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd, Temp_Status_mA,Temp_Status_mA_sd,Analyzer_Status_mA,Analyzer_Status_mA_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
08/31/2021 15:53:37.822, 08/31/2021 15:53:37.761, 4.15478e+0, 0.00000e+0, -2.11698e+2, 0.00000e+0, 1.86701e+0, 0.00000e+0, 1.51064e+4, 0.00000e+0, 3.71788e+2, 0.00000e+0, 9.47825e-1, 0.00000e+0, 1.88745e+2, 0.00000e+0, 4.98095e+2, 0.00000e+0, 2.93306e+1, 0.00000e+0, 3.05618e+1, 0.00000e+0, 2.75821e+0, 0.00000e+0, 2.73429e+0, 0.00000e+0, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/31/2021 15:53:42.788, 08/31/2021 15:53:42.734, 4.15491e+0, 5.66452e-5, 9.74563e+1, 8.42935e-3, 1.89143e+0, 1.24474e-2, 1.70751e+4, 2.44605e+2, 3.76020e+2, 1.20352e+0, 1.92429e+0, 1.29884e-2, 3.82552e+2, 1.16720e+0, 4.99208e+2, 1.06996e+0, 2.93258e+1, 1.22475e-2, 3.05968e+1, 1.21926e-2, 2.75855e+0, 4.84617e-4, 2.73465e+0, 6.71814e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/31/2021 15:53:47.764, 08/31/2021 15:53:47.707, 4.15503e+0, 4.23332e-5, 9.74740e+1, 6.29958e-3, 1.89802e+0, 5.43729e-3, 1.73674e+4, 1.48442e+2, 3.75260e+2, 3.82909e-1, 1.93157e+0, 5.51999e-3, 3.81892e+2, 3.37344e-1, 4.98518e+2, 9.15912e-1, 2.93191e+1, 7.12257e-3, 3.06506e+1, 1.88747e-2, 2.75860e+0, 4.51291e-4, 2.73384e+0, 4.21762e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 2, 1, 
08/31/2021 15:53:52.733, 08/31/2021 15:53:52.680, 4.15515e+0, 4.71549e-5, 9.74930e+1, 7.01710e-3, 1.86618e+0, 5.89951e-3, 1.73756e+4, 8.80128e+1, 3.74803e+2, 1.21218e+0, 1.89918e+0, 6.07203e-3, 3.81430e+2, 1.23708e+0, 4.98698e+2, 1.08043e+0, 2.93348e+1, 8.23173e-3, 3.06934e+1, 1.89584e-2, 2.75783e+0, 6.39398e-4, 2.73381e+0, 3.88052e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:53:57.723, 08/31/2021 15:53:57.652, 4.15518e+0, 5.35947e-5, 9.74969e+1, 7.97540e-3, 1.85712e+0, 5.90775e-3, 1.71177e+4, 1.36815e+2, 3.74276e+2, 1.25519e+0, 1.88946e+0, 5.89900e-3, 3.80794e+2, 1.23505e+0, 4.98907e+2, 1.29408e+0, 2.93431e+1, 1.99290e-2, 3.07385e+1, 1.14417e-2, 2.75833e+0, 5.08537e-4, 2.73400e+0, 5.00684e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:54:02.686, 08/31/2021 15:54:02.624, 4.15528e+0, 6.49022e-5, 9.75115e+1, 9.65806e-3, 1.85649e+0, 1.38365e-3, 1.69497e+4, 1.90669e+2, 3.73244e+2, 1.21047e+0, 1.88850e+0, 1.24820e-3, 3.79680e+2, 1.29530e+0, 4.98552e+2, 1.08088e+0, 2.93216e+1, 6.83657e-3, 3.07838e+1, 7.53697e-3, 2.75854e+0, 6.28243e-4, 2.73424e+0, 4.61512e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:54:07.675, 08/31/2021 15:54:07.598, 4.15537e+0, 4.61347e-5, 9.75250e+1, 6.86528e-3, 1.85318e+0, 3.51553e-3, 1.66395e+4, 1.78769e+2, 3.73335e+2, 9.46331e-1, 1.88454e+0, 3.44681e-3, 3.79653e+2, 9.79169e-1, 4.99108e+2, 8.14060e-1, 2.93194e+1, 1.72336e-2, 3.08384e+1, 1.16428e-2, 2.75852e+0, 3.18800e-4, 2.73387e+0, 5.72823e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:54:12.623, 08/31/2021 15:54:12.571, 4.15548e+0, 8.02642e-5, 9.75421e+1, 1.19441e-2, 1.85435e+0, 3.68254e-3, 1.65993e+4, 1.63560e+2, 3.74805e+2, 9.79369e-1, 1.88565e+0, 3.51952e-3, 3.81131e+2, 9.72655e-1, 4.98431e+2, 7.73841e-1, 2.93419e+1, 9.95548e-3, 3.08923e+1, 1.82829e-2, 2.75803e+0, 1.05505e-3, 2.73384e+0, 5.67310e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:54:17.606, 08/31/2021 15:54:17.550, 4.15561e+0, 7.47624e-5, 9.75606e+1, 1.11254e-2, 1.85596e+0, 5.40058e-3, 1.67158e+4, 1.73236e+2, 3.74784e+2, 8.27269e-1, 1.88751e+0, 5.50185e-3, 3.81156e+2, 8.24455e-1, 4.99118e+2, 1.12379e+0, 2.93432e+1, 5.25710e-3, 3.09460e+1, 2.39593e-2, 2.75794e+0, 6.04003e-4, 2.73357e+0, 8.68853e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
08/31/2021 15:54:22.578, 08/31/2021 15:54:22.522, 4.15548e+0, 3.32190e-4, 9.75410e+1, 4.94330e-2, 1.86087e+0, 2.28316e-3, 1.67260e+4, 1.46323e+2, 3.73408e+2, 5.96846e-1, 1.89253e+0, 2.39577e-3, 3.79760e+2, 5.94209e-1, 4.98811e+2, 1.10532e+0, 2.93449e+1, 2.66731e-2, 3.09966e+1, 2.90647e-2, 2.75781e+0, 6.88442e-4, 2.73336e+0, 3.53203e-4, 2.00000e+1, 0.00000e+0, 1.30000e+1, 0.00000e+0, 3, 1, 
