Date,Chamber ID,Chamber Alt ID,"Injection_vol
(mL) ","Injection_conc
(ppm)",Conc_start,Conc_end,Big Drierite + Filter,Small Drierite + Filter,"Total Volume
(mL)","Total Volume
(L)",Avg Chamber Volume,,,
20230302,S3,B,20,200,1.92,8.72,,,562.59,0.56,0.597,,,
20230302,S3,B,20,200,1.93,8.08,,,624.13,0.62,,,,
20230302,S3,B,20,200,1.92,8.27,,,603.87,0.60,,,,
20230302,S3_plus_large_column,B_plus_large_column,20,200,1.93,4.64,x,,1441.77,1.44,1.446,,,
20230302,S3_plus_large_column,B_plus_large_column,20,200,1.93,4.56,x,,1486.24,1.49,,,,
20230302,S3_plus_large_column,B_plus_large_column,20,200,1.93,4.7,x,,1410.11,1.41,,,,
20230302,S3_plus_small_column,B_plus_small_column,20,200,1.93,5.86,,x,987.99,0.99,0.873,,,
20230302,S3_plus_small_column,B_plus_small_column,20,200,1.93,6.57,,x,833.75,0.83,,,,
20230302,S3_plus_small_column,B_plus_small_column,20,200,1.93,6.77,,x,798.47,0.80,,,,
20230302,S1,C,20,200,1.93,4.74,,,1389.75,1.39,1.365,,,
20230302,S1,C,20,200,1.97,5.04,,,1270.10,1.27,,,,
20230302,S1,C,20,200,1.95,4.67,,,1436.25,1.44,,,,
20230302,D1,D,20,200,1.94,3.56,,,2425.19,2.43,2.480,,,
20230302,D1,D,20,200,1.95,3.5,,,2535.48,2.54,,,,
20230302,A6,A,20,200,1.95,14.27,,,301.51,0.30,0.312,,,
20230302,A6,A,20,200,1.95,13.98,,,309.26,0.31,,,,
20230302,A6,A,20,200,1.95,13.47,,,323.84,0.32,,,,
20220907,S1,C,20,200,1.985,5.897,,,992.35,0.99,0.962,,,
20220907,S1,C,20,200,1.833,6.21,,,885.49,0.89,,,,
20220907,S1,C,20,200,2.0037,5.857,,,1007.67,1.01,,,,
20220907,S3,B,20,200,2.0179,10.094,,,470.29,0.47,0.472,,,
20220907,S3,B,20,200,2.0214,10.35,,,455.42,0.46,,,,
20220907,S3,B,20,200,1.992,9.769,,,489.21,0.49,,,,
20220907,B,B,20,200,2.0222,9.9847,,,477.28,0.48,0.485,,,
20220907,B,B,20,200,2.0586,10.0154,,,477.54,0.48,,,,
20220907,B,B,20,200,2.0229,9.6136,,,501.63,0.50,,,,
20220907,S6,D,20,200,2.0211,3.8464,,,2149.28,2.15,2.163,,,
20220907,S6,D,20,200,2.0336,3.9192,,,2079.77,2.08,,,,
20220907,S6,D,20,200,2.0208,3.7586,,,2258.50,2.26,,,,
20220907,RA,NA,20,200,2.0254,12.2293,,,368.04,0.37,0.368,,,
20220907,RA,NA,20,200,1.998,12.08,,,372.78,0.37,,,,
20220907,RA,NA,20,200,2.0335,12.3357,,,364.32,0.36,,,,
20220907,R2,NA,20,200,2.0312,13.4008,,,328.24,0.33,,,,
20220907,Big-Deadwood,NA,20,200,2.063,6.8,,,815.71,0.82,,,,
20220907,Big-Deadwood,NA,20,200,2.039,7.185,,,749.38,0.75,,,,
