Date,Personnel,Plot,Tree_ID,Tree_sp,Measurement height,Chamber ID,Temp_stem,Temp_air,DBH,Perimeter,Flux Start Time,Flux End Time,Corrected Start Time,Corrected End Time,HMS_Start,HMS_End,Gas_analyser
210806,JG/LL/WA,Lowland,AB 4/6,FAGR,50,3,21.4,21.6,31,,90000,91000,90000,91000,9:00:00,9:10:00,LGR3
210806,JG/LL/WA,Lowland,AB 4/6,FAGR,125,3,21.4,21.6,23,,91130,92130,91130,92130,9:11:30,9:21:30,LGR3
210806,JG/LL/WA,Lowland,AB 4/6,FAGR,200,3,21.4,21.6,22,,92300,93300,92300,93300,9:23:00,9:33:00,LGR3
210806,JG/LL/WA,Lowland,AB 3/5,FAGR,50,6,21.2,21.7,46,,93500,94500,93500,94500,9:35:00,9:45:00,LGR3
210806,JG/LL/WA,Lowland,AB 3/5,FAGR,125,6,21.2,21.7,44,,94700,95700,94700,95700,9:47:00,9:57:00,LGR3
210806,JG/LL/WA,Lowland,AB 3/5,FAGR,200,6,21.2,21.7,45,,95900,100900,95900,100900,9:59:00,10:09:00,LGR3
210806,JG/LL/WA,Lowland,AB 6prime,FAGR,50,6,21.8,21.8,,,101100,102100,101100,102100,10:11:00,10:21:00,LGR3
210806,JG/LL/WA,Lowland,AB 6prime,FAGR,125,6,21.8,21.8,,,102700,103400,102700,103400,10:27:00,10:34:00,LGR3
210806,JG/LL/WA,Lowland,AB 6prime,FAGR,200,6,21.8,21.8,,,103600,104600,103600,104600,10:36:00,10:46:00,LGR3
210806,JG/LL/WA,Lowland,ABT 14P,FAGR,50,3,22.5,23.2,30,,112100,113100,112100,113100,11:21:00,11:31:00,LGR3
210806,JG/LL/WA,Lowland,ABT 14P,FAGR,125,3,22.5,23.2,27,,113300,114300,113300,114300,11:33:00,11:43:00,LGR3
210806,JG/LL/WA,Lowland,ABT 14P,FAGR,200,3,22.8,23.2,25,,114400,115400,114400,115400,11:44:00,11:54:00,LGR3
210806,JG/LL/WA,Lowland,YBYB,BEAL,50,3,24,24.6,,,123300,123800,123300,123800,12:33:00,12:38:00,LGR3
210806,JG/LL/WA,Lowland,YBYB,BEAL,125,3,24.5,25,,,124300,125300,124300,125300,12:43:00,12:53:00,LGR3
210806,JG/LL/WA,Lowland,YBYB,BEAL,200,3,25.4,25,,,125700,130700,125700,130700,12:57:00,13:07:00,LGR3
210806,JG/LL/WA,Lowland,YB CUL8R,BEAL,50,3,33,30,24.5,,132000,Check Time,NA,NA,NA,NA,LGR3
210806,JG/LL/WA,Lowland,YB CUL8R,BEAL,125,3,33.2,30,22.5,,132700,133100,132700,133100,13:27:00,13:31:00,LGR3
210806,JG/LL/WA,Lowland,YB CUL8R,BEAL,200,3,33,30,21.5,,133400,134200,133400,134200,13:34:00,13:42:00,LGR3
210806,JG/LL/WA,Ridge,7809,KALA,Root Crown,2,23.3,,,,144900,145400,144900,145400,14:49:00,14:54:00,LGR3
210806,JG/LL/WA,Ridge,7809,KALA,75 cm,2,23.9,,,,145630,150130,145630,150130,14:56:30,15:01:30,LGR3
210804,JG/LL/WA,Lowland,BB1,BELE,50,6,19.6,19.1,30,,141200,142200,141200,142200,14:12:00,14:22:00,LGR3
210804,JG/LL/WA,Lowland,BB1,BELE,125,6,19.7,19.1,27,,142500,143500,142500,143500,14:25:00,14:35:00,LGR3
210804,JG/LL/WA,Lowland,BB1,BELE,200,6,19.7,19.1,27,,143700,144700,143700,144700,14:37:00,14:47:00,LGR3
210804,JG/LL/WA,Lowland,AB1,FAGR,50,6,19.7,19.1,30,,145200,150200,145200,150200,14:52:00,15:02:00,LGR3
210804,JG/LL/WA,Lowland,AB1,FAGR,125,6,19.7,19.2,27,,150600,151200,150600,151200,15:06:00,15:12:00,LGR3
210804,JG/LL/WA,Lowland,AB1,FAGR,200,6,19.8,19.2,25.5,,151700,152200,151700,152200,15:17:00,15:22:00,LGR3
210804,JG/LL/WA,Lowland,AB2,FAGR,50,6,19.6,19.2,48,,152600,153000,152600,153000,15:26:00,15:30:00,LGR3
210804,JG/LL/WA,Lowland,AB2,FAGR,125,6,20,19.2,26.5,,153700,154200,153700,154200,15:37:00,15:42:00,LGR3
210804,JG/LL/WA,Lowland,AB2,FAGR,200,3,20.1,19.2,24,,155000,155500,155000,155500,15:50:00,15:55:00,LGR3
210804,JG/LL/WA,Lowland,AB3,FAGR,50,6,19.6,19.2,48,,152600,153000,152600,153000,15:26:00,15:30:00,LGR3
210804,JG/LL/WA,Lowland,AB3,FAGR,125,3,19.9,19.2,28.5,,155800,160300,155800,160300,15:58:00,16:03:00,LGR3
210804,JG/LL/WA,Lowland,AB3,FAGR,200,3,19.9,19.2,26.5,,161200,161600,161200,161600,16:12:00,16:16:00,LGR3
210804,JG/LL/WA,Lowland,BO1,QUVE,50,6,20.1,19.1,36.5,,162500,163200,162500,163200,16:25:00,16:32:00,LGR3
210804,JG/LL/WA,Lowland,BO1,QUVE,125,6,20.2,19.2,26,,163300,163800,163300,163800,16:33:00,16:38:00,LGR3
210804,JG/LL/WA,Lowland,BO1,QUVE,200,6,20.2,19.1,25,,165200,165600,165200,165600,16:52:00,16:56:00,LGR3
210805,JG/LL/WA,Lowland,YB10,BEAL,50,3,18.1,17,27,,90800,91500,90800,91500,9:08:00,9:15:00,LGR3
210805,JG/LL/WA,Lowland,YB10,BEAL,125,3,18.2,17,22,,91700,92700,91700,92700,9:17:00,9:27:00,LGR3
210805,JG/LL/WA,Lowland,YB10,BEAL,200,3,18.9,17,21,,93200,94200,93200,94200,9:32:00,9:42:00,LGR3
210805,JG/LL/WA,Lowland,YB9,BEAL,50,3,18.4,17,30.5,,100000,101000,100000,101000,10:00:00,10:10:00,LGR3
210805,JG/LL/WA,Lowland,YB9,BEAL,125,3,18.4,17,26,,101200,101600,101200,101600,10:12:00,10:16:00,LGR3
210805,JG/LL/WA,Lowland,YB9,BEAL,200,3,18.5,17,25,,101800,102200,10800,102200,1:08:00,10:22:00,LGR3
210805,JG/LL/WA,Lowland,YB2,BEAL,50,6,19.1,17.1,28,,111400,112200,111400,112200,11:14:00,11:22:00,LGR3
210805,JG/LL/WA,Lowland,YB2,BEAL,125,6,19,17.1,27,,112400,12800,112400,12800,11:24:00,1:28:00,LGR3
210805,JG/LL/WA,Lowland,YB2,BEAL,200,6,18.9,17.1,27,,113000,113800,113000,113800,11:30:00,11:38:00,LGR3
210805,JG/LL/WA,Lowland,HM7,TSLA,50,6,19,17.2,31,,114800,115800,114800,115800,11:48:00,11:58:00,LGR3
210805,JG/LL/WA,Lowland,HM7,TSLA,125,6,19.1,17.2,31.5,,120100,121100,120100,121100,12:01:00,12:11:00,LGR3
210805,JG/LL/WA,Lowland,HM7,TSLA,200,6,19.2,17.2,30.5,,121400,Check Time,NA,NA,NA,NA,LGR3
210805,JG/LL/WA,Lowland,RM10,ACRU,50,6,19,17.2,32,,122000,Check Time,NA,NA,NA,NA,LGR3
210805,JG/LL/WA,Lowland,RM10,ACRU,125,6,19,17.2,31,,123000,123800,123000,123800,12:30:00,12:38:00,LGR3
210805,JG/LL/WA,Lowland,RM10,ACRU,200,6,18.9,17.2,29,,123900,124900,123900,124900,12:39:00,12:49:00,LGR3
210804,JG/LL/WA,Lowland,AB4,FAGR,50,6,20.1,20,42,,165900,170500,165900,170500,16:59:00,17:05:00,LGR3
