Tree_ID,Tree_sp,Plot,Cardinal.Direction,Distance.from.stem..cm,Total.Hole.depth..cm,Organic.Sample.Depth..cm,Mineral.Sample.Depth..cm,Soil.Temp,VWC1,VWC2,VWC3,ORP..mV,Time.Collected,Date.Collected,Personel,Notes
WP9,PIST,,N,155,42.5,5,37.5,18.6,15.6,15.2,13.4,374,8:27,7/30/21,"Jon, Les, Taylor",
WP9,PIST,,E,155,37,7,30,18.8,14.1,15.8,12.2,346,8:30,7/30/21,"Jon, Les, Taylor",
WP9,PIST,,S,155,13.5,5.5,8,18.6,17.1,15.8,14.8,366,8:25,7/30/21,"Jon, Les, Taylor",
WP9,PIST,,W ,155,20.5,6.5,14,18.4,20.2,17.3,25.8,324,8:22,7/30/21,"Jon, Les, Taylor",
RO13,QURU,,N,135,25,20,5,18.3,12.1,24.6,18.2,294,9:23,7/30/21,"Jon, Les, Taylor",
RO13,QURU,,E,135,14,4.5,9.5,18.5,18.7,19.5,22.4,293,9:10,7/30/21,"Jon, Les, Taylor",
RO13,QURU,,S,135,24,6,18,18.7,20.1,15.8,20.6,380,9:15,7/30/21,"Jon, Les, Taylor",
RO13,QURU,,W ,135,28,10,18,18.4,15,13.8,13.7,363,9:18,7/30/21,"Jon, Les, Taylor",
RO11,QURU,,N,140,26.5,3.5,23,18.9,14.9,13.8,11.6,387,9:59,7/30/21,"Jon, Les, Taylor",
RO11,QURU,,E,140,26.5,4.5,22,18.9,11.6,12.8,12.4,394,10:02,7/30/21,"Jon, Les, Taylor",
RO11,QURU,,S,140,33.5,6,27.5,18.9,10.5,10.6,10.5,389,10:05,7/30/21,"Jon, Les, Taylor",
RO11,QURU,,W,140,34.5,7.5,27,18.8,21.8,17.9,12.1,371,10:05,7/30/21,"Jon, Les, Taylor",
RO10,QURU,,N,110,27.5,4.5,23,18.3,16.6,18.4,14.3,473,10:25,7/30/21,"Jon, Les, Taylor",
RO10,QURU,,E,110,27.5,5.5,22,18.5,17.5,19.6,14.4,289,10:22,7/30/21,"Jon, Les, Taylor",
RO10,QURU,,S,110,21,5,16,18.4,16.8,16.3,16.4,354,10:17,7/30/21,"Jon, Les, Taylor",
RO10,QURU,,W,110,12.5,6,6.5,18.3,29.5,19.2,20.1,357,10:27,7/30/21,"Jon, Les, Taylor",
BB3,BELE,,N,105,28.5,5,23.5,18.8,19.3,18.9,14.2,277,11:23,7/30/21,"Jon, Les, Taylor",
BB3,BELE,,E,105,30.5,4.5,26,19,14.4,11.9,8.4,280,11:25,7/30/21,"Jon, Les, Taylor",
BB3,BELE,,S,105,26,4,22,19.2,11.5,13.4,11.3,259,11:28,7/30/21,"Jon, Les, Taylor",
BB3,BELE,,W,105,25.5,8.5,17,19,15.4,11.1,16.4,262,11:27,7/30/21,"Jon, Les, Taylor",
PB3,BEPA,,N,110,24,0.5,23.5,18.5,18.5,24.7,27.9,198,,7/30/21,"Jon, Les, Taylor",
PB3,BEPA,,E,110,19,1,18,18.3,25.6,19.8,22.7,262,,7/30/21,"Jon, Les, Taylor",
