"","fluxid","ch4_slopes","co2_slopes","ch4_r2","co2_r2","Date","Personnel","Plot","Tree_ID","Tree_sp","Measurement.height","Chamber.ID","Temp_stem","Temp_air","DBH","Perimeter","Flux.Start.Time","Flux.End.Time","Corrected.Start.Time","Corrected.End.Time","HMS_Start","HMS_End","Gas_analyser","Date_full","date.parsed","starttime","endtime","chamber_vol","chamber_area","glc","pressure","CH4_lin_flux","CO2_lin_flux"
"1","SM15_50",1.03170786642431e-05,"0.810745387719486","0.716589606489005","0.984592949580287",210721,"JG/BG/JR","Lab","SM15","ACSA",50,6,20.3,21.5,"","28.5d","91300","93145",91300,93145,"9:13:00","9:31:45","LGR3","20210721",2021-07-21,2021-07-21 09:13:00,2021-07-21 09:31:45,0.00253194214330537,0.0541751,0.00831447,101.325,0.0199529695795665,1.56796110453303
"2","SM15_125",5.67322454459144e-06,"0.764051112733946","0.455867082695014","0.99531865281024",210721,"JG/BG/JR","Lab","SM15","ACSA",125,6,20.4,21.5,"","26.0d","3315","94745",93315,94745,"9:33:15","9:47:45","LGR3","20210721",2021-07-21,2021-07-21 09:33:15,2021-07-21 09:47:45,0.00253194214330537,0.0541751,0.00831447,101.325,0.010971872992362,1.47765555597155
"3","SM15_200",1.39003578292417e-05,"0.92886510199582","0.814587987637762","0.999132256045523",210721,"JG/BG/JR","Lab","SM15","ACSA",200,6,20.8,21.5,"","24.5d","94830","95830",94830,95830,"9:48:30","9:58:30","LGR3","20210721",2021-07-21,2021-07-21 09:48:30,2021-07-21 09:58:30,0.00253194214330537,0.0541751,0.00831447,101.325,0.0268829409892162,1.79640164883857
"4","BB5_50",5.77934852221105e-06,"0.32473158743093","0.524250156045539","0.986715058247761",210721,"JG/BG/JR","Ridge","BB5","BELE",50,6,20.3,22.1,"","33.0d","113400","114500",113400,114500,"11:34:00","11:45:00","LGR3","20210721",2021-07-21,2021-07-21 11:34:00,2021-07-21 11:45:00,0.00253194214330537,0.0541751,0.00831447,101.325,0.0111543886750606,0.626745787583727
"5","BB5_125",1.46914267238011e-06,"0.712545286697529","0.0403242810901472","0.997935798498744",210721,"JG/BG/JR","Ridge","BB5","BELE",125,6,20.4,22.1,"","33.0d","115130","120200",115130,120200,"11:51:30","12:02:00","LGR3","20210721",2021-07-21,2021-07-21 11:51:30,2021-07-21 12:02:00,0.00253194214330537,0.0541751,0.00831447,101.325,0.00283550789918022,1.37524273641936
"6","BB5_200",3.34179652765751e-06,"-0.147951250687742","0.177195648146068","0.289369951144646",210721,"JG/BG/JR","Ridge","BB5","BELE",200,6,20.9,22.1,"","28.0d","120400","121400",120400,121400,"12:04:00","12:14:00","LGR3","20210721",2021-07-21,2021-07-21 12:04:00,2021-07-21 12:14:00,0.00253194214330537,0.0541751,0.00831447,101.325,0.00644980955884607,-0.285552212120447
"7","BB6_50",-6.42405193536941e-07,"0.683996314502698","0.0109092746552662","0.998546017849324",210721,"JG/BG/JR","Ridge","BB6","BELE",50,6,21.6,22.2,"","31.0d","123330","124330",123330,124330,"12:33:30","12:43:30","LGR3","20210721",2021-07-21,2021-07-21 12:33:30,2021-07-21 12:43:30,0.00253194214330537,0.0541751,0.00831447,101.325,-0.00123944936080225,1.31969480217584
"8","BB6_125",-1.3248734609095e-06,"0.489076552419218","0.0583087117657216","0.985637164082735",210721,"JG/BG/JR","Ridge","BB6","BELE",125,6,22,22.2,"","29.0d","124700","125700",124700,125700,"12:47:00","12:57:00","LGR3","20210721",2021-07-21,2021-07-21 12:47:00,2021-07-21 12:57:00,0.00253194214330537,0.0541751,0.00831447,101.325,-0.00255619596601801,0.943618803798652
"9","BB6_200",1.45343177246258e-06,"0.274339162460701","0.0447986064307249","0.847002745990716",210721,"JG/BG/JR","Ridge","BB6","BELE",200,6,22,22.2,"","27.0d","125745","130745",125745,130745,"12:57:45","13:07:45","LGR3","20210721",2021-07-21,2021-07-21 12:57:45,2021-07-21 13:07:45,0.00253194214330537,0.0541751,0.00831447,101.325,0.00280423492753852,0.529306896917838
"10","BB7_50",-5.30458747569872e-06,"0.635974629843519","0.317249432048979","0.989816430332447",210721,"JG/BG/JR","Ridge","BB7","BELE",50,6,21.4,22.8,"","35.0d","134200","135200",134200,135200,"13:42:00","13:52:00","LGR3","20210721",2021-07-21,2021-07-21 13:42:00,2021-07-21 13:52:00,0.00253194214330537,0.0541751,0.00831447,101.325,-0.010213851599551,1.22455337385976
