tree,height,chamber,temp_air,starttime,endtime,fluxid,ch4_ppm,co2_ppm,area,vol,tmin
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86408,487.591,1.5,0.75,0.05
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8643,496.288,1.5,0.75,0.133333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86601,504.358,1.5,0.75,0.216666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86363,513.556,1.5,0.75,0.3
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86434,523.359,1.5,0.75,0.383333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86427,531.635,1.5,0.75,0.466666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86579,540.716,1.5,0.75,0.55
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86484,550.081,1.5,0.75,0.633333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86404,559.58,1.5,0.75,0.716666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.867,569.276,1.5,0.75,0.8
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86468,579.365,1.5,0.75,0.883333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86592,588.433,1.5,0.75,0.966666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86511,598.326,1.5,0.75,1.05
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.8663,608.142,1.5,0.75,1.133333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86604,618.38,1.5,0.75,1.2
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86696,628.049,1.5,0.75,1.283333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86601,637.228,1.5,0.75,1.366666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86757,647.683,1.5,0.75,1.45
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86557,657.624,1.5,0.75,1.533333333
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86527,665.231,1.5,0.75,1.616666667
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86744,674.696,1.5,0.75,1.7
AB5,200,6,26.1,7/26/21 11:57,7/26/21 12:07,AB5_200,1.86803,683.975,1.5,0.75,1.783333333
