SN:3K60180500001583 BD:Jul 23 2018 VC:834b9c1 MD5:48f99e4865ed8b810be1bb0eaaabf929																																
SysTime	                      Time	         Batt_v	      Batt_v_sd	   BATT_PERCENT	BATT_PERCENT_sd	      [CH4]_ppm	   [CH4]_ppm_sd	      [H2O]_ppm	   [H2O]_ppm_sd	      [CO2]_ppm	   [CO2]_ppm_sd	     [CH4]d_ppm	  [CH4]d_ppm_sd	     [CO2]d_ppm	  [CO2]d_ppm_sd	      GasP_torr	   GasP_torr_sd	         GasT_C	      GasT_C_sd	         AmbT_C	      AmbT_C_sd	         RD0_us	      RD0_us_sd	         RD1_us	      RD1_us_sd	 Temp_Status_mA	Temp_Status_mA_sd	Analyzer_Status_mA	Analyzer_Status_mA_sd	       Fit_Flag	      MIU_VALVE	       MIU_DESC
03:41.3	 08/25/2020 14:03:41.268	4.13	0.00	92.72	0.00	1.96	0.00	24249.00	0.00	473.14	0.00	2.01	0.00	484.90	0.00	500.84	0.00	34.74	0.00	32.11	0.00	3.59	0.00	3.18	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:42.4	 08/25/2020 14:03:42.307	4.13	0.00	92.78	0.00	1.97	0.00	24494.80	0.00	468.08	0.00	2.02	0.00	479.84	0.00	500.98	0.00	34.75	0.00	32.13	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:43.4	 08/25/2020 14:03:43.302	4.13	0.00	92.85	0.00	1.96	0.00	24187.30	0.00	461.82	0.00	2.01	0.00	473.27	0.00	500.88	0.00	34.74	0.00	32.15	0.00	3.60	0.00	3.18	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:44.4	 08/25/2020 14:03:44.296	4.13	0.00	92.84	0.00	1.96	0.00	24273.70	0.00	458.39	0.00	2.01	0.00	469.80	0.00	500.94	0.00	34.73	0.00	32.15	0.00	3.60	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:45.3	 08/25/2020 14:03:45.290	4.13	0.00	92.82	0.00	1.97	0.00	24313.00	0.00	454.59	0.00	2.02	0.00	465.92	0.00	500.96	0.00	34.74	0.00	32.15	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:46.3	 08/25/2020 14:03:46.285	4.13	0.00	92.84	0.00	1.97	0.00	24312.40	0.00	451.27	0.00	2.02	0.00	462.51	0.00	500.98	0.00	34.72	0.00	32.15	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:47.3	 08/25/2020 14:03:47.281	4.13	0.00	92.83	0.00	1.97	0.00	24376.10	0.00	447.28	0.00	2.02	0.00	458.46	0.00	501.02	0.00	34.73	0.00	32.15	0.00	3.59	0.00	3.18	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:48.3	 08/25/2020 14:03:48.274	4.13	0.00	92.84	0.00	1.97	0.00	24449.20	0.00	446.08	0.00	2.02	0.00	457.26	0.00	500.95	0.00	34.72	0.00	32.15	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:49.3	 08/25/2020 14:03:49.268	4.13	0.00	92.84	0.00	1.97	0.00	24485.70	0.00	443.60	0.00	2.02	0.00	454.73	0.00	500.97	0.00	34.72	0.00	32.16	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	2.00	 
03:50.3	 08/25/2020 14:03:50.263	4.13	0.00	92.84	0.00	1.97	0.00	24342.10	0.00	442.32	0.00	2.02	0.00	453.36	0.00	500.94	0.00	34.73	0.00	32.16	0.00	3.59	0.00	3.17	0.00	20.00	0.00	20.00	0.00	3.00	3.00	 
