Section Id,Quadrat,Sub_Quadrat,Tag,Stem_Tag,Species_Code,PX,PY,DBH,Status,POM,Codes,Notes,Secondary,Latitude,Longitude
,901,b,6321,,PIST,26,193.3,90.5,LI,,,,FALSE,41.99088237,-72.13020404
,609,d,7454,,PIST,185.1,134.9,84.5,LI,,M,,FALSE,41.99011666,-72.12843094
,603,a,1884,,QURU,67.6,129,84.1,LI,1.3,M,,FALSE,41.99024793,-72.12984344
1,1,a,3051,,BELE,21.5,2.5,81.5,LI,1.3,M,,FALSE,41.98919957,-72.13065856
,904,c,7233,,PIST,92.2,194.3,80.4,LI,,M,,FALSE,41.99078784,-72.1294131
,400,a,1010,,PIST,4.3,80.5,79.9,LI,1.3,M,,FALSE,41.98991724,-72.13069962
,501,d,1246,,PIST,39.9,105.9,79.7,LI,1.3,M,,FALSE,41.9900866,-72.13022205
,102,b,3414,,PIST,27.7,58.4,79,LI,1.3,M,,FALSE,41.98968497,-72.13046723
,301,b,3522,,PIST,29.1,79.8,79,LI,1.3,M,,FALSE,41.98987231,-72.13040558
,301,b,3522,,PIST,29.1,79.8,79,LI,1.3,M,,FALSE,41.98987231,-72.13040558
,105,c,1591,,PIST,120,38.7,78.7,LI,1.3,M,,FALSE,41.98936634,-72.1294088
,408,a,7124,,ACRU,163.6,86,77.9,LI,1.4,"M,P,I,A",,FALSE,41.98971716,-72.12878988
,903,b,7106,,PIST,67.9,191,77.8,LI,,M,,FALSE,41.99079657,-72.12970959
,400,b,1036,,TSCA,19.8,83.7,76.8,LI,1.3,M,,FALSE,41.98992137,-72.13050821
,206,c,1297,,PIST,133.4,52,76.2,LI,,,,FALSE,41.98946321,-72.12922118
,803,d,6386,,PIST,79.9,170.1,75.5,LI,1.3,M,,FALSE,41.99059272,-72.12961052
,407,d,4158,,PIST,157.3,88.6,74.4,,,,,FALSE,41.98975003,-72.12885949
,305,a,4199,,PIST,101.5,63.6,73.2,LI,,,,FALSE,41.98961576,-72.12957692
,800,b,4300,,PIST,71.3,178.6,73,LI,,,,FALSE,41.99068143,-72.12969513
