Label,Site,Plot,Subplot,Latitude,Longitude,Elevation,Distance to Active Point,Bearing
WD-1-1,Wetland,1,1,41.990396,-72.13035,690.687,39.147,20.06
WD-1-2,Wetland,1,2,41.990258,-72.130583,708.411,39.134,20.05
WD-1-3,Wetland,1,3,41.990299,-72.130553,722.37,39.137,20.05
WD-2-1,Wetland,2,1,41.990198,-72.130433,756.721,39.133,20.06
WD-2-2,Wetland,2,2,41.990264,-72.130576,756.049,39.135,20.05
WD-2-3,Wetland,2,3,41.990285,-72.130438,753.499,39.138,20.06
WS-1-1,Wetland,1,1,41.990365,-72.130852,689.048,39.136,20.03
WS-1-2,Wetland,1,2,41.99042,-72.130827,693.301,39.14,20.03
WS-1-3,Wetland,1,3,41.990468,-72.130601,695.357,39.147,20.04
WS-2-1,Wetland,2,1,41.990013,-72.130224,728.12,39.125,20.08
WS-2-2,Wetland,2,2,41.99024,-72.130379,762.283,39.136,20.07
WS-2-3,Wetland,2,3,41.990277,-72.130478,762.22,39.137,20.06
I-1-1,Intermediate,1,1,41.990322,-72.129689,566.478,39.154,20.11
I-1-2,Intermediate,1,2,41.990385,-72.129535,706.247,39.161,20.12
I-1-3,Intermediate,1,3,41.990358,-72.129612,708.813,39.158,20.12
U-1-1,Upland,1,1,41.989796,-72.128603,785.934,39.139,20.21
U-1-2,Upland,1,2,41.989667,-72.12858,785.536,39.132,20.21
U-1-3,Upland,1,3,41.989727,-72.128493,784.481,39.137,20.22
U-1-4,Upland,1,4,41.989631,-72.128421,784.261,39.132,20.23
U-1-5,Upland,1,5,41.989485,-72.128741,778.494,39.117,20.21
U-1-6,Upland,1,6,41.989487,-72.128681,777.444,39.118,20.21
U-2-1,Upland,2,1,41.989573,-72.130092,756.367,39.098,20.11
U-2-2,Upland,2,2,41.989446,-72.129957,741.261,39.093,20.12
U-2-3,Upland,2,3,41.989475,-72.129938,741.815,39.095,20.12
U-2-4,Upland,2,4,41.989429,-72.130073,743.503,39.089,20.12
U-2-5,Upland,2,5,41.98941,-72.130066,737.557,39.088,20.12
U-2-6,Upland,2,6,41.989402,-72.13017,740.925,39.086,20.11
I-2-3,Intermediate,2,3,41.99041,-72.129914,705.533,0,0
I-2-2,Intermediate,2,2,41.990405,-72.129913,707.097,0,0
I-2-1,Intermediate,2,1,41.990413,-72.129831,709.08,0,0
